,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Elbasvir/Grazoprevir,Abacavir,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abacavir is metabolised by UGT, which is not expected to be affected by elbasvir/grazoprevir, and is renally cleared.","The interaction has not been studied but no clinically relevant change in exposure for abacavir, elbasvir or grazoprevir is expected. No dose adjustment is required.Zepatier Summary of Product Characteristics, Merck Sharp & Dohme Ltd, December 2018. No clinically relevant drug-drug interaction is expected when elbasvir/grazoprevir is coadministered with abacavir.Zepatier US Prescribing Information, Merck & Co Inc., June 2018."
1,Elbasvir/Grazoprevir,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Grazoprevir is only a weak inhibitor of CYP3A4 and data from ketoconazole have shown a negligible effect of CYP3A4 inhibitors on abiraterone.,(See Summary)
2,Elbasvir/Grazoprevir,Acalabrutinib,Potential Interaction,NA,Coadministration has not been studied. Acalabrutinib is a CYP3A4 and P-gp substrate. Acalabrutinib concentrations may increase due to mild inhibition of CYP3A4 and P-gp by elbasvir/grazoprevir which may result in increased toxicity. On treatment monitoring is recommended.,(See Summary)
3,Elbasvir/Grazoprevir,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Elbasvir/Grazoprevir,Acarbose,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological effect and is metabolised by intestinal enzymes and by the gut microflora.,(See Summary)
5,Elbasvir/Grazoprevir,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetol metabolite which is not mediated by CYP450. ,(See Summary)
6,Elbasvir/Grazoprevir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9 which is not affected by elbasvir/grazoprevir.,(See Summary)
7,Elbasvir/Grazoprevir,Acenocoumarol,Potential Interaction,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is metabolised by CYPs 2C9 and 1A2 which are not expected to be affected by elbasvir/grazoprevir. However, close monitoring of INR is recommended as this may change as a result of improved liver function.","As liver function may change during treatment with elbasvir/grazoprevir, close monitoring of International Normalised Ratio (INR) values is recommended with all vitamin K antagonists.Zepatier Summary of Product Characteristics, Merck Sharp & Dohme Ltd, December 2018."
8,Elbasvir/Grazoprevir,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acetazolamide is excreted unchanged in urine.,(See Summary)
9,Elbasvir/Grazoprevir,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated primarily unchanged in the urine via glomerular filtration and active renal secretion. It is transported by OCT3 which is not expected to be affected by elbasvir/grazoprevir.,(See Summary)
10,Elbasvir/Grazoprevir,Acitretin,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation which are not expected to be affected by elbasvir/grazoprevir.",(See Summary)
11,Elbasvir/Grazoprevir,Activated charcoal,Potential Weak Interaction,NA,"Coadministration has not been studied. Activated charcoal absorbs substances in the stomach and intestines and may decrease absorption of orally administered medications. If coadministration is required, administration of activated charcoal and elbasvir/grazoprevir should be separated by 4 hours. [Note: this interaction is not specific for elbasvir/grazoprevir, but for any medication taken with activated charcoal.]",(See Summary)
12,Elbasvir/Grazoprevir,Adefovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Elbasvir and grazoprevir are both significantly hepatically metabolised. The potential for hepatically metabolised interactions with adefovir is low. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1 which are not expected to be affected by elbasvir/grazoprevir. No dose alteration is required.,(See Summary)
13,Elbasvir/Grazoprevir,Agomelatine,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolized predominantly by CYP1A2 which is not expected to be affected by elbasvir/grazoprevir. [Note, agomelatine is contraindicated in hepatic impairment as increases in exposure of 140-fold have been seen in cirrhotic patients.]",(See Summary)
14,Elbasvir/Grazoprevir,Albendazole,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is metabolized in part by CYP3A4, but grazoprevir is only a weak inhibitor of CYP3A4 and is unlikely to affect this pathway to any clinically significant extent.",(See Summary)
15,Elbasvir/Grazoprevir,Albiglutide,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albiglutide is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by ubiquitous proteolytic enzymes. However, as albiglutide slows gastric emptying it is advisable to take elbasvir/grazoprevir at least 1 hour before an albiglutide injection. [Note: this interaction is not specific for elbasvir/grazoprevir, but for any medication taken with albiglutide.]",(See Summary)
16,Elbasvir/Grazoprevir,Alemtuzumab,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alemtuzumab is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by widely distributed proteolytic enzymes.,(See Summary)
17,Elbasvir/Grazoprevir,Alendronic acid,No Interaction Expected,NA,"Coadministration has not been studied but alendronate can be administered with elbasvir/grazoprevir and no dose alteration is required. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, note that alendronate should be separated from food or other medicinal products and therefore should be separated from elbasvir/grazoprevir administration. [Note: this interaction is not specific for elbasvir/grazoprevir, but for any medication taken with alendronic acid.]",(See Summary)
18,Elbasvir/Grazoprevir,Alfentanil,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil is metabolised by CYP3A4 but grazoprevir is only a weak inhibitor of CYP3A4 and is unlikely to affect this pathway to any clinically significant extent.,(See Summary)
19,Elbasvir/Grazoprevir,Alfuzosin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A4 but grazoprevir is only a weak inhibitor of CYP3A4 and is unlikely to affect this pathway to any clinically significant extent.,(See Summary)
20,Elbasvir/Grazoprevir,Aliskiren,No Interaction Expected,NA,Coadministration has not been studied. Aliskiren is a substrate of P-gp and although concentrations may increase due to mild inhibition of P-gp by elbasvir this is considered unlikely to be clinically significant (based on studies with other weak inhibitors of P-gp and aliskiren). ,(See Summary)
21,Elbasvir/Grazoprevir,Allopurinol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as allopurinol is metabolised by xanthine oxidase. [Note, the European SmPC and US Prescribing Information for allopurinol recommend a reduced dose in hepatic impairment.]",(See Summary)
22,Elbasvir/Grazoprevir,Almotriptan,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro studies indicate a minor role for CYP3A4 and CYP2D6 in the metabolism of almotriptan. Grazoprevir is only a weak inhibitor of CYP3A4 and is unlikely to affect these pathways to any clinically significant extent.,(See Summary)
23,Elbasvir/Grazoprevir,Aloe vera,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Aloe vera is only a weak inhibitor of CYPs in vitro and therefore is unlikely to cause clinically significant interactions. It does not inhibit P-gp and there is no evidence to suggest it impacts UGTs.",(See Summary)
24,Elbasvir/Grazoprevir,Alogliptin ,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alogliptin does not undergo extensive metabolism and is excreted mainly unchanged in the urine and metabolism by CYPs is minimal. No transporter interactions have been described.,(See Summary)
25,Elbasvir/Grazoprevir,Alprazolam,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4 but grazoprevir is only a weak inhibitor of CYP3A4 and is unlikely to affect this pathway to any clinically significant extent.,(See Summary)
26,Elbasvir/Grazoprevir,Aluminium hydroxide,No Interaction Expected,NA,Antacids can be administered with elbasvir/grazoprevir and no dose alteration is required. Exposure of elbasvir or grazoprevir was not affected in the presence of an acid reducing agent such as pantoprazole or famotidine.,"The interaction with aluminium hydroxide has not been studied but no clinically relevant change in exposure of elbasvir or grazoprevir is expected. No dose adjustment is required.Zepatier Summary of Product Characteristics, Merck Sharp & Dohme Ltd, December 2018. The interaction between elbasvir or grazoprevir, or elbasvir/grazoprevir and acid reducing agents was evaluated in clinical studies, and no dose adjustments are needed when elbasvir/grazoprevir is used with antacids.Zepatier US Prescribing Information, Merck & Co Inc., June 2018."
