,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Entecavir,Abacavir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abacavir is metabolised by alcohol dehydrogenase and UGT. Entecavir is not hepatically metabolised and the potential for interactions via this route is low. Entecavir is eliminated primarily in the urine by glomerular filtration and tubular secretion by OAT1. ,(See Summary)
1,Entecavir,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Entecavir is not hepatically metabolised and the potential for interactions via this route is low. Entecavir is eliminated primarily in the urine by glomerular filtration and tubular secretion by OAT1.,(See Summary)
2,Entecavir,Acalabrutinib,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate. Entecavir is not hepatically metabolised and the potential for interactions via this route is low. Entecavir is eliminated primarily in the urine by glomerular filtration and tubular secretion by OAT1.,(See Summary)
3,Entecavir,Acamprosate,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism. Entecavir is eliminated primarily in the urine by glomerular filtration and tubular secretion by OAT1. ,(See Summary)
4,Entecavir,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
5,Entecavir,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetolol metabolite. Entecavir is eliminated primarily in the urine by glomerular filtration and tubular secretion by OAT1.,(See Summary)
6,Entecavir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9. Entecavir is not hepatically metabolised and the potential for interactions via this route is low. Entecavir is eliminated primarily in the urine by glomerular filtration and tubular secretion by OAT1.,(See Summary)
7,Entecavir,Acenocoumarol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9. Entecavir is not hepatically metabolised and the potential for interactions via this route is low. Entecavir is eliminated primarily in the urine by glomerular filtration and tubular secretion by OAT1. ,(See Summary)
8,Entecavir,Acetazolamide,Potential Interaction,NA,"Coadministration has not been studied but as entecavir and acetazolamide are both eliminated by similar renal transporters, caution is warranted. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion and may competitively inhibit the renal transporters OAT1 and OAT3. Entecavir is eliminated primarily in the urine by glomerular filtration and tubular secretion by OAT1. As entecavir can be neprotoxic, renal function monitoring is recommended.",(See Summary)
9,Entecavir,Aciclovir,Potential Interaction,NA,Coadministration has not been studied but may increase concentrations of both drugs due to reduced renal function or competition for active tubular secretion as both drugs are transported via OAT1. Renal function monitoring is recommended.,(See Summary)
10,Entecavir,Acitretin,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation. Entecavir is eliminated primarily in the urine by glomerular filtration and tubular secretion by OAT1. ",(See Summary)
11,Entecavir,Activated charcoal,Potential Weak Interaction,NA,"Coadministration has not been studied. Activated charcoal absorbs substances in the stomach and intestines and may decrease absorption of orally administered medications. If coadministration is required, administration of activated charcoal should be separated by 4 hours. [Note: this interaction is not specific for entecavir, but for any medication taken with activated charcoal.]",(See Summary)
12,Entecavir,Adefovir,Potential Weak Interaction,NA,"Coadministration of adefovir (10 mg once daily) and entecavir (1 mg once daily) was studied in 26 uninfected subjects. AUC, Cmax and C24 of entecavir and adefovir were unchanged. The combination can be considered for the treatment of complex HBV, but as both drugs are renally excreted by active tubular secretion, consider monitoring renal function.","No pharmacokinetic interactions between entecavir and adefovir were observed.Barraclude Summary of Product Characteristics, Bristol-Myers Squibb Pharmaceuticals Ltd, September 2018.Coadministration of entecavir with adefovir dipivoxil did not result in significant drug interactions.Barraclude US Prescribing Information, Bristol-Myers Squibb Company, December 2018.In a fixed-sequence crossover design in healthy adult subjects (n=26), subjects received 10 mg adefovir daily on days 1 to 4, 1 mg entecavir on days 5 to 14, and 1 mg entecavir plus 10 mg adefovir on days 15 to 24. The geometric mean ratios (90% confidence interval) for AUC, peak plasma concentration, and 24 hour post-dose plasma concentration of entecavir and adefovir were unchanged. Entecavir and adefovir were well tolerated when administered in combination. Therefore, the pharmacokinetic data generated in this study indicate that entecavir and adefovir can be coadministered without dose adjustment.Absence of a pharmacokinetic interaction between entecavir and adefovir. Bifano M, Yan Y-H, Smith R, et al. J Clin Pharmacol, 2007, 47: 1327-1334."
