,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Glecaprevir/Pibrentasvir,Abacavir,No Interaction Expected,NA,"Coadministration has not been studied with abacavir alone but based on metabolism and clearance a clinically significant interaction is unlikely. Abacavir is metabolised by alcohol dehydrogenase and UGT, which is not expected to be affected by glecaprevir/pibrentasvir, and is renally cleared.  Glecaprevir/pibrentasvir and abacavir was evaluated as part of a Phase 1 study with Triumeq (abacavir/dolutegravir/lamivudine) and showed no clinically significant interactions.","Drug-drug interaction studies were performed with abacavir and showed no clinically significant interactions with Maviret.Maviret Summary of Product Characteristics, AbbVie Ltd., April 2019.No dose adjustment is required when Mavyret is coadministered with abacavir. Coadministration of abacavir (as abacavir/dolutegravir/lamivudine, 500/50/300 mg once daily) and glecaprevir/pibrentasvir (300/120 mg once daily) was studied in 12 subjects. There was no change abacavir Cmax or AUC, but Cmin increased by 31%.Mavyret Prescribing Information, AbbVie Inc., June 2019.The pharmacokinetics of glecaprevir/pibrentasvir (300/120 mg once daily) coadministered with abacavir/dolutegravir/lamivudine (600/50/300 mg once daily) was studied in 24 healthy subjects. Cmax and AUC for glecaprevir and pibrentasvir decreased by 25-28%, but there was no impact on Cmax and AUC for abacavir, dolutegravir or lamivudine. No dose adjustment is required when glecaprevir/pibrentasvir are coadministered with abacavir, dolutegravir and lamivudine.Glecaprevir and pibrentasvir interactions with combination antiretroviral regimens. Kosloski MP, Dutta S, Viani RM, et al. Conference on Retroviruses and Opportunistic Infections, Seattle, February 2017, abstract 413."
1,Glecaprevir/Pibrentasvir,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Glecaprevir/pibrentasvir is only a weak inhibitor of CYP3A4 and data from ketoconazole have shown a negligible effect of CYP3A4 inhibitors on abiraterone.,(See Summary)
2,Glecaprevir/Pibrentasvir,Acalabrutinib,Potential Interaction,NA,Coadministration has not been studied. Acalabrutinib is a CYP3A4 and P-gp substrate. Acalabrutinib concentrations may increase due to mild inhibition of CYP3A4 and inhibition of P-gp by glecaprevir/pibrentasvir which may result in increased toxicity. On treatment monitoring is recommended.,(See Summary)
3,Glecaprevir/Pibrentasvir,Acamprosate,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.,(See Summary)
4,Glecaprevir/Pibrentasvir,Acarbose,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological effect and is metabolised by intestinal enzymes and by the gut microflora.,(See Summary)
5,Glecaprevir/Pibrentasvir,Acebutolol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetol metabolite, which is not mediated by CYP450.",(See Summary)
6,Glecaprevir/Pibrentasvir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9 which is not affected by glecaprevir/pibrentasvir.,(See Summary)
7,Glecaprevir/Pibrentasvir,Acenocoumarol,Potential Interaction,NA,"Coadministration has not been studied. Acenocoumarol is metabolised by CYP2C9 (major) and CYP1A2. Glecaprevir/pibrentasvir is a mild inhibitor of CYP1A2 and clinically significant interactions are unlikely. However, as acenocoumarol has a narrow therapeutic index and concentrations may increase, close monitoring of INR and other adverse effects is recommended.","Coadministration has not been studied. As liver function may change during treatment with Maviret, a close monitoring of International Normalised Ratio (INR) values is recommended with vitamin K antagonists.Maviret Summary of Product Characteristics, AbbVie Ltd., April 2019."
8,Glecaprevir/Pibrentasvir,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acetazolamide is excreted unchanged in urine.,(See Summary)
9,Glecaprevir/Pibrentasvir,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated primarily unchanged in the urine via glomerular filtration and active renal secretion. It is transported by OCT3 which is not expected to be affected by glecaprevir/pibrentasvir,(See Summary)
