,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Lamivudine (HBV),Abacavir,No Interaction Expected,NA,"No significant pharmacokinetic interaction was observed in clinical studies and the combination is frequently used in HAART for the treatment of HIV. Abacavir is metabolised by alcohol dehydrogenase and UGT. The likelihood of metabolic interactions with lamivudine and other medicinal products is low due to the small extent of lamivudine hepatic metabolism (5-10%) and low plasma protein binding. Note, the bioavailability of lamivudine solution has been shown to be significantly reduced in a dose dependent manner by sorbitol which is present in liquid formulations such as abacavir oral solution.","The pharmacokinetics and safety of single doses of abacavir (600 mg), zidovudine (300 mg) and lamivudine (150 mg) were evaluated when given alone or with either or both of the other drugs to 13 HIV-infected subjects. Coadministration of abacavir with lamivudine (with or without zidovudine) decreased lamivudine AUC by ~15%, decreased Cmax by ~ 35% and delayed Tmax by ~1 h. While these changes are statistically significant, they are not considered to be clinically significant. There were no differences in the pharmacokinetics of abacavir when given alone, or with zidovudine or lamivudine, or with both zidovudine and lamivudine.Single dose pharmacokinetics and safety of abacavir (1592U98), zidovudine, and lamivudine administered alone and in combination in adults with human immunodeficiency virus infection. Wang LH, et al. Antimicrob Agents Chemother, 1999, 43: 1708-1715.The effect of sorbitol on the single dose pharmacokinetics of 3TC oral solution was evaluated in 16 HIV-negative subjects. Sorbitol had a dose-dependent effect on 3TC PK with decreases of 28%, 52%, and 55% in Cmax and decreases of 20%, 39%, and 44% in AUC when co-administered with 3.2 g, 10.2 g, and 13.4 g sorbitol, respectively.Effect of sorbitol on 3TC PK after administration of lamivudine solution in adults. Adkinson KK, McCoig C, Wolstenholm A, et al. CROI 2017, Seattle USA, February 2017, abstract 428."
1,Lamivudine (HBV),Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Lamivudine is predominately cleared unchanged by renal excretion. The likelihood of metabolic interactions with lamivudine and other medicinal products is low due to the small extent of lamivudine hepatic metabolism (5-10%) and low plasma protein binding.,(See Summary)
2,Lamivudine (HBV),Acalabrutinib,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate. Lamivudine is predominately cleared unchanged by renal excretion. The likelihood of metabolic interactions with lamivudine and other medicinal products is low due to the small extent of lamivudine hepatic metabolism (5-10%) and low plasma protein binding.,(See Summary)
3,Lamivudine (HBV),Acamprosate,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism. Lamivudine is predominately cleared unchanged by renal excretion. ,(See Summary)
4,Lamivudine (HBV),Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
5,Lamivudine (HBV),Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetolol metabolite.,(See Summary)
6,Lamivudine (HBV),Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9. Lamivudine is predominately cleared unchanged by renal excretion. The likelihood of metabolic interactions with lamivudine and other medicinal products is low due to the small extent of lamivudine hepatic metabolism (5-10%) and low plasma protein binding.,(See Summary)
7,Lamivudine (HBV),Acenocoumarol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9. Lamivudine is predominately cleared unchanged by renal excretion. The likelihood of metabolic interactions with lamivudine and other medicinal products is low due to the small extent of lamivudine hepatic metabolism (5-10%) and low plasma protein binding.,(See Summary)
8,Lamivudine (HBV),Acetazolamide,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as lamivudine and acetazolamide are eliminated by different renal transporters. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion and may competitively inhibit the renal transporters OAT1, OAT3 and OAT4.",(See Summary)
9,Lamivudine (HBV),Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. A drug-drug interaction is unlikely as lamivudine and aciclovir are eliminated by different renal transporters.,(See Summary)
