,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Ledipasvir/Sofosbuvir,Abacavir,No Interaction Expected,NA,"Coadministration of abacavir (in combination with lamivudine) and ledipasvir/sofosbuvir had no effect on the pharmacokinetic parameters of abacavir, ledipasvir or sofosbuvir.","Coadministration of abacavir/lamivudine (600/300 mg once daily) and ledipasvir/sofosbuvir (90/400 mg once daily) was studied. Abacavir Cmax and AUC decreased by 8% and 10%; lamivudine Cmax and AUC decreased by 7% and 6% and Cmin increased by 12%. Ledipasvir Cmax, AUC and Cmin increased by 10%, 18% and 26%; sofosbuvir Cmax and AUC increased by 8% and 21%; AUC and Cmin of GS-331007 increased by 5% and 8% with no change in Cmax. No dose adjustment of ledipasvir/sofosbuvir or abacavir/ lamivudine is required.Harvoni Summary of Product Characteristics, Gilead Sciences Ltd, August 2019. Based on drug interaction studies, no clinically significant drug interactions have been either observed or are expected when ledipasvir/sofosbuvir is used with abacavir.Harvoni Prescribing Information, Gilead Sciences Inc, August 2019."
1,Ledipasvir/Sofosbuvir,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Ledipasvir is not involved with this pathway.,(See Summary)
2,Ledipasvir/Sofosbuvir,Acalabrutinib,Potential Interaction,NA,Coadministration has not been studied. Acalabrutinib is a CYP3A4 and P-gp substrate. Acalabrutinib concentrations may increase due to inhibition of P-gp by ledipasvir which may result in increased toxicity. On treatment monitoring is recommended.,(See Summary)
3,Ledipasvir/Sofosbuvir,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Ledipasvir/Sofosbuvir,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and microbial flora.",(See Summary)
5,Ledipasvir/Sofosbuvir,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetol metabolite which is not mediated by CYP450. ,(See Summary)
6,Ledipasvir/Sofosbuvir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9 which is not affected by ledipasvir/sofosbuvir.,(See Summary)
7,Ledipasvir/Sofosbuvir,Acenocoumarol,Potential Interaction,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is predominantly metabolised via CYP2C9 and ledipasvir/sofosbuvir do not inhibit this enzyme. However, close monitoring of INR is recommended as this may change as a result of improved liver function.","Close monitoring of INR is recommended with all vitamin K antagonists. This is due to liver function changes during treatment with ledipasvir/sofosbuvir.Harvoni Summary of Product Characteristics, Gilead Sciences Ltd, August 2019."
8,Ledipasvir/Sofosbuvir,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acetazolamide is largely excreted unchanged via renal tubular secretion.,(See Summary)
9,Ledipasvir/Sofosbuvir,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated primarily unchanged in the urine via glomerular filtration and active renal secretion. It is transported by OCT3 and ledipasvir/sofosbuvir do not inhibit or induce this pathway.,(See Summary)
10,Ledipasvir/Sofosbuvir,Acitretin,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation, neither of which are affected by ledipasvir/sofosbuvir.",(See Summary)
