,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Obeticholic acid,Abacavir,No Interaction Expected,NA,"Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Abacavir is metabolized by alcohol dehydrogenase and UGT, which are not affected by obeticholic acid. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.",(See Summary)
1,Obeticholic acid,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Obeticholic acid does not interact with these pathways. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. Note: the abiraterone SmPC contraindicates its use in patients with severe hepatic impairment.,(See Summary)
2,Obeticholic acid,Acalabrutinib,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate, which are not affected by obeticholic acid. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.",(See Summary)
3,Obeticholic acid,Acamprosate,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate does not undergo significant metabolism. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.,(See Summary)
4,Obeticholic acid,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of the active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolized by intestinal enzymes and by the microbial flora. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. Note: the acarbose SmPC contraindicates its use in patients with severe hepatic impairment.",(See Summary)
5,Obeticholic acid,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetolol metabolite. Obeticholic acid does not interact with these pathways. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. ,(See Summary)
6,Obeticholic acid,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolized by CYP2C9. This pathway is not affected by obeticholic acid. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.,(See Summary)
7,Obeticholic acid,Acenocoumarol,Potential Weak Interaction,NA,Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Obeticholic acid may increase the exposure of CYP1A2 substrates. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. Note: the acenocoumarol SmPC contraindicates its use in patients with severe liver impairment.,(See Summary)
8,Obeticholic acid,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but a clinically significant interaction is unlikely. Acetazolamide is excreted unchanged in the urine. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. Note: the acetazolamide SmPC contraindicates its use in patients with hepatic cirrhosis.,(See Summary)
9,Obeticholic acid,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated primarily unchanged in the urine via active renal tubular secretion. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.,(See Summary)
10,Obeticholic acid,Acitretin,Potential Weak Interaction,NA,"Coadministration has not been studied. Acitretin undergoes isomerisation and glucuronidation. Obeticholic acid does not interact with these pathways, but acitretin is a BSEP inhibitor in vitro. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. Coadministration with a BSEP inhibitor can lead to build up of conjugated bile salts and result in clinical symptoms. If coadministration is necessary, monitor serum transaminases and bilirubin.",(See Summary)
11,Obeticholic acid,Activated charcoal,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,(See Summary)
12,Obeticholic acid,Adefovir,Potential Weak Interaction,NA,"Coadministration has not been studied. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1, which are not affected by obeticholic acid; however, adefovir is a BSEP inhibitor in vitro. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. Coadministration with a BSEP inhibitor can lead to build up of conjugated bile salts and result in clinical symptoms. If coadministration is necessary, monitor serum transaminases and bilirubin.",(See Summary)
13,Obeticholic acid,Agomelatine,Potential Weak Interaction,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolized predominantly via CYP1A2. Obeticholic acid may increase the exposure of CYP1A2 substrates but this is unlikely to be clinically relevant. [Note: agomelatine is contraindicated in hepatic impairment as increases in the exposure of up to 140-times have been seen in cirrhotic patients.],(See Summary)
14,Obeticholic acid,Albendazole,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is metabolized by CYP3A4 and by the flavin-containing monooxygenase system, which are not affected by obeticholic acid. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.",(See Summary)
15,Obeticholic acid,Albiglutide,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albiglutide is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by ubiquitous proteolytic enzymes. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. The intestinal microbiota deconjugates obeticholic acid, leading to reabsorption or excretion in the faeces",(See Summary)
16,Obeticholic acid,Alemtuzumab,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alemtuzumab is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by widely distributed proteolytic enzymes.,(See Summary)
17,Obeticholic acid,Alendronic acid,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. There is no evidence in humans or animals that alendronic acid undergoes metabolism. However, if taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. [Note: this interaction is not specific for obeticholic acid, but for any medication taken with alendronic acid.]",(See Summary)
18,Obeticholic acid,Alfentanil,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. This pathway is not affected by obeticholic acid. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.,(See Summary)
19,Obeticholic acid,Alfuzosin,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolized mainly by CYP3A4, which is not affected by obeticholic acid. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.",(See Summary)
20,Obeticholic acid,Aliskiren,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. P-glycoprotein is a major determinant of aliskiren bioavailability, but this is not affected by obeticholic acid. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.",(See Summary)
21,Obeticholic acid,Allopurinol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Obeticholic acid does not interact with these pathways. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. [Note: the European SmPC and US Prescribing Information for allopurinol recommend a reduced dose in hepatic impairment.],(See Summary)
22,Obeticholic acid,Almotriptan,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Almotriptan is partly eliminated unchanged in the urine and partly metabolized (mainly via monoamine oxidase- and to a lesser extent by CYP3A4, CYP2D6, and flavin monooxygenase). Obeticholic acid does not interact with these pathways. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile. Note: the almotriptan SmPC contraindicates its use in patients with severe hepatic impairment.",(See Summary)
23,Obeticholic acid,Aloe vera,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aloe vera is only a weak inhibitor of CYPs in vitro and therefore is unlikely to cause clinically significant interactions. Obeticholic acid does not interact with these pathways. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.,(See Summary)
24,Obeticholic acid,Alogliptin ,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alogliptin does not undergo extensive metabolism and is excreted mainly unchanged in the urine and metabolism by CYPs is minimal. Obeticholic acid is conjugated with glycine or taurine in the liver and secreted into bile.,(See Summary)
