,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Ombitasvir/Paritaprevir/r + Dasabuvir,Abacavir,No Interaction Expected,NA,"Coadministration of ombitasvir/paritaprevir/ritonavir + dasabuvir and abacavir/lamivudine (600/300 mg once daily) was studied in 12 HIV/HCV-negative subjects and had no clinically significant effect on the pharmacokinetics of ombitasvir, paritaprevir, ritonavir, dasabuvir, abacavir or lamivudine. No dose adjustment is required for ombitasvir/paritaprevir/ritonavir + dasabuvir or abacavir during coadministration.","Coadministration of ombitasvir/paritaprevir/ritonavir + dasabuvir and abacavir/lamivudine (600/300 mg once daily) was studied in 12 HIV/HCV-negative subjects. During coadministration abacavir exposures were up to 13% lower; lamuvidine Cmax and AUC were up to 13% lower and Ctrough was 29% higher. Exposure of ombitasvir and dasabuvir were up to 18% lower, and paritaprevir and ritonavir Ctrough both decreased by 34%. No dose adjustment is recommended for ombitasvir/paritaprevir/ritonavir + dasabuvir or abacavir/lamuvudine during coadministration.Drug-drug interactions of ombitasvir/paritaprevir/r plus dasabuvir with dolutegravir or abacavir plus lamivudine.Khatn A, Trinh R, Zhao W, et al. 16th International Workshop on Clinical Pharmacology of HIV and Hepatitis Therapy, Washington DC, May 2015, Abstract 57."
1,Ombitasvir/Paritaprevir/r + Dasabuvir,Abiraterone,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Ritonavir is an inhibitor of CYP3A4, but data from ketoconazole have shown a negligible effect of CYP3A4 inhibitors on abiraterone.",(See Summary)
2,Ombitasvir/Paritaprevir/r + Dasabuvir,Acalabrutinib,Do Not Coadminister,NA,"Coadministration has not been studied but should be avoided. Acalabrutinib is a CYP3A4 and P-gp substrate. Acalabrutinib concentrations may increase due to inhibition of CYP3A4 by ritonavir. Itraconazole (a CYP3A4 inhibitor) increased acalabrutinib AUC and Cmax by 5.1- and 3.9-fold, respectively, and a similar effect could be expected with ritonavir.",(See Summary)
3,Ombitasvir/Paritaprevir/r + Dasabuvir,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Ombitasvir/Paritaprevir/r + Dasabuvir,Acarbose,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological effect and is metabolised by intestinal enzymes and by the gut microflora.,(See Summary)
5,Ombitasvir/Paritaprevir/r + Dasabuvir,Acebutolol,No Interaction Expected,NA,Acebutolol can be administered with ombitasvir/paritaprevir/ritonavir + dasabuvir and no dose alteration is required. Acebutolol is mainly excreted in the urine as diacetolol and is substrate of P-gp in vitro. No significant interaction was observed with digoxin (a model P-gp substrate) and ombitasvir/paritaprevir/ritonavir + dasabuvir,(See Summary)
6,Ombitasvir/Paritaprevir/r + Dasabuvir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9 which is not affected by ombitasvir/paritaprevir/ritonavir + dasabuvir.,(See Summary)
7,Ombitasvir/Paritaprevir/r + Dasabuvir,Acenocoumarol,Potential Interaction,NA,"Coadministration has not been studied. Acenocoumarol is a substrate of CYP2C9 and CYP1A2. Ombitasvir/paritaprevir/ritonavir at steady-state did not affect the plasma exposures of the anticoagulant warfarin which is metabolised in a similar way. However, a case report describes a patient who required a significant increase in acenocoumarol weekly dose probably due to an interaction with ombitasvir/paritaprevir/ritonavir and/or dasabuvir. Ombitasvir/paritaprevir/ritonavir and acenocoumarol can be coadministered but with close monitoring of international normalized ratio (INR) as dose modifications may be necessary in some patients.","A case was reported of a patient who required a significant increase in acenocoumarol weekly dose probably due to an interaction with ombitasvir/paritaprevir/ritonavir and/or dasabuvir. A causality assessment of the drug-drug interaction leading to a reduced INR was conducted according to the Naranjo algorithm. A score of 6 suggested that the adverse drug reaction was probable. Because of possible INR abnormalities during the concomitant use of acenocoumarol, ombitasvir/paritaprevir/ritonavir and dasabuvir, clinicians should closely monitor INR values.Decreased INR after acenocoumarol, ombitasvir/paritaprevir/ritonavir and dasabuvir co-administration. de Lorenzo-Pinto A, Giménez-Manzorro Á, Rodríguez-González CG, et al. J Clin Pharm Ther. 2016 Aug;41(4):444-446."
8,Ombitasvir/Paritaprevir/r + Dasabuvir,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but a clinically significant interaction is unlikely as acetazolamide is excreted unchanged in urine.,(See Summary)
9,Ombitasvir/Paritaprevir/r + Dasabuvir,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but aciclovir can be administered with ombitasvir/paritaprevir/ritonavir + dasabuvir and no dose alteration is required. Aciclovir is mainly excreted in urine,(See Summary)
