,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Peginterferon alfa-2a,Abacavir,Potential Interaction,NA,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Abacavir is metabolised by alcohol dehydrogenase and UGT which are not affected by peginterferon alfa-2a. However, hepatic decompensation (some fatal) has occurred rarely in cirrhotic HIV/HCV co-infected patients receiving NRTI-containing HIV therapy and interferon alpha and ribavirin. Patients receiving interferon with ribavirin and NRTIs should be closely monitored for treatment-associated toxicities, especially hepatic decompensation and anaemia.",(See Summary)
1,Peginterferon alfa-2a,Abiraterone,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Peginterferon alfa-2a neither affects, nor is affected by, CYP2D6.",(See Summary)
2,Peginterferon alfa-2a,Acalabrutinib,Potential Interaction,NA,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate which are not affected by peginterferon alfa-2a. However, the risk of haematological toxicity may be potentially increased as both drugs can cause myelosuppression. Closely monitor haematological parameters.",(See Summary)
3,Peginterferon alfa-2a,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Peginterferon alfa-2a,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
5,Peginterferon alfa-2a,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetolol metabolite.,(See Summary)
6,Peginterferon alfa-2a,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aceclofenac is metabolised by CYP2C9 which is not affected by peginterferon alfa-2a.,(See Summary)
7,Peginterferon alfa-2a,Acenocoumarol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Peginterferon alfa-2a may inhibit CYP1A2 to a limited extent which could potentially lead to a small increase in acenocoumarol concentrations, but this is unlikely to be clinically relevant. Peginterferon alfa-2ahas no effect on the other CYPs.",(See Summary)
8,Peginterferon alfa-2a,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but a clinically significant interaction is unlikely as acetazolamide is excreted unchanged in the urine.,(See Summary)
9,Peginterferon alfa-2a,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated primarily unchanged in the urine via active renal tubular secretion.,(See Summary)
10,Peginterferon alfa-2a,Acitretin,No Interaction Expected,NA,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
11,Peginterferon alfa-2a,Activated charcoal,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,(See Summary)
