,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Peginterferon alfa-2b,Abacavir,Potential Interaction,NA,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Abacavir is metabolised by alcohol dehydrogenase and UGT which are not affected by peginterferon alfa-2b. However, hepatic decompensation (some fatal) has occurred rarely in cirrhotic HIV/HCV co-infected patients receiving NRTI-containing HIV therapy and interferon alpha and ribavirin. Patients receiving interferon with ribavirin and NRTIs should be closely monitored for treatment-associated toxicities, especially hepatic decompensation and anaemia.",(See Summary)
1,Peginterferon alfa-2b,Abiraterone,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Peginterferon alfa-2b neither affects, nor is affected by, CYP2D6.",(See Summary)
2,Peginterferon alfa-2b,Acalabrutinib,Potential Interaction,NA,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate which are not affected by peginterferon alfa-2b. However, the risk of haematological toxicity may be potentially increased as both drugs can cause myelosuppression. Closely monitor haematological parameters.",(See Summary)
3,Peginterferon alfa-2b,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Peginterferon alfa-2b,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
5,Peginterferon alfa-2b,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetolol metabolite.,(See Summary)
6,Peginterferon alfa-2b,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aceclofenac is metabolised by CYP2C9 which is not affected by peginterferon alfa-2b.,(See Summary)
7,Peginterferon alfa-2b,Acenocoumarol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Peginterferon alfa-2b may inhibit CYP1A2 and CYP2C19 to a limited extent which could potentially lead to a small increase in acenocoumarol concentrations, but this is unlikely to be clinically relevant. Peginterferon alfa-2b has no effect on CYP2C9.",(See Summary)
8,Peginterferon alfa-2b,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but a clinically significant interaction is unlikely as acetazolamide is excreted unchanged in the urine.,(See Summary)
9,Peginterferon alfa-2b,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated primarily unchanged in the urine via active renal tubular secretion.,(See Summary)
10,Peginterferon alfa-2b,Acitretin,No Interaction Expected,NA,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
11,Peginterferon alfa-2b,Activated charcoal,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,(See Summary)
12,Peginterferon alfa-2b,Adefovir,Potential Interaction,NA,"Coadministration with peginterferon alfa-2b has not been studied. Coadministration of adefovir and peginterferon alfa-2a (180 µg, single dose) had no effect on adefovir but the pharmacokinetics of peginterferon alfa-2a were highly variable. Due to the high pharmacokinetic variability of pegylated interferon, no definitive conclusion can be drawn regarding the effect of adefovir and pegylated interferon coadministration on the pharmacokinetic profile of either medicinal product. Even though a pharmacokinetic interaction is unlikely given the two products are eliminated via different pathways, caution is recommended if both products are coadministered.","Due to the high pharmacokinetic variability of pegylated interferon, no definitive conclusion can be drawn regarding the effect of adefovir and pegylated interferon co-administration on the pharmacokinetic profile of either medicinal product. Even though a pharmacokinetic interaction is unlikely given the two products are eliminated via different pathways, caution is recommended if both products are co-administered.Hepsera Summary of Product Characteristics, Gilead Sciences Ltd, May 2018.The pharmacokinetics of adefovir have been evaluated in healthy volunteers following single dose pegylated interferon α-2a (PEGIFN) (180 µg) (N=15). The evaluation of the effect of adefovir on the pharmacokinetics of pegylated interferon alpha-2a was inconclusive due to the high variability of pegylated interferon alpha-2a. The pharmacokinetics of adefovir were unchanged when Hepsera was coadministered with pegylated interferon alpha-2a.Hepsera US Prescribing Information, Gilead Sciences Inc, December 2018."
13,Peginterferon alfa-2b,Agomelatine,No Interaction Expected,NA,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2. Peginterferon alfa-2b may inhibit CYP1A2 to a limited extent which could potentially lead to a small increase in agomelatine concentrations, but this is unlikely to be clinically relevant. [Note, agomelatine is contraindicated in hepatic impairment as increases in exposure of up to 140-times have been seen in cirrhotic patients.]",(See Summary)
14,Peginterferon alfa-2b,Albendazole,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Albendazole is metabolized by CYP3A4 and by the flavine-containing monooxygenase system which are not affected by peginterferon alfa-2b.",(See Summary)
