,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Ribavirin,Abacavir,Potential Interaction,NA,"Caution should be exercised when abacavir and ribavirin are coadministered. As abacavir and ribavirin share the same phosphorylation pathways a possible intracellular interaction has been postulated which could decrease ribavirin intracellular phosphorylated metabolites and result in a reduced likelihood of SVR. While some initial data suggested that HIV/HCV co-infected patients receiving abacavir-containing regimens may be at risk of lower response to ribavirin therapy, this has not been confirmed in more recent studies. In addition, a well-designed study to evaluate the effects of abacavir on intracellular ribavirin triphosphate and plasma ribavirin concentrations failed to show any significant effect. Hepatic decompensation (some fatal) has occurred rarely in cirrhotic HIV/HCV co-infected patients receiving NRTI-containing HIV therapy and interferon alpha and ribavirin. Patients receiving interferon with ribavirin and NRTIs should be closely monitored for treatment-associated toxicities, especially hepatic decompensation and anaemia.","Use of nucleoside analogs, alone or in combination with other nucleosides, has resulted in lactic acidosis. Pharmacologically, Rebetol increases phosphorylated metabolites of purine nucleosides in vitro. This activity could potentiate the risk of lactic acidosis induced by purine nucleoside analogs (e.g. didanosine or abacavir). Conflicting findings are reported in literature on co-administration between abacavir and Rebetol. Some data suggest that HIV/HCV co-infected patients receiving abacavir-containing ART may be at risk of a lower response rate to pegylated interferon/Rebetol therapy. Caution should be exercised when both medicines are co-administered.Caution should be taken in HIV-positive subjects co-infected with HCV who receive nucleoside reverse transcriptase inhibitor (NRTI) treatment (especially ddI and d4T) and associated interferon alfa/ribavirin treatment. In the HIV-positive population receiving an NRTI regimen, physicians should carefully monitor markers of mitochondrial toxicity and lactic acidosis when Rebetol is administered.Rebetol Summary of Product Characteristics, Merck Sharp & Dohme Ltd, September 2018.Hepatic decompensation (some fatal) has occurred in cirrhotic HIV/HCV co-infected patients receiving combination antiretroviral therapy for HIV and interferon alpha and ribavirin. Adding treatment with alpha interferons alone or in combination with ribavirin may increase the risk in this patient population. Patients receiving interferon with ribavirin and nucleoside reverse transcriptase inhibitors (NRTIs) should be closely monitored for treatment associated toxicities, especially hepatic decompensation and anemia. Discontinuation of NRTIs should be considered as medically appropriate (see labeling for individual NRTI product). Dose reduction or discontinuation of interferon, ribavirin, or both should also be considered if worsening clinical toxicities are observed, including hepatic decompensation (e.g., Child-Pugh greater than 6).Rebetol US Prescribing Information, Merck & Co Inc, October 2017."
1,Ribavirin,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Ribavirin is partly metabolised (non-CYP-mediated) and partly excreted in the urine. Ribavirin does not induce or inhibit CYP enzymes.,(See Summary)
2,Ribavirin,Acalabrutinib,Potential Interaction,NA,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate. Ribavirin is partly metabolised (non-CYP-mediated) and partly excreted in the urine. Ribavirin does not induce or inhibit CYP enzymes. However, the risk of haematological toxicity may be potentially increased as both drugs can cause myelosuppression. Closely monitor haematological parameters.",(See Summary)
3,Ribavirin,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Acamprosate does not undergo significant metabolism. Ribavirin is partly metabolised (non-CYP-mediated) and partly excreted in the urine.",(See Summary)
4,Ribavirin,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Ribavirin is partly metabolised (non-CYP-mediated) and partly excreted in the urine.",(See Summary)
5,Ribavirin,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetolol metabolite. Ribavirin is partly metabolised (non-CYP mediated) and partly excreted in the urine. Ribavirin is partly metabolised (non-CYP-mediated) and partly excreted in the urine. Ribavirin does not induce or inhibit CYP enzymes.,(See Summary)
6,Ribavirin,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aceclofenac is metabolised by CYP2C9. Ribavirin is partly metabolised (non-CYP-mediated) and partly excreted in the urine. Ribavirin does not induce or inhibit CYP enzymes.,(See Summary)
7,Ribavirin,Acenocoumarol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Ribavirin is partly metabolised (non-CYP-mediated) and partly excreted in the urine. Ribavirin does not induce or inhibit CYP enzymes.,(See Summary)
8,Ribavirin,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but a clinically significant interaction is unlikely. Acetazolamide is excreted unchanged in the urine. Ribavirin is partly metabolised (non-CYP-mediated) and partly excreted in the urine.,(See Summary)
9,Ribavirin,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated primarily unchanged in the urine via active renal tubular secretion. Ribavirin is partly metabolised (non-CYP-mediated) and partly excreted in the urine.,(See Summary)
