,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Simeprevir,Abacavir,No Interaction Expected,NA,"Coadministration has not been studied, but no clinically relevant drug-drug interaction is expected. No dose adjustment is required.","Coadministration has not been studied. No clinically relevant drug drug interaction is expected. No dose adjustment is required.Olysio Summary of Product Characteristics, Janssen-Cilag, May 2014. No clinically relevant drug-drug interaction is expected when simeprevir is co-administered with abacavir.Olysio US Prescribing Information, Janssen, November 2014."
1,Simeprevir,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Simeprevir is a mild inhibitor of intestinal CYP3A4 but data from ketoconazole have shown a negligible effect of CYP3A4 inhibitors on abiraterone.,(See Summary)
2,Simeprevir,Acalabrutinib,Potential Interaction,NA,Coadministration has not been studied. Acalabrutinib is a CYP3A4 and P-gp substrate. Acalabrutinib concentrations may increase due to inhibition of P-gp by simeprevir which may result in increased toxicity. On treatment monitoring is recommended.,(See Summary)
3,Simeprevir,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Simeprevir,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
5,Simeprevir,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetol metabolite which is not mediated by CYP450. ,(See Summary)
6,Simeprevir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9 which is not affected by simeprevir.,(See Summary)
7,Simeprevir,Acenocoumarol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Although simeprevir is a mild inhibitor of CYP1A2 any increase in acenocoumarol concentrations is unlikely to be of clinical significance.,(See Summary)
8,Simeprevir,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely as acetazolamide is largely excreted unchanged via renal tubular secretion.,(See Summary)
9,Simeprevir,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated primarily unchanged in the urine via glomerular filtration and active renal secretion.,(See Summary)
10,Simeprevir,Acitretin,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
11,Simeprevir,Activated charcoal,Potential Weak Interaction,NA,"Coadministration has not been studied. Activated charcoal absorbs substances in the stomach and intestines and may decrease absorption of orally administered medications. If coadministration is required, administration of activated charcoal and simeprevir should be separated by 4 hours. [Note: this interaction is not specific for simeprevir, but for any medication taken with activated charcoal.]",(See Summary)
12,Simeprevir,Adefovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Simeprevir is metabolised by CYP3A4. The potential for hepatically metabolised interactions with adefovir is low. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. No dose adjustment is required.,(See Summary)
13,Simeprevir,Agomelatine,No Interaction Expected,NA,"Coadministration has not been studied. Agomelatine is metabolised predominantly by CYP1A2 and although simeprevir is a mild inhibitor of CYP1A2, any increase in concentrations of agomelatine is unlikely to be of clinical significance. [Note, agomelatine is contraindicated in hepatic impairment as increases in exposure of up to 140-times have been seen in cirrhotic patients.]",(See Summary)
14,Simeprevir,Albendazole,Potential Interaction,NA,Coadministration has not been studied. In vitro studies have shown that CYP3A4 and the flavine-containing monooxygenase system are involved in the formation of the active metabolite albendazole sulfoxide. Simeprevir could potentially reduce albendazole sulfoxidation and thus lower the clinical effect of albendazole. The clinical significance of this interaction is unknown., (See Summary)
