,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Sofosbuvir,Abacavir,No Interaction Expected,NA,Coadministration has not been studied. Based on metabolism and elimination there is little potential for interaction as abacavir metabolism is mediated by UDP-glucuronyltransferases which are not affected by sofosbuvir. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
1,Sofosbuvir,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
2,Sofosbuvir,Acalabrutinib,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate which are not affected by sofosbuvir. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
3,Sofosbuvir,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Sofosbuvir,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.",(See Summary)
5,Sofosbuvir,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
6,Sofosbuvir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9 which is not affected by sofosbuvir. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
7,Sofosbuvir,Acenocoumarol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19 and sofosbuvir does not affect CYP enzymes.,(See Summary)
8,Sofosbuvir,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied. Based on metabolism and elimination there is little potential for interaction as acetazolamide is largely excreted unchanged via renal tubular secretion. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
9,Sofosbuvir,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated primarily unchanged in the urine via glomerular filtration and active renal secretion. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
10,Sofosbuvir,Acitretin,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation, neither of which is affected by sofosbuvir. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.",(See Summary)
11,Sofosbuvir,Activated charcoal,Potential Weak Interaction,NA,"Coadministration has not been studied. Activated charcoal absorbs substances in the stomach and intestines and may decrease absorption of orally administered medications. If coadministration is required, administration of activated charcoal and sofosbuvir should be separated by 4 hours. [Note: this interaction is not specific for sofosbuvir, but for any medication taken with activated charcoal.]",(See Summary)
12,Sofosbuvir,Adefovir,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.",(See Summary)
13,Sofosbuvir,Agomelatine,No Interaction Expected,NA,"Coadministration has not been studied. Based on metabolism and elimination there is little potential for a pharmacokinetic interaction as agomelatine is metabolised by CYP1A2 which is unlikely to be affected by sofosbuvir. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications. [Note, agomelatine is contraindicated in hepatic impairment as increases in exposure of up to 140-fold have been seen in cirrhotic patients.]",(See Summary)
14,Sofosbuvir,Albendazole,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as albendazole is metabolized in part by CYP3A4 which is not affected by sofosbuvir. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
15,Sofosbuvir,Albiglutide,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albiglutide is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by ubiquitous proteolytic enzymes. However, as albiglutide slows gastric emptying it is advisable to take sofosbuvir at least 1 hour before an albiglutide injection. [Note: this interaction is not specific for sofosbuvir, but for any medication taken with albiglutide.]",(See Summary)
16,Sofosbuvir,Alemtuzumab,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alemtuzumab is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by widely distributed proteolytic enzymes. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
17,Sofosbuvir,Alendronic acid,No Interaction Expected,NA,"Coadministration has not been studied but alendronate can be administered with sofosbuvir and no dose alteration is required. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, note that alendronate should be separated from food or other medicinal products and therefore should be separated from sofosbuvir administration. [Note: this interaction is not specific for sofosbuvir, but for any medication taken with alendronic acid.]",(See Summary)
18,Sofosbuvir,Alfentanil,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfentanil is metabolised by CYP3A4 which is not affected by sofosbuvir. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
19,Sofosbuvir,Alfuzosin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolised by CYP3A4 which is not affected by sofosbuvir. Sofosbuvir is a prodrug and formation of its active metabolite is unlikely to be affected by comedications.,(See Summary)
