,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Sofosbuvir/Velpatasvir,Abacavir,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Abacavir can be administered with sofosbuvir/velpatasvir and no dose alteration is required. Abacavir is metabolised by UGTs which are not affected by sofosbuvir/velpatasvir.",(See Summary)
1,Sofosbuvir/Velpatasvir,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Sofosbuvir/velpatasvir is not involved with this pathway.,(See Summary)
2,Sofosbuvir/Velpatasvir,Acalabrutinib,Potential Interaction,NA,Coadministration has not been studied. Acalabrutinib is a CYP3A4 and P-gp substrate. Acalabrutinib concentrations may increase due to inhibition of P-gp by velpatasvir which may result in increased toxicity. On treatment monitoring is recommended.,(See Summary)
3,Sofosbuvir/Velpatasvir,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Sofosbuvir/Velpatasvir,Acarbose,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological effect and is metabolised by intestinal enzymes and by the gut microflora.,(See Summary)
5,Sofosbuvir/Velpatasvir,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetol metabolite which is not mediated by CYP450. ,(See Summary)
6,Sofosbuvir/Velpatasvir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
7,Sofosbuvir/Velpatasvir,Acenocoumarol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is metabolised by CYP2C9 and CYP1A2 which are not affected by sofosbuvir/velpatasvir.,"As liver function may change during treatment with Epclusa, a close monitoring of International Normalised Ratio (INR) values is recommended in patients treated with vitamin K antagonists. Epclusa Summary of Product Characteristics, Gilead Sciences Ltd., November 2019."
8,Sofosbuvir/Velpatasvir,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acetazolamide is excreted unchanged in urine.,(See Summary)
9,Sofosbuvir/Velpatasvir,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated primarily unchanged in the urine via glomerular filtration and active renal secretion. It is transported by OCT3 and sofosbuvir/velpatasvir do not inhibit or induce this pathway.,(See Summary)
10,Sofosbuvir/Velpatasvir,Acitretin,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation which are not affected by sofosbuvir/velpatasvir.",(See Summary)
11,Sofosbuvir/Velpatasvir,Activated charcoal,Potential Weak Interaction,NA,"Coadministration has not been studied. Activated charcoal absorbs substances in the stomach and intestines and may decrease absorption of orally administered medications. If coadministration is required, administration of activated charcoal and sofosbuvir/velpatasvir should be separated by 4 hours. [Note: this interaction is not specific for sofosbuvir/velpatasvir, but for any medication taken with activated charcoal.]",(See Summary)
12,Sofosbuvir/Velpatasvir,Adefovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adefovir is not expected to inhibit or induce any relevant metabolic enzymes or transporters of sofosbuvir/velpatasvir. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Sofosbuvir/velpatasvir do not inhibit this transporter.,(See Summary)
13,Sofosbuvir/Velpatasvir,Agomelatine,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolized predominantly by CYP1A2 which is not affected by sofosbuvir/velpatasvir. [Note, agomelatine is contraindicated in hepatic impairment as increases in exposure of 140-fold have been seen in cirrhotic patients.]",(See Summary)
14,Sofosbuvir/Velpatasvir,Albendazole,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is metabolized in part by CYP3A4 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
15,Sofosbuvir/Velpatasvir,Albiglutide,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albiglutide is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by ubiquitous proteolytic enzymes. However, as albiglutide slows gastric emptying it is advisable to take sofosbuvir/velpatasvir at least 1 hour before an albiglutide injection. [Note: this interaction is not specific for sofosbuvir/velpatasvir, but for any medication taken with albiglutide.]",(See Summary)
16,Sofosbuvir/Velpatasvir,Alemtuzumab,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alemtuzumab is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by widely distributed proteolytic enzymes.,(See Summary)
17,Sofosbuvir/Velpatasvir,Alendronic acid,No Interaction Expected,NA,"Coadministration has not been studied but alendronate can be administered with sofosbuvir/velpatasvir and no dose alteration is required. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, note that alendronate should be separated from food or other medicinal products and therefore should be separated from sofosbuvir/velpatasvir administration. [Note: this interaction is not specific for sofosbuvir/velpatasvir, but for any medication taken with alendronic acid.]",(See Summary)
18,Sofosbuvir/Velpatasvir,Alfentanil,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil is metabolised by CYP3A4 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
19,Sofosbuvir/Velpatasvir,Alfuzosin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A4 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
20,Sofosbuvir/Velpatasvir,Aliskiren,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is a substrate of P-gp and concentrations may increase due to mild inhibition of P-gp by velpatasvir, however, this is unlikely to be of clinical significance. Although both drugs are substrates of P-gp, no effect on sofosbuvir concentrations is expected.",(See Summary)
21,Sofosbuvir/Velpatasvir,Allopurinol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is metabolised by xanthine oxidase which is not affected by sofosbuvir/velpatasvir. [Note, the European SmPC and US Prescribing Information for allopurinol recommend a reduced dose in hepatic impairment.]",(See Summary)
22,Sofosbuvir/Velpatasvir,Almotriptan,No Interaction Expected,NA,"     Coadministration has not been studied but based on   metabolism and clearance a clinically significant interaction is unlikely. In vitro studies indicate a minor role for   CYP3A4 and CYP2D6 in the metabolism of almotriptan which are not affected by   sofosbuvir/velpatasvir.      ",(See Summary)
23,Sofosbuvir/Velpatasvir,Aloe vera,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Aloe vera is only a weak inhibitor of CYPs in vitro and therefore is unlikely to cause clinically significant interactions. It does not inhibit P-gp and there is no evidence to suggest it impacts UGTs.",(See Summary)
24,Sofosbuvir/Velpatasvir,Alogliptin ,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alogliptin does not undergo extensive metabolism and is excreted mainly unchanged in the urine and metabolism by CYPs is minimal. No transporter interactions have been described.,(See Summary)
25,Sofosbuvir/Velpatasvir,Alprazolam,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
26,Sofosbuvir/Velpatasvir,Aluminium hydroxide,Potential Interaction,NA,Coadministration has not been studied but may decrease velpatasvir concentrations due the increase in gastric pH. Administration of an antacid and sofosbuvir/velpatasvir should be separated by 4 hours.,"Velpatasvir solubility decreases as pH increases. Medicinal products that increase gastric pH are expected to decrease the concentration of velpatasvir. No effect on sofosbuvir concentrations is expected. It is recommended to separate antacid and Epclusa administration by 4 hours.Epclusa Summary of Product Characteristics, Gilead Sciences Ltd., November 2019.Velpatasvir solubility decreases as pH increases. Drugs that increase gastric pH are expected to decrease concentration of velpatasvir. Separate antacid and Epclusa administration by 4 hours. Epclusa Prescribing Information, Gilead Science Inc., November 2019."
27,Sofosbuvir/Velpatasvir,Alverine citrate,No Interaction Expected,NA,"Coadministration has not been studied but based on limited understanding of metabolism and clearance a clinically significant interaction is unlikely. However as alverine citrate affects gastric motility, an effect on the absorption of sofosbuvir/velpatasvir cannot be ruled out. Doses of sofosbuvir/velpatasvir and alverine should be separated by 4 hours if possible. [Note: this interaction is not specific for sofosbuvir/velpatasvir, but for any medication taken with alverine citrate.]",(See Summary)
28,Sofosbuvir/Velpatasvir,Amantadine,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amantadine is only metabolized to a minor extent (principally N-acetylation) and is largely excreted unchanged in urine.,(See Summary)
29,Sofosbuvir/Velpatasvir,Ambrisentan,No Interaction Expected,NA,"Coadministration has not been studied. Ambrisartan is a substrate of P-gp and concentrations may increase due to mild inhibition of P-gp by velpatasvir, however, this is unlikely to be of clinical significance. Although both drugs are substrates of P-gp, no effect on sofosbuvir concentrations is expected.",(See Summary)
30,Sofosbuvir/Velpatasvir,Amikacin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amikacin is largely excreted unchanged renally via glomerular filtration.,(See Summary)
31,Sofosbuvir/Velpatasvir,Amiloride,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is not metabolised by the liver with approximately 50% of an oral dose excreted in urine.,(See Summary)
32,Sofosbuvir/Velpatasvir,Amiodarone,Do Not Coadminister,NA,"Coadministration has not been studied and is not recommended. Coadministration of amiodarone and sofosbuvir combined with another direct acting antiviral such as velpatasvir may result in serious symptomatic bradycardia. The mechanism of this effect is unknown. The effect on amiodarone, sofosbuvir, and velpatasvir concentrations unknown. If coadministration is required as no other alternative is available, cardiac monitoring is recommended.","Interaction not studied. Effect on amiodarone, velpatasvir, and sofosbuvir concentrations unknown. Use only if no other alternative is available. Close monitoring is recommended if this medicinal product is administered with Epclusa. Cases of severe bradycardia and heart block have been observed when sofosbuvir used in combination with another direct acting antiviral (DAA), is used with concomitant amiodarone with or without other medicinal products that lower heart rate. The mechanism is not established. The concomitant use of amiodarone was limited through the clinical development of sofosbuvir plus DAAs. Cases are potentially life threatening, therefore amiodarone should only be used in patients on Epclusa when other alternative anti-arrhythmic treatments are not tolerated or are contraindicated. Should concomitant use of amiodarone be considered necessary, it is recommended that patients are closely monitored when initiating Epclusa. Patients who are identified as being at high risk of bradyarrhythmia should be continuously monitored for 48 hours in an appropriate clinical setting. Due to the long half-life of amiodarone, appropriate monitoring should also be carried out for patients who have discontinued amiodarone within the past few months and are to be initiated on Epclusa. All patients receiving Epclusa in combination with amiodarone with or without other medicinal products that lower heart rate should also be warned of the symptoms of bradycardia and heart block and should be advised to seek medical advice urgently should they experience them.Epclusa Summary of Product Characteristics, Gilead Sciences Ltd., November 2019.Interaction not studied. Effect on amiodarone, velpatasvir, and sofosbuvir concentrations unknown. Use only if no other alternative is available. Close monitoring is recommended if this medicinal product is administered with Epclusa. Cases of severe bradycardia and heart block have been observed when sofosbuvir used in combination with another direct acting antiviral (DAA), is used with concomitant amiodarone with or without other medicinal products that lower heart rate. The mechanism is not established. The concomitant use of amiodarone was limited through the clinical development of sofosbuvir plus DAAs. Cases are potentially life threatening, therefore amiodarone should only be used in patients on Epclusa when other alternative anti-arrhythmic treatments are not tolerated or are contraindicated. Should concomitant use of amiodarone be considered necessary, it is recommended that patients are closely monitored when initiating Epclusa. Patients who are identified as being at high risk of bradyarrhythmia should be continuously monitored for 48 hours in an appropriate clinical setting, after which outpatient or self-monitoring of the heart rate should occur on a daily basis through at least the first 2 weeks of treatment. Due to the long half-life of amiodarone, appropriate monitoring should also be carried out for patients who have discontinued amiodarone within the past few months and are to be initiated on Epclusa. Advise patients to seek medical evaluation immediately for symptoms of bradycardia such as near-fainting or fainting, dizziness or light-headedness, malaise, weakness, excessive tiredness, shortness of breath, chest pain, confusion or memory problems.Epclusa Prescribing Information, Gilead Science Inc., November 2019."
33,Sofosbuvir/Velpatasvir,Amisulpride,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amisulpride is largely excreted unchanged in urine and undergoes relatively little metabolism.,(See Summary)
34,Sofosbuvir/Velpatasvir,Amitriptyline,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19 which are not affected by sofosbuvir/velpatasvir.,(See Summary)
35,Sofosbuvir/Velpatasvir,Amlodipine,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Although amlodipine is a mild inhibitor of CYP3A4 and P-gp, no clinically significant effect on velpatasvir is expected. Concentrations of sofosbuvir, but not the main circulating metabolite GS-331007, may increase but no a priori dose modification is recommended. Amlodipine is a substrate of P-gp and concentrations may increase due to mild inhibition of P-gp by velpatasvir, however, this is unlikely to be clinically significant.",(See Summary)
36,Sofosbuvir/Velpatasvir,Amobarbital,Do Not Coadminister,NA,Coadministration has not been studied and is not recommended. Amobarbital induces CYP3A4 and P-gp and could decrease concentrations of sofosbuvir/velpatasvir. This may result in loss of efficacy and potential virological failure.,(See Summary)
37,Sofosbuvir/Velpatasvir,Amodiaquine,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amodiaquine is metabolised by CYP2C8 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
38,Sofosbuvir/Velpatasvir,Amoxicillin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is renally excreted unchanged by glomerular filtration and tubular secretion.,(See Summary)
39,Sofosbuvir/Velpatasvir,Amphetamine,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amphetamine is metabolised by CYP2D6 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
40,Sofosbuvir/Velpatasvir,Amphotericin B,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amphotericin B is mainly excreted in the urine.,(See Summary)
41,Sofosbuvir/Velpatasvir,Ampicillin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ampicillin is renally excreted unchanged by glomerular filtration and tubular secretion.,(See Summary)
42,Sofosbuvir/Velpatasvir,Anagrelide,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anagrelide is metabolised by CYP1A2 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
43,Sofosbuvir/Velpatasvir,Anastrozole,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anastrozole is metabolized by multiple enzyme pathways and a clinically significant interaction is not expected.,(See Summary)
44,Sofosbuvir/Velpatasvir,Anidulafungin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as anidulafungin is not hepatically metabolized and there are no known transporter interactions.,(See Summary)
45,Sofosbuvir/Velpatasvir,Antacids,Potential Interaction,NA,Coadministration has not been studied but may decrease velpatasvir concentrations due the increase in gastric pH. Administration of an antacid and sofosbuvir/velpatasvir should be separated by 4 hours.,"Velpatasvir solubility decreases as pH increases. Medicinal products that increase gastric pH are expected to decrease the concentration of velpatasvir. No effect on sofosbuvir concentrations is expected. It is recommended to separate antacid and Epclusa administration by 4 hours.Epclusa Summary of Product Characteristics, Gilead Sciences Ltd., November 2019.Velpatasvir solubility decreases as pH increases. Drugs that increase gastric pH are expected to decrease concentration of velpatasvir. Separate antacid and Epclusa administration by 4 hours.Epclusa Prescribing Information, Gilead Science Inc., November 2019."
46,Sofosbuvir/Velpatasvir,Apixaban,Potential Interaction,NA,Coadministration has not been studied. Concentrations of apixaban may increase due to inhibition of P-gp and BCRP by velpatasvir. No a priori dose modification is recommended but close monitoring for increased apixiban side effects is recommended.,(See Summary)
47,Sofosbuvir/Velpatasvir,Aprepitant,No Interaction Expected,NA,"Coadministration has not been studied. Although aprepitant is an inhibitor of CYP3A4, no clinically significant effect on sofosbuvir/velpatasvir is expected. Note, following cessation of aprepitant, sofosbuvir/velpatasvir concentrations may decrease due to transient mild induction of CYP3A4, though this is unlikely to be clinically significant.",(See Summary)
48,Sofosbuvir/Velpatasvir,Aripiprazole,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolized by CYP3A4 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
49,Sofosbuvir/Velpatasvir,Artemether,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Artemether is metabolised by CYP3A4 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
50,Sofosbuvir/Velpatasvir,Artemisinin,Potential Interaction,NA,"Coadministration has not been studied. Artemisinins undergo rapid metabolism via several CYP450 (CYPs 3A4, 2A6, 2B6). The active metabolite (dihydroartemisinin, which has greater potency than the parent drug) is further metabolized via UGTs 1A9 and 2B7 and has been shown to induce CYP3A4. Dihydroartemisinin may potentially decrease sofosbuvir/velpatasvir concentrations although the clinical significance of this is uncertain. Caution is advised with close monitoring for therapeutic effect.  ",(See Summary)
51,Sofosbuvir/Velpatasvir,Artesunate,Potential Interaction,NA,Coadministration has not been studied. Dihydroartemisinin (the active metabolite of artesunate) is further metabolised via UGTs 1A9 and 2B7 and has been shown to induce CYP3A4. Dihydroartemisinin may potentially decrease sofosbuvir/velpatasvir concentrations although the clinical significance of this is uncertain. Caution is advised with close monitoring for therapeutic effect. ,(See Summary)
52,Sofosbuvir/Velpatasvir,Ascorbic acid (Vitamin C),No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ascorbic acid is largely hydrolysed to salicylic acid followed by conjugation with either glycine or glucuronic acid.,(See Summary)
53,Sofosbuvir/Velpatasvir,Asenapine,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolized by glucuronidation (UGT1A4) and oxidative metabolism (mainly CYP1A2, with minor contributions from CYP3A4 and CYP2D6). As asenapine is metabolised by multiple pathways, a clinically significant effect is unlikely.",(See Summary)
54,Sofosbuvir/Velpatasvir,Aspirin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is metabolised by deacetylation and UGT2B7 conjugation.,(See Summary)
55,Sofosbuvir/Velpatasvir,Astemizole,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolised by CYP3A4 which is not affected by sofosbuvir/velpatasvir.,(See Summary)
56,Sofosbuvir/Velpatasvir,Atazanavir alone,No Interaction Expected,NA,"Coadministration with atazanavir alone has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Coadministration of sofosbuvir/velpatasvir with atazanavir/ritonavir (300/100 mg once daily with emtricitabine and tenofovir-DF, n=24) increased atazanavir Cmax, AUC and Cmin by 9%, 20% and 39%, respectively; ritonavir Cmax and AUC decreased by 11% and 3%, but Cmin increased by 29%. Cmax and AUC of sofosbuvir increased by 12% and 22%; velpatasvir Cmax, AUC and Cmin increased by 55%, 142%, and 301%. Based on these data, a clinically significant interaction is unlikely with atazanavir.","No dose adjustment of Epclusa or atazanavir (ritonavir boosted) is required. Coadministration of atazanavir boosted with ritonavir (300/100 mg once daily) + emtricitabine/tenofovir disoproxil fumarate (200/300 mg once daily) and sofosbuvir/velpatasvir (400 100 mg once daily) had no effect on atazanavir Cmax or AUC but increased Cmin by 40%. There was no change in ritonavir Cmax and a 30% increase in Cmin. Sofosbuvir Cmax and AUC were unchanged, but velpatasvir Cmax, AUC, and Cmin increased by 60%, 140% and 300%.Epclusa Summary of Product Characteristics, Gilead Sciences Ltd., November 2019.Based on drug interaction studies conducted with Epclusa, no clinically significant drug interactions have been observed with atazanavir/ritonavir. Coadministration of atazanavir/ritonavir (300/100 mg once daily with emtricitabine and tenofovir-DF) and sofosbuvir/velpatasvir (400/100 mg once daily) was studied in 24 subjects. Cmax and AUC of sofosbuvir increased by 12% and 22%; Cmax, AUC and Cmin of GS-331007 increased by 21%, 32% and 42% respectively. Velpatasvir Cmax, AUC and Cmin increased by 55%, 142%, and 301%. Atazanavir Cmax, AUC and Cmin increased by 9%, 20% and 39%, respectively; ritonavir Cmax and AUC decreased by 11% and 3%, but Cmin increased by 29%.Epclusa Prescribing Information, Gilead Science Inc., November 2019."
57,Sofosbuvir/Velpatasvir,Atazanavir/cobicistat,No Interaction Expected,NA,"Coadministration with atazanavir/cobicistat has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Coadministration of sofosbuvir/velpatasvir with atazanavir/ritonavir (300/100 mg once daily with emtricitabine and tenofovir-DF, n=24) increased atazanavir Cmax, AUC and Cmin by 9%, 20% and 39%, respectively; ritonavir Cmax and AUC decreased by 11% and 3%, but Cmin increased by 29%. Cmax and AUC of sofosbuvir increased by 12% and 22%; velpatasvir Cmax, AUC and Cmin increased by 55%, 142%, and 301%. Based on these data, a clinically significant interaction is unlikely with atazanavir/cobicistat.","No dose adjustment of Epclusa or atazanavir (ritonavir boosted) is required. Coadministration of atazanavir boosted with ritonavir (300/100 mg once daily) + emtricitabine/tenofovir disoproxil fumarate (200/300 mg once daily) and sofosbuvir/velpatasvir (400 100 mg once daily) had no effect on atazanavir Cmax or AUC but increased Cmin by 40%. There was no change in ritonavir Cmax and a 30% increase in Cmin. Sofosbuvir Cmax and AUC were unchanged, but velpatasvir Cmax, AUC, and Cmin increased by 60%, 140% and 300%. Epclusa has been shown to increase tenofovir exposure, especially when used together with an HIV regimen containing tenofovir disoproxil fumarate and a pharmacokinetic enhancer (ritonavir or cobicistat). The safety of tenofovir disoproxil fumarate in the setting of Epclusa and a pharmacokinetic enhancer has not been established.Epclusa Summary of Product Characteristics, Gilead Sciences Ltd., November 2019.Based on drug interaction studies conducted with Epclusa, no clinically significant drug interactions have been observed with atazanavir/ritonavir. Coadministration of atazanavir/ritonavir (300/100 mg once daily with emtricitabine and tenofovir-DF) and sofosbuvir/velpatasvir (400/100 mg once daily) was studied in 24 subjects. Cmax and AUC of sofosbuvir increased by 12% and 22%; Cmax, AUC and Cmin of GS-331007 increased by 21%, 32% and 42% respectively. Velpatasvir Cmax, AUC and Cmin increased by 55%, 142%, and 301%. Atazanavir Cmax, AUC and Cmin increased by 9%, 20% and 39%, respectively; ritonavir Cmax and AUC decreased by 11% and 3%, but Cmin increased by 29%.Epclusa Prescribing Information, Gilead Science Inc., November 2019."
