,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Sofosbuvir/Velpatasvir/Voxilaprevir,Abacavir,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Abacavir can be administered with sofosbuvir/velpatasvir/voxilaprevir and no dose alteration is required. Abacavir is metabolised by UGTs which are not affected by sofosbuvir/velpatasvir/voxilaprevir.",(See Summary)
1,Sofosbuvir/Velpatasvir/Voxilaprevir,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Sofosbuvir/velpatasvir/voxilaprevir is not involved with this pathway.,(See Summary)
2,Sofosbuvir/Velpatasvir/Voxilaprevir,Acalabrutinib,Potential Interaction,NA,Coadministration has not been studied. Acalabrutinib is a CYP3A4 and P-gp substrate. Acalabrutinib concentrations may increase due to inhibition of P-gp by velpatasvir and voxilaprevir which may result in increased toxicity. On treatment monitoring is recommended.,(See Summary)
3,Sofosbuvir/Velpatasvir/Voxilaprevir,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Sofosbuvir/Velpatasvir/Voxilaprevir,Acarbose,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological effect and is metabolised by intestinal enzymes and by the gut microflora.,(See Summary)
5,Sofosbuvir/Velpatasvir/Voxilaprevir,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetol metabolite which is not mediated by CYP450.,(See Summary)
6,Sofosbuvir/Velpatasvir/Voxilaprevir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9 which is not affected by sofosbuvir/velpatasvir/voxilaprevir.,(See Summary)
7,Sofosbuvir/Velpatasvir/Voxilaprevir,Acenocoumarol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is metabolised by CYP2C9 and CYP1A2 which are not affected by sofosbuvir/velpatasvir/voxilaprevir.,"As liver function may change during treatment with Vosevi, close monitoring of International Normalised Ratio (INR) values is recommended with vitamin K antagonists.Vosevi Summary of Product Characteristics, Gilead Sciences Ltd, July 2017."
8,Sofosbuvir/Velpatasvir/Voxilaprevir,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acetazolamide is excreted unchanged in urine.,(See Summary)
9,Sofosbuvir/Velpatasvir/Voxilaprevir,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated primarily unchanged in the urine via glomerular filtration and active renal secretion. It is transported by OCT3 and sofosbuvir/velpatasvir/voxilaprevir do not inhibit or induce this pathway.,(See Summary)
10,Sofosbuvir/Velpatasvir/Voxilaprevir,Acitretin,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation which are not affected by sofosbuvir/velpatasvir/voxilaprevir.",(See Summary)
11,Sofosbuvir/Velpatasvir/Voxilaprevir,Activated charcoal,Potential Weak Interaction,NA,"Coadministration has not been studied. Activated charcoal absorbs substances in the stomach and intestines and may decrease absorption of orally administered medications. If coadministration is required, administration of activated charcoal and sofosbuvir/velpatasvir/voxilaprevir should be separated by 4 hours. [Note: this interaction is not specific for sofosbuvir/velpatasvir/voxilaprevir but for any medication taken with activated charcoal.]",(See Summary)
12,Sofosbuvir/Velpatasvir/Voxilaprevir,Adefovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adefovir is not expected to inhibit or induce any relevant metabolic enzymes or transporters of sofosbuvir/velpatasvir/voxilaprevir. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Sofosbuvir/velpatasvir/voxilaprevir do not inhibit this transporter.,(See Summary)
13,Sofosbuvir/Velpatasvir/Voxilaprevir,Agomelatine,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolized predominantly by CYP1A2 which is not affected by sofosbuvir/velpatasvir/voxilaprevir. [Note, agomelatine is contraindicated in hepatic impairment as increases in exposure of 140-fold have been seen in cirrhotic patients.]",(See Summary)
14,Sofosbuvir/Velpatasvir/Voxilaprevir,Albendazole,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is metabolized in part by CYP3A4 which is not affected by sofosbuvir/velpatasvir/voxilaprevir.,(See Summary)
15,Sofosbuvir/Velpatasvir/Voxilaprevir,Albiglutide,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albiglutide is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by ubiquitous proteolytic enzymes. However, as albiglutide slows gastric emptying it is advisable to take sofosbuvir/velpatasvir/voxilaprevir at least 1 hour before an albiglutide injection. [Note: this interaction is not specific for sofosbuvir/velpatasvir/voxilaprevir, but for any medication taken with albiglutide.]",(See Summary)
16,Sofosbuvir/Velpatasvir/Voxilaprevir,Alemtuzumab,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alemtuzumab is a protein for which the expected metabolic pathway is degradation to small peptides and individual amino acids by widely distributed proteolytic enzymes.,(See Summary)
17,Sofosbuvir/Velpatasvir/Voxilaprevir,Alendronic acid,No Interaction Expected,NA,"Coadministration has not been studied but alendronate can be administered with sofosbuvir/velpatasvir/voxilaprevir and no dose alteration is required. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, note that alendronate should be separated from food or other medicinal products and therefore should be separated from sofosbuvir/velpatasvir/voxilaprevir administration. [Note: this interaction is not specific for sofosbuvir/velpatasvir/voxilaprevir, but for any medication taken with alendronic acid.]",(See Summary)
18,Sofosbuvir/Velpatasvir/Voxilaprevir,Alfentanil,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil is metabolised by CYP3A4 which is not affected by sofosbuvir/velpatasvir/voxilaprevir.,(See Summary)
19,Sofosbuvir/Velpatasvir/Voxilaprevir,Alfuzosin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A4 which is not affected by sofosbuvir/velpatasvir/voxilaprevir.,(See Summary)
20,Sofosbuvir/Velpatasvir/Voxilaprevir,Aliskiren,Potential Interaction,NA,"Coadministration has not been studied. Aliskiren is a substrate of P-gp and concentrations may increase due to inhibition of P-gp by velpatasvir and voxilaprevir. Monitor for side effects and aliskiren toxicities. Although both drugs are substrates of P-gp, no effect on sofosbuvir/velpatasvir/voxilaprevir concentrations is expected.",(See Summary)
21,Sofosbuvir/Velpatasvir/Voxilaprevir,Allopurinol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is metabolised by xanthine oxidase which is not affected by sofosbuvir/velpatasvir/voxilaprevir. [Note, the European Summary of Product Characteristics and US Prescribing Information for allopurinol recommend a reduced dose in hepatic impairment.]",(See Summary)
22,Sofosbuvir/Velpatasvir/Voxilaprevir,Almotriptan,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro studies indicate a minor role for CYP3A4 and CYP2D6 in the metabolism of almotriptan but these pathways are not affected by sofosbuvir/velpatasvir/voxilaprevir.,(See Summary)
23,Sofosbuvir/Velpatasvir/Voxilaprevir,Aloe vera,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Aloe vera is only a weak inhibitor of CYPs in vitro and therefore is unlikely to cause clinically significant interactions. It does not inhibit P-gp and there is no evidence to suggest it impacts UGTs.",(See Summary)
24,Sofosbuvir/Velpatasvir/Voxilaprevir,Alogliptin ,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alogliptin does not undergo extensive metabolism and is excreted mainly unchanged in the urine and metabolism by CYPs is minimal. No transporter interactions have been described.,(See Summary)
25,Sofosbuvir/Velpatasvir/Voxilaprevir,Alprazolam,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4 which is not affected by sofosbuvir/velpatasvir/voxilaprevir.,(See Summary)
26,Sofosbuvir/Velpatasvir/Voxilaprevir,Aluminium hydroxide,Potential Interaction,NA,Coadministration has not been studied but may decrease velpatasvir concentrations due the increase in gastric pH. Administration of an antacid and sofosbuvir/velpatasvir/voxilaprevir should be separated by 4 hours.,"Coadministration has not been studied but is expected to have no effect on sofosbuvir or voxilaprevir concentrations and to decrease velpatasvir concentrations. (An increase in gastric pH decreases velpatasvir solubility). It is recommended to separate antacid and Vosevi administration by 4 hours.Vosevi Summary of Product Characteristics, Gilead Sciences Ltd, July 2017.Velpatasvir solubility decreases as pH increases. Drugs that increase gastric pH are expected to decrease concentration of velpatasvir. Separate antacid and Vosevi administration by 4 hours.Vosevi US Prescribing Information, Gilead Sciences Inc, July 2017."
