,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Telbivudine,Abacavir,Potential Interaction,NA,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Telbivudine is eliminated primarily via urinary excretion of unchanged drug by passive diffusion, so an interaction via this pathway is unlikely. However, lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogues alone or in combination with antiretrovirals and should be used with caution.",(See Summary)
1,Telbivudine,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. No hepatic metabolism of telbivudine was detected following administration. Telbivudine is eliminated primarily via urinary excretion of unchanged drug by passive diffusion.,(See Summary)
2,Telbivudine,Acalabrutinib,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate. No hepatic metabolism of telbivudine was detected following administration. Telbivudine is eliminated primarily via urinary excretion of unchanged drug by passive diffusion.,(See Summary)
3,Telbivudine,Acamprosate,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Neither acamprosate nor telbivudine undergoes significant metabolism. ,(See Summary)
4,Telbivudine,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of the active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
5,Telbivudine,Acebutolol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetolol metabolite. Telbivudine is eliminated primarily via urinary excretion of unchanged drug by passive diffusion, so an interaction via this pathway is unlikely.",(See Summary)
6,Telbivudine,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9. No hepatic metabolism of telbivudine was detected following administration. Telbivudine is eliminated primarily via urinary excretion of unchanged drug by passive diffusion.,(See Summary)
7,Telbivudine,Acenocoumarol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. No hepatic metabolism of telbivudine was detected following administration. Telbivudine is eliminated primarily via urinary excretion of unchanged drug by passive diffusion.,(See Summary)
8,Telbivudine,Acetazolamide,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown acetazolamide may competitively inhibit renal transporters OAT1, OAT3 and OAT4. Telbivudine is eliminated primarily via urinary excretion of unchanged drug by passive diffusion, so an interaction via this pathway is unlikely.",(See Summary)
9,Telbivudine,Aciclovir,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Telbivudine is eliminated primarily via urinary excretion of unchanged drug by passive diffusion, so an interaction via this pathway is unlikely.",(See Summary)
10,Telbivudine,Acitretin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation. No hepatic metabolism of telbivudine was detected following administration. Telbivudine is eliminated primarily via urinary excretion of unchanged drug by passive diffusion.,(See Summary)
