,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Tenofovir alafenamide,Abacavir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. A high rate of virological failure and emergence of resistance have been reported with once-daily regimens of abacavir with lamivudine and tenofovir-DF; the same problems may be seen if tenofovir alafenamide is administered with abacavir and a third nucleoside analogue.,(See Summary)
1,Tenofovir alafenamide,Abiraterone,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Tenofovir alafenamide is metabolised to tenofovir (major metabolite) by carboxylesterase-1 and cathepsin A, with no CYP metabolism described. ",(See Summary)
2,Tenofovir alafenamide,Acalabrutinib,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate. Tenofovir alafenamide is metabolised to tenofovir (major metabolite) by carboxylesterase-1 and cathepsin A, with no CYP metabolism described. Tenofovir alafenamide does not inhibit P-gp.",(See Summary)
3,Tenofovir alafenamide,Acamprosate,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate does not undergo significant metabolism. Tenofovir alafenamide is metabolised to tenofovir (major metabolite) by carboxylesterase-1 and cathepsin A.,(See Summary)
4,Tenofovir alafenamide,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of the active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
5,Tenofovir alafenamide,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as diacetolol. Renal excretion of intact tenofovir alafenamide is a minor pathway as it is mainly eliminated following metabolism to tenofovir. This results in 90% lower systemic levels of tenofovir compared to tenofovir-DF so clinically significant interactions via this pathway are unlikely.,(See Summary)
6,Tenofovir alafenamide,Aceclofenac,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9. Tenofovir alafenamide is metabolised to tenofovir (major metabolite) by carboxylesterase-1 and cathepsin A, with no CYP metabolism described. In addition, coadministration with an NSAID is unlikely to be of concern for nephrotoxicity as tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF.","Because tenofovir is primarily excreted by the kidneys by a combination of glomerular filtration and active tubular secretion, coadministration of Vemlidy with drugs that reduce renal function or compete for active tubular secretion may increase concentrations of tenofovir and other renally eliminated drugs and this may increase the risk of adverse reactions. Some examples of drugs that are eliminated by active tubular secretion include, but are not limited to, acyclovir, cidofovir, ganciclovir, valacyclovir, valganciclovir, aminoglycosides (e.g., gentamicin), and high-dose or multiple NSAIDs.Vemlidy US Prescribing Information, Gilead Sciences Inc, February 2019."
7,Tenofovir alafenamide,Acenocoumarol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Tenofovir alafenamide is metabolised to tenofovir (major metabolite) by carboxylesterase-1 and cathepsin A, with no CYP metabolism described.",(See Summary)
8,Tenofovir alafenamide,Acetazolamide,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown acetazolamide may competitively inhibit renal transporters OAT1, OAT3 and OAT4. Inhibition of these renal transporters is unlikely to lead to a significant increase in tenofovir as tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF.",(See Summary)
9,Tenofovir alafenamide,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Renal excretion of intact tenofovir alafenamide is a minor pathway as it is mainly eliminated following metabolism to tenofovir. This results in 90% lower systemic levels of tenofovir compared to tenofovir-DF so clinically significant interactions via this route are unlikely.,"Because tenofovir is primarily excreted by the kidneys by a combination of glomerular filtration and active tubular secretion, coadministration of Vemlidy with drugs that reduce renal function or compete for active tubular secretion may increase concentrations of tenofovir and other renally eliminated drugs and this may increase the risk of adverse reactions. Some examples of drugs that are eliminated by active tubular secretion include, but are not limited to, acyclovir, cidofovir, ganciclovir, valacyclovir, valganciclovir, aminoglycosides (e.g., gentamicin), and high-dose or multiple NSAIDs.Vemlidy US Prescribing Information, Gilead Sciences Inc, February 2019."
