,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Tenofovir-DF (HBV),Abacavir,No Interaction Expected,NA,"Coadministration of tenofovir-DF (300 mg once daily) and abacavir (300 mg single dose) had no effect on tenofovir AUC or Cmax, and abacavir AUC; abacavir Cmax increased by 12%. A high rate of virological failure and emergence of resistance have been reported when lamivudine was combined with tenofovir-DF and abacavir as a once-daily regimen.","The plasma and intracellular pharmacokinetic interaction between tenofovir and abacavir, lamivudine or lopinavir was investigated in HIV+ subjects receiving TDF + 3TC/LPV (n=7), TDF + 3TC/NVP (n=8), TDF + ABC/LPV (n=7) or TDF + ABC/NVP (n=5). Between group comparisons showed no significant interaction between tenofovir and abacavir or lamivudine.A pharmacokinetic study in HIV infected patients under tenofovir fumarate: investigation of systemic and intracellular interaction between TDF and abacavir, or lamivudine or lopinavir/ritonavir. Pruvost A, et al. 8th International Workshop on Clinical Pharmacology of HIV Therapy, Budapest, April 2007, abstract 56.The effect of stopping tenofovir on the intracellular pharmacokinetics of abacavir was studied in 8 HIV-infected subjects initially receiving abacavir and tenofovir with lamivudine or stavudine. Intracellular levels of carbovir-triphosphate did not demonstrate evidence of substantial changes over time after discontinuation of abacavir. Median CBV-TP concentrations prior to and 1 month after discontinuation were 157 and 120 fmol/10^6 cells, respectively.Intracellular pharmacokinetics of tenofovir disphosphate, carbovir triphosphate and lamivudine triphosphate in patients receiving triple-nucleoside regimens. Hawkins T, et al. J Acquir Immune Defic Syndr, 2005, 39: 406-411."
1,Tenofovir-DF (HBV),Abiraterone,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Tenofovir is eliminated renally via the proximal tubule mainly by OAT1, with some contribution from OAT3, and into urine by MPR4. Neither tenofovir disoproxil nor tenofovir is metabolised by the CYP450 enzymes therefore the potential for interactions via this pathway is low.",(See Summary)
2,Tenofovir-DF (HBV),Acalabrutinib,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate. Tenofovir is eliminated renally via the proximal tubule mainly by OAT1, with some contribution from OAT3, and into urine by MPR4. Neither tenofovir disoproxil nor tenofovir is metabolised by the CYP450 enzymes therefore the potential for interactions via this pathway is low.",(See Summary)
3,Tenofovir-DF (HBV),Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate does not undergo significant metabolism. Tenofovir is eliminated renally via the proximal tubule mainly by OAT1, with some contribution from OAT3, and into urine by MPR4. The potential for interactions is low.",(See Summary)
4,Tenofovir-DF (HBV),Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of the active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
5,Tenofovir-DF (HBV),Acebutolol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetolol metabolite. Tenofovir is eliminated renally via the proximal tubule mainly by OAT1, with some contribution from OAT3, and into urine by MPR4. The potential for interactions is low.",(See Summary)
6,Tenofovir-DF (HBV),Aceclofenac,Potential Interaction,NA,"Coadministration has not been studied but could potentially result in an increased risk of nephrotoxicity. The risk is increased if an NSAID is used for a long duration, if the patient has a pre-existing renal dysfunction, has low body weight, or receives other drugs that may increase tenofovir exposure. Cases of acute renal failure after initiation of high dose or multiple NSAIDs have been reported in patients treated with tenofovir-DF and with risk factors for renal dysfunction. Alternatives to NSAIDs should be considered in patients at risk for renal dysfunction. If tenofovir-DF is coadministered with an NSAID, renal function should be monitored adequately.","Cases of acute renal failure after initiation of high dose or multiple non-steroidal anti-inflammatory drugs (NSAIDs) have been reported in patients treated with tenofovir disoproxil and with risk factors for renal dysfunction. If tenofovir disoproxil is co-administered with an NSAID, renal function should be monitored adequately.Viread Summary of Product Characteristics, Gilead Sciences Ltd, December 2018.Viread should be avoided with concurrent or recent use of a nephrotoxic agent (e.g., high-dose or multiple non-steroidal anti-inflammatory drugs [NSAIDs]). Cases of acute renal failure after initiation of high-dose or multiple NSAIDs have been reported in HIV-infected patients with risk factors for renal dysfunction who appeared stable on TDF. Some patients required hospitalization and renal replacement therapy. Alternatives to NSAIDs should be considered, if needed, in patients at risk for renal dysfunction. Tenofovir is primarily eliminated by the kidneys. Coadministration of Viread with drugs that are eliminated by active tubular secretion may increase concentrations of tenofovir and/or the coadministered drug. Some examples include high-dose or multiple NSAIDs. Drugs that decrease renal function may increase concentrations of tenofovir.Viread US Prescribing Information, Gilead Sciences Inc, December 2018."
7,Tenofovir-DF (HBV),Acenocoumarol,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9. Tenofovir is eliminated renally via the proximal tubule mainly by OAT1, with some contribution from OAT3, and into urine by MPR4. Neither tenofovir disoproxil nor tenofovir is metabolised by the CYP450 enzymes therefore the potential for interactions via this pathway is low. ",(See Summary)
8,Tenofovir-DF (HBV),Acetazolamide,Potential Interaction,NA,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown acetazolamide may competitively inhibit renal transporters OAT1, OAT3 and OAT4. Tenofovir is mainly eliminated by OAT1 (and to a lesser extent by OAT3) and concentrations of tenofovir may increase. Close monitoring of renal function is recommended. ",(See Summary)
9,Tenofovir-DF (HBV),Aciclovir,Potential Interaction,NA,Coadministration has not been studied but may increase concentrations of both drugs due to reduced renal function or competition for active tubular secretion as aciclovir is also excreted via OAT1/3.,"Tenofovir is primarily eliminated by the kidneys. Coadministration of Viread with drugs that are eliminated by active tubular secretion may increase concentrations of tenofovir and/or the coadministered drug. Some examples include, but are not limited to, acyclovir, valacyclovir, valganciclovir. Drugs that decrease renal function may increase concentrations of tenofovir.Viread US Prescribing Information, Gilead Sciences Inc, December 2018."
