,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Ursodeoxycholic acid,Abacavir,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abacavir is metabolized by alcohol dehydrogenase and UGT. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile. In vitro studies suggest ursodeoxycholic acid is a CYP3A inducer; however, this does not appear to be clinically relevant. ",(See Summary)
1,Ursodeoxycholic acid,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile. [Note: the abiraterone SmPC contraindicates its use in patients with severe hepatic impairment.],(See Summary)
2,Ursodeoxycholic acid,Acalabrutinib,Potential Weak Interaction,NA,"Coadministration has not been studied. Acalabrutinib is a CYP3A4 and P-gp substrate. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile. In vitro studies suggest ursodeoxycholic acid is a CYP3A4 inducer; however, this does not appear to be clinically relevant. Theoretically, ursodeoxycholic acid may affect the absorption of lipophilic drugs such as acalabrutinib due to its effect on bile acid secretion. ",(See Summary)
3,Ursodeoxycholic acid,Acamprosate,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate does not undergo significant metabolism. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile.,(See Summary)
4,Ursodeoxycholic acid,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of the active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolized by intestinal enzymes and by the microbial flora. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile. [Note: the acarbose SmPC contraindicates its use in patients with severe hepatic impairment.]",(See Summary)
5,Ursodeoxycholic acid,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetolol metabolite. Ursodeoxycholic acid does not interact with this pathway. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile.,(See Summary)
6,Ursodeoxycholic acid,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolized by CYP2C9. Ursodeoxycholic acid does not interact with this pathway. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile. ,(See Summary)
7,Ursodeoxycholic acid,Acenocoumarol,Potential Weak Interaction,NA,"Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Ursodeoxycholic acid does not interact with these pathways. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile. Theoretically, ursodeoxycholic acid may affect the absorption of lipophilic drugs such as acenocoumarol due to its effect on bile acid secretion. This may be clinically relevant in the case of narrow therapeutic drugs such as acenocoumarol.",(See Summary)
8,Ursodeoxycholic acid,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but a clinically significant interaction is unlikely. Acetazolamide is excreted unchanged in the urine. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile. [Note: the acetazolamide SmPC contraindicates its use in patients with hepatic cirrhosis.],(See Summary)
9,Ursodeoxycholic acid,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated primarily unchanged in the urine via active renal tubular secretion. Ursodeoxycholic acid does not interact with this pathway. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile.,(See Summary)
10,Ursodeoxycholic acid,Acitretin,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation. Ursodeoxycholic acid does not interact with this pathway. Ursodeoxycholic acid is conjugated with glycine or taurine in the liver and secreted into bile. ,(See Summary)
11,Ursodeoxycholic acid,Activated charcoal,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,(See Summary)
