,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Abacavir (ABC),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
1,Abacavir (ABC),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
2,Abacavir (ABC),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is mainly metabolized by CYP2C9.,(See Summary)
3,Abacavir (ABC),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys, there is therefore little potential for interaction with abacavir via modulation of, or competition for metabolic pathways.",(See Summary)
4,Abacavir (ABC),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1.,(See Summary)
5,Abacavir (ABC),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
6,Abacavir (ABC),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
7,Abacavir (ABC),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
8,Abacavir (ABC),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. ,(See Summary)
9,Abacavir (ABC),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs, there is little potential for interaction. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). There is therefore little potential for interaction with abacavir via modulation of, or competition for metabolic or elimination pathways.",(See Summary)
10,Abacavir (ABC),African Potato,No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolic data there is little potential for pharmacokinetic interactions.,(See Summary)
11,Abacavir (ABC),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly by CYP1A2.",(See Summary)
12,Abacavir (ABC),Albendazole,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is thought to be predominantly metabolised by CYP450 enzymes.",(See Summary)
13,Abacavir (ABC),Albuvirtide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Abacavir is metabolized by alcohol dehydrogenase and UGTs. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.",(See Summary)
14,Abacavir (ABC),Alcohol,No Interaction Expected,Moderate,Abacavir has no effect on the pharmacokinetics of alcohol. Alcohol decreases the elimination of abacavir causing an increase in overall exposure. These findings are not considered clinically significant.,"The metabolism of abacavir is altered by concomitant ethanol resulting in an increase in AUC of abacavir of about 41%. These findings are not considered clinically significant. Abacavir has no effect on the metabolism of ethanol.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.Abacavir has no effect on the pharmacokinetic properties of ethanol. Ethanol decreases the elimination of abacavir causing an increase in overall exposure. Due to their common metabolic pathways via alcohol dehydrogenase, the pharmacokinetic interaction between abacavir and ethanol was studied in 24 HIV-infected male patients. Each patient received the following treatments on separate occasions: a single 600-mg dose of abacavir, 0.7 g/kg ethanol (equivalent to 5 alcoholic drinks), and abacavir 600 mg plus 0.7 g/kg ethanol. Coadministration of ethanol and abacavir resulted in a 41% increase in abacavir AUC and a 26% increase in abacavir half life. Abacavir had no effect on the pharmacokinetic properties of ethanol, so no clinically significant interaction is expected in men. This interaction has not been studied in females. Ziagen Prescribing Information, ViiV Healthcare, June 2019.The interaction between abacavir (600 mg single dose) and ethanol (0.7g/kg single dose) was evaluated in 24 HIV-infected males. Ethanol pharmacokinetic parameters were unchanged with abacavir coadministration. There was no evidence that coadministration of abacavir interfered with ethanol metabolism and there were no disulfiram-type reactions in any subject receiving abacavir and ethanol. Abacavir AUC increased by 41% and Cmax increased by 15% and half life by 26%. While these changes were statistically significant, they were not considered clinically significant. The increased plasma abacavir concentrations observed in this study were well within the range seen in previous studies where no additional safety concerns were demonstrated. Pharmacokinetic interaction of abacavir (1592U89) and ethanol in human immunodeficiency virus-infected adults. McDowell JA, et al. Antimicrobial Agents Chemother, 2000, 44:1686-1690."
15,Abacavir (ABC),Alcuronium,No Interaction Expected,Very Low,This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs there is little potential for interaction. Alcuronium is predominantly eliminated unchanged via the kidneys.,(See Summary)
16,Abacavir (ABC),Alendronic Acid,No Interaction Expected,Very Low,"If taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
17,Abacavir (ABC),Alfentanil,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfentanil undergoes extensive CYP3A4 metabolism. ,(See Summary)
18,Abacavir (ABC),Alfuzosin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolized mainly by CYP3A4.,(See Summary)
19,Abacavir (ABC),Aliskiren,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. P-glycoprotein is a major determinant of aliskiren bioavailability.,(See Summary)
20,Abacavir (ABC),Allopurinol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. ,(See Summary)
21,Abacavir (ABC),Almotriptan,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Almotriptan is partly eliminated unchanged in the urine and partly metabolized (mainly via monoamine oxidase-A and to a lesser extent by CYP3A4, CYP2D6 and flavin monooxygenase).",(See Summary)
22,Abacavir (ABC),Aloe vera,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Aloe vera is only a weak inhibitor of CYPs in vitro and therefore is unlikely to cause clinically significant interactions. It does not inhibit P-gp and there is no evidence to suggest it impacts UGTs.",(See Summary)
23,Abacavir (ABC),Alosetron,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYPs 2C9, 3A4 and 1A2, with in vivo data suggesting that CYP1A2 plays a more prominent role.",(See Summary)
24,Abacavir (ABC),Alprazolam,No Interaction Expected,Very Low,Coadministration has not been studied but based on  metabolism and clearance a clinically significant interaction is unlikely as alprazolam is metabolized mainly by CYP3A4.,(See Summary)
25,Abacavir (ABC),Amantadine,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amantadine is mainly eliminated renally by glomerular filtration and active secretion. A bicarbonate dependent organic cation transporter has been identified as the major uptake transporter of amantadine in the renal proximal tubule.,(See Summary)
26,Abacavir (ABC),Ambrisentan,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is mainly glucuronidated by UGT1A9, UGT2B7, UGT1A3 and is metabolized to a lesser extent by CYP3A4. Ambrisentan is also a substrate of P-gp and OATP1B1. Abacavir does not interfere with ambrisentan metabolism.",(See Summary)
27,Abacavir (ABC),Amikacin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amikacin is eliminated renally by glomerular filtration. ,(See Summary)
