,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Atazanavir + ritonavir (ATV/r),Abacavir (ABC),No Interaction Expected,Low,"Coadministration of abacavir (600 mg once daily) and atazanavir/ritonavir (300/100 mg once daily) had no effect on atazanavir or ritonavir pharmacokinetics, but decreased abacavir AUC (17%) and Cmax (20%). These changes are unlikely to be clinically significant.","Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP2C9 or CYP2D6 enzymes at clinically relevant concentrations. Induction of hepatic metabolism has not been observed in clinical studies. Therefore, there is little potential for interactions with antiretroviral PIs.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.The coadministration of abacavir and Reyataz is not expected to significantly alter the exposure of abacavir.Reyataz Summary of Product Characteristics, Bristol-Myers Squibb Pharmaceuticals Ltd, October 2018.Coadministration of abacavir (600 mg, once daily) with atazanavir/ritonavir (300/100 mg, once daily) was studied in 12 HIV+ subjects. There was no effect on atazanavir/ritonavir pharmacokinetics, but abacavir AUC and Cmax decreased by 17% and 19%, respectively.Abacavir plasma pharmacokinetics in the absence and presence of atazanavir/ritonavir or lopinavir/ritonavir and vice versa in HIV-infected patients. Waters L, Moyle G, Bonora S et al. Antivir Ther, 2007, 12(5): 825-830."
1,Atazanavir + ritonavir (ATV/r),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Atazanavir + ritonavir (ATV/r),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Atazanavir + ritonavir (ATV/r),Acenocoumarol,Potential Interaction,Very Low,"Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Induction of CYP2C9 by ritonavir may lead to decreased acenocoumarol exposure. There is a case report of an HIV-infected patient on ART who was receiving the anticoagulant acenocoumarol for secondary prevention of recurrent venous thromboembolism. Whilst on either an efavirenz-based or an atazanavir/ritonavir-based regimen, the average acenocoumarol dose was increased to maintain INR in the target range. Eventually the patient was stabilised on a raltegravir regimen.","A case report describes an HIV-infected patient on ART who was receiving the anticoagulant acenocoumarol for secondary prevention of recurrent venous thromboembolism. Whilst on either an efavirenz-based or an atazanavir/ritonavir-based regimen, the average acenocoumarol dose was increased to maintain INR in the target range. This implies an induction effect of both efavirenz and atazanavir/ritonavir, presumably on the major enzyme CYP2C9. Eventually, the patient was stabilised on a raltegravir regimen.Interaction between antiretroviral drugs and acenocoumarol. Welzen ME, van den Berk GE, Hamers RL, Burger DM. Antiviral Ther, 2011, 16(2): 249-252."
4,Atazanavir + ritonavir (ATV/r),Acetazolamide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys.,(See Summary)
5,Atazanavir + ritonavir (ATV/r),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Atazanavir/ritonavir is unlikely to inhibit OATs at clinically relevant concentrations.,(See Summary)
6,Atazanavir + ritonavir (ATV/r),Acitretin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation.,(See Summary)
7,Atazanavir + ritonavir (ATV/r),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Atazanavir + ritonavir (ATV/r),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Atazanavir + ritonavir (ATV/r),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Atazanavir/ritonavir is unlikely to inhibit OATs at clinically relevant concentrations.,(See Summary)
