,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Atazanavir alone (ATV),Abacavir (ABC),No Interaction Expected,Very Low,"Coadministration with atazanavir alone has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. Coadministration of abacavir (600 mg once daily) and atazanavir/ritonavir (300/100 mg once daily) had no effect on atazanavir or ritonavir pharmacokinetics, but decreased abacavir AUC (17%) and Cmax (20%). These changes are unlikely to be clinically significant.","Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP2C9 or CYP2D6 enzymes at clinically relevant concentrations. Induction of hepatic metabolism has not been observed in clinical studies. Therefore, there is little potential for interactions with antiretroviral PIs.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.The coadministration of abacavir and Reyataz is not expected to significantly alter the exposure of abacavir.Reyataz Summary of Product Characteristics, Bristol-Myers Squibb Pharmaceuticals Ltd, October 2018.Coadministration of abacavir (600 mg, once daily) with atazanavir/ritonavir (300/100 mg, once daily) was studied in 12 HIV+ subjects. There was no effect on atazanavir/ritonavir pharmacokinetics, but abacavir AUC and Cmax decreased by 17% and 19%, respectively.Abacavir plasma pharmacokinetics in the absence and presence of atazanavir/ritonavir or lopinavir/ritonavir and vice versa in HIV-infected patients. Waters L, Moyle G, Bonora S et al. Antivir Ther, 2007, 12(5): 825-830."
1,Atazanavir alone (ATV),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Atazanavir alone (ATV),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Atazanavir alone (ATV),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Atazanavir does not inhibit or induce these CYPs in the range of clinical concentrations.,(See Summary)
4,Atazanavir alone (ATV),Acetazolamide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys.,(See Summary)
5,Atazanavir alone (ATV),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolism and clearance a clinically significant drug-drug interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Atazanavir is unlikely to inhibit OATs at clinically relevant concentrations.,(See Summary)
6,Atazanavir alone (ATV),Acitretin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation.,(See Summary)
7,Atazanavir alone (ATV),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Atazanavir alone (ATV),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Atazanavir alone (ATV),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Atazanavir is unlikely to inhibit OATs at clinically relevant concentrations.,(See Summary)
10,Atazanavir alone (ATV),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO).",(See Summary)
11,Atazanavir alone (ATV),African Potato,Potential Weak Interaction,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. Coadministration of African potato with lopinavir/ritonavir in healthy volunteers did not result in significant pharmacokinetic changes suggesting that boosting by ritonavir could offset the inducing effect of African potato. Consider administrating atazanavir with ritonavir or cobicistat.,(See Summary)
12,Atazanavir alone (ATV),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly via CYP1A2. Atazanavir does not inhibit or induce CYP1A2 at clinically relevant concentrations.",(See Summary)
