,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Atazanavir/cobicistat (ATV/c),Abacavir (ABC),No Interaction Expected,Very Low,"Coadministration with atazanavir/cobicistat has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. Coadministration of abacavir (600 mg once daily) and atazanavir/ritonavir (300/100 mg once daily) had no effect on atazanavir or ritonavir pharmacokinetics, but decreased abacavir AUC (17%) and Cmax (20%). These changes are unlikely to be clinically significant.","Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP2C9 or CYP2D6 enzymes at clinically relevant concentrations. Induction of hepatic metabolism has not been observed in clinical studies. Therefore, there is little potential for interactions with antiretroviral PIs.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.Coadministration of abacavir (600 mg, once daily) with atazanavir/ritonavir (300/100 mg, once daily) was studied in 12 HIV+ subjects. There was no effect on atazanavir/ritonavir pharmacokinetics, but abacavir AUC and Cmax decreased by 17% and 19%, respectively.Abacavir plasma pharmacokinetics in the absence and presence of atazanavir/ritonavir or lopinavir/ritonavir and vice versa in HIV-infected patients. Waters L, Moyle G, Bonora S et al. Antivir Ther, 2007, 12(5): 825-830."
1,Atazanavir/cobicistat (ATV/c),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Atazanavir/cobicistat (ATV/c),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Atazanavir/cobicistat (ATV/c),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Atazanavir/cobicistat does not inhibit or induce these CYPs in the range of clinical concentrations.,(See Summary)
4,Atazanavir/cobicistat (ATV/c),Acetazolamide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys.,(See Summary)
5,Atazanavir/cobicistat (ATV/c),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolism and clearance a clinically significant drug-drug interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Atazanavir/cobicistat is unlikely to inhibit OATs at clinically relevant concentrations.,(See Summary)
6,Atazanavir/cobicistat (ATV/c),Acitretin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation.,(See Summary)
7,Atazanavir/cobicistat (ATV/c),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Atazanavir/cobicistat (ATV/c),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Atazanavir/cobicistat (ATV/c),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolism and clearance a clinically significant drug-drug interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Atazanavir/cobicistat is unlikely to inhibit OATs at clinically relevant concentrations. Cobicistat has been shown to decrease estimated creatinine clearance due to inhibition of tubular secretion of creatinine without affecting actual renal glomerular function. Atazanavir/cobicistat should not be coadministered with adefovir in patients with creatinine clearance less than 70 ml/min.,"Cobicistat has been shown to decrease estimated creatinine clearance due to inhibition of tubular secretion of creatinine without affecting actual renal glomerular function. Evotaz should not be initiated in patients with creatinine clearance less than 70 ml/min if any coadministered agent (e.g. adefovir) requires dose adjustment based on creatinine clearance.Evotaz Summary of Product Characteristics, Bristol-Myers Squibb Pharmaceuticals Ltd, November 2018."
10,Atazanavir/cobicistat (ATV/c),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO).",(See Summary)
11,Atazanavir/cobicistat (ATV/c),African Potato,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. However, coadministration of African potato with lopinavir/ritonavir in healthy volunteers did not result in significant pharmacokinetic changes suggesting that boosting by ritonavir could offset the inducing effect of African potato. Similarly, no significant effect is expected with atazanavir/cobicistat.",(See Summary)
12,Atazanavir/cobicistat (ATV/c),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly via CYP1A2. Atazanavir/cobicistat does not inhibit or induce CYP1A2 at clinically relevant concentrations.",(See Summary)
13,Atazanavir/cobicistat (ATV/c),Albendazole,No Interaction Expected,Very Low,Coadministration has not been studied. In vitro studies have shown that CYP3A4 and the flavine-containing monooxygenase system are involved in the formation of the active metabolite albendazole sulfoxide. Short term (2 doses) coadministration with ritonavir (200 mg) did not impact albendazole pharmacokinetics whereas long-term coadministration (8 days) decreased albendazole exposure likely due to ritonavir inducing effect. Cobicistat has no inducing effect and therefore atazanavir/cobicistat is not expected to significantly impact albendazole when administered long-term.,"In a sequential pharmacokinetic study, healthy male volunteers (n=8) were administered a single oral dose of 400 mg albendazole, in the absence and after short-term (2 doses) and long-term (8 days) treatment with ritonavir 200 mg twice daily. Pharmacokinetic parameters of albendazole and its metabolite albendazole sulfoxide were not changed by short-term administration of ritonavir. However long-term administration resulted in significant changes in albendazole disposition, with a significant decrease in albendazole and albendazole sulfoxide AUC0-24 (73% and 59% respectively) and Cmax (74% and 48% respectively). Tmax and the terminal half-life were not significantly changed. The observation is most likely due to a ritonavir-mediated induction of metabolising enzymes (CYP2C9, CYP1A2, UGTs) or transporters, although changes in absorption are also possible. These findings need to be replicated with a key boosted PI such as lopinavir/ritonavir.Effect of ritonavir on the pharmacokinetics of the benzimidazoles albendazole and mebendazole: an interaction study in healthy volunteers. Corti N, Heck A, Rentsch K, et al.Eur J Clin Pharmacol. 2009;65:999-1006."
14,Atazanavir/cobicistat (ATV/c),Albuvirtide,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. Based on data from studies with lopinavir/ritonavir, concentrations of atazanavir/cobicistat may decrease but this is not expected to be clinically relevant. Coadministration of albuvirtide (320 mg once weekly intravenous) and oral lopinavir/ritonavir (400/100 mg twice daily) was evaluated in HIV-infected individuals. Albuvirtide exposure was not significantly affected by lopinavir/ritonavir. However, both lopinavir and ritonavir concentrations were lower in presence of albuvirtide compared with lopinavir/ritonavir alone (lopinavir AUC, Cmax and Ctrough decreased by 37%, 33% and 35%, respectively; ritonavir AUC, Cmax and Ctrough decreased by 38%, 39% and 28%, respectively). The mean lopinavir Ctrough in presence of albuvirtide (7.1 µg/ml) remained higher than the minimal lopinavir Ctrough previously associated with efficacy. Furthermore, a randomized, phase 3 study (TALENT study) showed that albuvirtide + lopinavir/ritonavir was non-inferior to the standard second-line regimen lopinavir/ritonavir + zidovudine/tenofovir disoproxil fumarate + lamivudine in HIV infected Chinese individuals suggesting that this interaction has no clinical consequences. In vitro human microsomal studies indicate that albuvirtide has no inducing properties on P450 enzymes. In addition, albuvirtide binds to <1% of serum albumin in the range of clinical concentrations, thus the observed decrease in lopinavir and ritonavir concentrations is unlikely to result from protein binding displacement. However, binding of the albuvirtide-albumin complex to the HIV protease inhibitor cannot be excluded.","Coadministration of albuvirtide (320 mg once weekly intravenous) and oral lopinavir/ritonavir (400/100 mg twice daily) was evaluated in 9 HIV-infected individuals. Albuvirtide exposure was not significantly affected by lopinavir/ritonavir. Conversely, both lopinavir and ritonavir concentrations were lower in presence of albuvirtide compared with lopinavir/ritonavir alone. The mean ratios (90% CI) of AUC, Cmax and Ctrough for lopinavir were 0.63 (0.49-0.82), 0.67 (053-0.86) and 0.65 (0.46-0.91). For ritonavir, AUC, Cmax and Ctrough were 0.62 (0.42-0.91), 0.61 (0.38-0.99) and 0.72 (0.40-1.26). The mean lopinavir Ctrough in presence of albuvirtide (7.1 ug/ml) remained higher than the minimal lopinavir Ctrough previously associated with efficacy.Evaluation of pharmacokinetic interactions between long-acting HIV-1 fusion inhibitor albuvirtide and lopinavir/ritonavir, in HIV-infected subjects, combined with clinical study and simulation results. Yang W, Xiao Q, Wang D, et al. Xenobiotica. 2017, 47(2): 133-143.The safety and efficacy of albuvirtide plus lopinavir-ritonavir in antiretroviral-experienced Chinese adults with HIV-1 was assessed in a randomized, phase 3 study (TALENT study). Subjects were randomly assigned (1:1) to receive albuvirtide (once weekly) plus ritonavir-boosted lopinavir (albuvirtide) or WHO-recommended second-line treatment (lopinavir/ritonavir + zidovudine/tenofovir disoproxil fumarate + lamivudine; control). The primary endpoint was the proportion of patients with plasma viral load <50 copies/mL at 48 weeks. Non-inferiority was pre-specified with a margin of 12%. Interim analysis of 48 week data from 46 subjects in the albuvirtide group and 50 patients in the control group showed 80.4% patients in the albuvirtide group had HIV-1 RNA <50 copies/mL versus 66.0% in the control group (difference 14.4%, 95% CI -3.0% -31.9%), meeting the non-inferiority criteria.Efficacy and safety of long-acting HIV fusion inhibitor albuvirtide in antiretroviral-experienced adults with HIV-1: interim 48-week results from the randomized, controlled, phase 3, non-inferiority TALENT study. Wu H, Yao C, Zhang T,et al. J Int AIDS Soc, 2016, 19(Suppl 7): 21. [Abstract 0336 presented at International Congress of Drug Therapy in HIV Infection, October 2016, Glasgow, UK.]"
15,Atazanavir/cobicistat (ATV/c),Alcohol,No Interaction Expected,Very Low,Coadministration has not been studied. Alcohol is metabolized by alcohol dehydrogenase and aldehyde dehydrogenase. The chronic use of alcohol may induce CYP2E1 and to a lesser extent CYP3A4. No a priori clinically relevant drug-drug interaction is anticipated.,(See Summary)
16,Atazanavir/cobicistat (ATV/c),Alcuronium,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alcuronium is predominantly eliminated unchanged via the kidneys. Atazanavir/cobicistat is unlikely to inhibit OAT and OCT renal transporters at clinically relevant concentrations.,(See Summary)
17,Atazanavir/cobicistat (ATV/c),Alendronic Acid,No Interaction Expected,Very Low,"If taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
18,Atazanavir/cobicistat (ATV/c),Alfentanil,Potential Interaction,Very Low,Coadministration has not been studied. Alfentanil undergoes extensive CYP3A4 metabolism. Atazanavir/cobicistat could potentially increase alfentanil exposure. Administer with caution due to the risk of prolonged or delayed respiratory depression. Adjust dose of alfentanil if needed.,(See Summary)
19,Atazanavir/cobicistat (ATV/c),Alfuzosin,Do Not Coadminister,Very Low,Coadministration is contraindicated as alfuzosin concentrations may increase (due to inhibition of CYP3A4) which can result in hypotension.,"Coadministration with substrates of CYP3A4 or the UGT1A1 isoform of UDP-glucuronyltransferase which have narrow therapeutic windows (e.g. alfuzosin) are contraindicated due to the potential for serious and/or life-threatening adverse reactions which are associated with elevated plasma concentrations. There is potential for increased alfuzosin concentrations which can result in hypotension. The mechanism of interaction is CYP3A4 inhibition by atazanavir and cobicistat.Evotaz Summary of Product Characteristics, Bristol-Myers Squibb Pharmaceuticals Ltd, November 2018.Coadministration is contraindicated due to potential for increased alfuzosin concentrations, which can result in hypotension.Evotaz US Prescribing Information Bristol-Myers Squibb Company, March 2018."
20,Atazanavir/cobicistat (ATV/c),Aliskiren,Do Not Coadminister,Very Low,"Coadministration has not been studied and is not recommended. Aliskiren is minimally metabolized by CYP450, however, P-gp is a major determinant of aliskiren bioavailability. A 5-6 fold increase in exposure was observed with itraconazole 100 mg twice daily (a CYP3A4 and P-gp inhibitor) and a similar interaction is possible with atazanavir/cobicistat.",(See Summary)
21,Atazanavir/cobicistat (ATV/c),Allopurinol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase.,(See Summary)
