,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Abacavir (ABC),Do Not Coadminister,Very Low,"Biktarvy (bictegravir, emtricitabine, tenofovir alafenamide) is indicated for use as a complete regimen for the treatment of HIV 1 infection and should not be administered with other antiretroviral products.","Biktarvy should not be co-administered with other antiretroviral medicinal products.Biktarvy Summary of Product Characteristics, Gilead Sciences Ltd, June 2019.As Biktarvy is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended.Biktarvy Prescribing Information, Gilead Sciences Inc, August 2019."
1,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Acamprosate,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (renal transporter unknown, possibly OATs or OCTs). A clinically significant interaction with bictegravir is unlikely. Tenofovir alafenamide is unlikely to compete with acamprosate for renal transporters as tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF. However, acamprosate and emtricitabine may compete for tubular secretion, which could lead to increased concentrations of either drug. The clinical relevance of this interaction is unknown. ",(See Summary)
2,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
3,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Bictegravir does not inhibit or induce CYP450 enzymes; emtricitabine and tenofovir alafenamide do not interact with acenocoumarol’s metabolic pathway.,(See Summary)
4,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown acetazolamide may competitively inhibit renal transporters OAT1, OAT3 and OAT4. Inhibition of these renal transporters is unlikely to lead to significant increase in tenofovir as tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF. Emtricitabine and bictegravir do not interact with acetazolamide elimination pathway.",(See Summary)
5,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Bictegravir does not interfere with aciclovir elimination. Emtricitabine and tenofovir alafenamide are unlikely to compete with aciclovir for renal transporters as emtricitabine is eliminated by different renal transporters and tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF. ,"Because FTC and tenofovir are primarily excreted by the kidneys by a combination of glomerular filtration and active tubular secretion, coadministration of Biktarvy with drugs that reduce renal function or compete for active tubular secretion may increase concentrations of FTC, tenofovir, and other renally eliminated drugs and this may increase the risk of adverse reactions. Some examples of drugs that are eliminated by active tubular secretion include acyclovir.Biktarvy US Prescribing Information, Gilead Sciences Inc, August 2019."
6,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation. Bictegravir does not inhibit or induce UGT enzymes; emtricitabine and tenofovir alafenamide do not interact with acitretin’s metabolic pathway.",(See Summary)
7,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Aclidinium bromide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites, with only a minor role for CYP metabolism.",(See Summary)
8,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Bictegravir/ Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),Adefovir,Do Not Coadminister,Very Low,"Coadministration has not been studied and is contraindicated. Biktarvy, which contains tenofovir (derived from tenofovir alafenamide), should not be used concomitantly with adefovir dipivoxil.","Biktarvy should not be administered concomitantly with adefovir dipivoxil used for the treatment of HBV infection.Biktarvy Summary of Product Characteristics, Gilead Sciences Ltd, June 2019."
