,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Darunavir + ritonavir (DRV/r),Abacavir (ABC),No Interaction Expected,Very Low,"Coadministration of abacavir (600 mg once daily) and darunavir/ritonavir (900/100 mg once daily) decreased abacavir AUC, Cmax and Cmin by 27%, 22% and 38%, respectively (n=19). Based on the different elimination pathways (abacavir metabolism is not mediated by CYP450), no significant interactions are expected with darunavir/ritonavir. However, studies are required to relate the change in plasma abacavir exposure to the active intracellular carbovir triphosphate.","Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP2C9 or CYP2D6 enzymes at clinically relevant concentrations. Induction of hepatic metabolism has not been observed in clinical studies. Therefore, there is little potential for interactions with antiretroviral PIs.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.Coadministration has not been studied. Based on the different elimination pathways of abacavir for which metabolism is not mediated by CYP450, no interactions are expected for this medicinal compound and boosted darunavir Boosted darunavir can be used with this NRTI without dose adjustment.Prezista Summary of Product Characteristics, Janssen-Cilag Ltd, July 2018.No dosage adjustments are recommended when darunavir/ritonavir is co-administered with abacavir.Prezista Prescribing Information, Janssen Pharmaceuticals Inc, January 2018.The steady-state pharmacokinetics of abacavir (600 mg once daily, plus two NRTIs – excluding tenofovir) were investigated when coadministered with darunavir/ritonavir (900/100 mg once daily) to 19 HIV+ subjects in a cross-over study. Abacavir AUC, Cmax and Cmin decreased by 27%, 22% and 38%, respectively in the presence of darunavir/ritonavir. Exposure of abacavir’s active intracellular carbovir triphosphate anabolite was decreased, however, the clinical significance of this decrease is unclear.Pharmacokinetics of abacavir and its anabolite carbovir triphosphate without and with darunavir/ritonavir or raltegravir in HIV-infected subjects. Jackson A, Moyle, G, Dickinson L, et al. Antivir Ther, 2012, 17(1): 19-24."
1,Darunavir + ritonavir (DRV/r),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Darunavir + ritonavir (DRV/r),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Darunavir + ritonavir (DRV/r),Acenocoumarol,Potential Interaction,Very Low,Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. In vitro and in vivo data indicate that ritonavir is a modest inducer of CYP2C9 and darunavir/ritonavir could potentially decrease acenocoumarol concentrations. Monitor INR.,(See Summary)
4,Darunavir + ritonavir (DRV/r),Acetazolamide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acetazolamide is primarily excreted unchanged via the kidneys.,(See Summary)
5,Darunavir + ritonavir (DRV/r),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Darunavir/ritonavir is unlikely to inhibit OATs at clinically relevant concentrations.,(See Summary)
6,Darunavir + ritonavir (DRV/r),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Darunavir + ritonavir (DRV/r),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Darunavir + ritonavir (DRV/r),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Darunavir + ritonavir (DRV/r),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Darunavir/ritonavir is unlikely to inhibit OATs at clinically relevant concentrations.,(See Summary)
