,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Darunavir/cobicistat (DRV/c),Abacavir (ABC),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,"Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP2C9 or CYP2D6 enzymes at clinically relevant concentrations. Induction of hepatic metabolism has not been observed in clinical studies. Therefore, there is little potential for interactions with antiretroviral PIs.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.Based on the different elimination pathways of abacavir, for which metabolism is not mediated by CYP, no interactions are expected for this medicinal compound and darunavir/cobicistat. Darunavir/cobicistat can be used with this NRTI without dose adjustment.Rezolsta Summary of Product Characteristics, Janssen-Cilag Ltd, June 2018.Clinically relevant drug-drug interactions are not anticipated with concomitant use of darunavir and cobicistat with abacavir.Prezcobix US Prescribing Information, Janssen Pharmaceuticals Inc, June 2018."
1,Darunavir/cobicistat (DRV/c),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Darunavir/cobicistat (DRV/c),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Darunavir/cobicistat (DRV/c),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Darunavir/cobicistat does not inhibit or induce these CYPs in the range of clinical concentrations. ,(See Summary)
4,Darunavir/cobicistat (DRV/c),Acetazolamide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. Darunavir/cobicistat is unlikely to inhibit OATs at clinically relevant concentrations.,(See Summary)
5,Darunavir/cobicistat (DRV/c),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Darunavir/cobicistat is unlikely to inhibit OATs at clinically relevant concentrations.,(See Summary)
6,Darunavir/cobicistat (DRV/c),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Darunavir/cobicistat (DRV/c),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Darunavir/cobicistat (DRV/c),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Darunavir/cobicistat (DRV/c),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Darunavir/cobicistat is unlikely to inhibit OATs at clinically relevant concentrations.,"Cobicistat has been shown to decrease estimated creatinine clearance due to inhibition of tubular secretion of creatinine. Darunavir/cobicistat should not be initiated in patients with creatinine clearance less than 70 ml/min if any co-administered agent (e.g. adefovir dipivoxil) requires dose adjustment based on creatinine clearance.Rezolsta Summary of Product Characteristics, Janssen-Cilag Ltd, June 2018."
10,Darunavir/cobicistat (DRV/c),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). Darunavir/cobicistat does not interfere with this metabolic pathway.",(See Summary)
11,Darunavir/cobicistat (DRV/c),African Potato,No Interaction Expected,Very Low,"Coadministration has not been studied but based on the metabolic data there is little potential for pharmacokinetic interactions. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. However, coadministration of African potato with lopinavir/ritonavir in healthy volunteers did not result in significant pharmacokinetic changes suggesting that boosting by ritonavir could offset the inducing effect of African potato. Similarly, no significant effect is expected on the pharmacokinetics of darunavir/cobicistat.",(See Summary)
12,Darunavir/cobicistat (DRV/c),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly via CYP1A2. Cobicistat is unlikely to inhibit or induce CYP1A2 at clinically relevant concentrations. ",(See Summary)
13,Darunavir/cobicistat (DRV/c),Albendazole,Potential Weak Interaction,Very Low,Coadministration has not been studied. In vitro studies have shown that CYP3A4 and the flavine-containing monooxygenase system are involved in the formation of the active metabolite albendazole sulfoxide. Darunavir/cobicistat could potentially reduce albendazole sulfoxidation and thus lower the clinical effect of albendazole. The clinical significance of this interaction is unknown. ,(See Summary)
