,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Didanosine (ddI),Abacavir (ABC),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely.,(See Summary)
1,Didanosine (ddI),Acamprosate,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs). Didanosine (a substrate of OAT1) and acamprosate may compete for tubular secretion, which could lead to increased levels of either drug. The clinical relevance of this interaction is unknown.",(See Summary)
2,Didanosine (ddI),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Didanosine (ddI),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is mainly metabolized by CYP2C9.,(See Summary)
4,Didanosine (ddI),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown that acetazolamide may competitively inhibit the renal transporters OAT1, OAT3 and OAT4. However, a clinically relevant interaction is unlikely in the range of observed clinical concentrations.",(See Summary)
5,Didanosine (ddI),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. A clinically relevant interaction is unlikely in the range of observed clinical concentrations.,(See Summary)
6,Didanosine (ddI),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Didanosine (ddI),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Didanosine (ddI),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Didanosine (ddI),Adefovir,Potential Interaction,Low,"Coadministration with didanosine enteric coated tablets (Videx EC) has no effect on the pharmacokinetics of didanosine or adefovir. However, as adefovir is nephrotoxic, renal function should be monitored and didanosine dosage adjusted accordingly.","The pharmacokinetics of adefovir have been evaluated in healthy adult volunteers (n=21) following multiple dose administration of adefovir (10 mg once daily) in combination with enteric coated didanosine (400 mg). Adefovir did not alter the pharmacokinetics of enteric coated didanosine (didanosine EC) and the pharmacokinetics of adefovir were unchanged. Hepsera Prescribing Information, Gilead Sciences Inc, May 2008."
10,Didanosine (ddI),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs, there is little potential for interaction. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). There is therefore little potential for interaction with didanosine via modulation of, or competition for metabolic or elimination pathways.",(See Summary)
11,Didanosine (ddI),African Potato,No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolic data there is little potential for pharmacokinetic interactions.,(See Summary)
12,Didanosine (ddI),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly by CYP1A2.",(See Summary)
13,Didanosine (ddI),Albendazole,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is metabolized by CYP3A4 and by the flavine-containing monooxygenase system.",(See Summary)
14,Didanosine (ddI),Albuvirtide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Didanosine is mostly eliminated renally. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.",(See Summary)
15,Didanosine (ddI),Alcohol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alcohol is metabolized by alcohol dehydrogenase and aldehyde dehydrogenase. ,(See Summary)
16,Didanosine (ddI),Alcuronium,No Interaction Expected,Very Low,This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs there is little potential for interaction. Alcuronium is predominantly eliminated unchanged via the kidneys.,(See Summary)
17,Didanosine (ddI),Alendronic Acid,No Interaction Expected,Very Low,"If taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
18,Didanosine (ddI),Alfentanil,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfentanil undergoes extensive CYP3A4 metabolism. ,(See Summary)
19,Didanosine (ddI),Alfuzosin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolized mainly by CYP3A4.,(See Summary)
20,Didanosine (ddI),Aliskiren,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. P-glycoprotein is a major determinant of aliskiren bioavailability.,(See Summary)
21,Didanosine (ddI),Allopurinol,Do Not Coadminister,Low,Coadministration is contraindicated the US product label for didanosine and not recommended in the European product label as didanosine exposure is increased (AUC and Cmax increased by 105% and 71% with didanosine buffered tablets). Patients treated with didanosine who require allopurinol administration should be switched to an alternative treatment regimen.,"Co-administration of allopurinol (a xanthine oxidase inhibitor) with didanosine is not recommended. Co-administration of didanosine and allopurinol results in increased systemic exposure to didanosine, which can result in didanosine-associated toxicity. Patients treated with didanosine who require allopurinol administration should be switched to an alternative treatment regimen. Coadministration of allopurinol (300 mg once daily for 7 days) and didanosine buffered tablets (400 mg single dose on days 1 and 8) to healthy volunteers increased didanosine AUC and Cmax by 105% and 71%. Videx Summary of Product Characteristics, Bristol-Myers Squibb Pharmaceuticals Ltd, April 2016.Coadministration is contraindicated because systemic exposures of didanosine are increased, which may increase didanosine-associated toxicity. The effect of allopurinol (300 mg/day for 7 days) on the pharmacokinetics of didanosine (400 mg single dose) was investigated in healthy volunteers (n=14). Didanosine AUC increased 1.13-fold and Cmax increased by 69%. When allopurinol (300 mg/day for 7 days) and a 200 mg single dose of didanosine was studied in 2 subjects with renal impairment, didanosine AUC increased by 312% and Cmax increased by 232%. Videx Prescribing Information, Bristol-Myers Squibb Co, December 2018."
22,Didanosine (ddI),Almotriptan,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Almotriptan is partly eliminated unchanged in the urine and partly metabolized (mainly via monoamine oxidase-A and to a lesser extent by CYP3A4, CYP2D6 and flavin monooxygenase).",(See Summary)
23,Didanosine (ddI),Aloe vera,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Aloe vera is only a weak inhibitor of CYPs in vitro and therefore is unlikely to cause clinically significant interactions. It does not inhibit P-gp and there is no evidence to suggest it impacts UGTs.",(See Summary)
24,Didanosine (ddI),Alosetron,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYPs 2C9, 3A4 and 1A2, with in vivo data suggesting that CYP1A2 plays a more prominent role.",(See Summary)
25,Didanosine (ddI),Alprazolam,No Interaction Expected,Very Low,Coadministration has not been studied but based on  metabolism and clearance a clinically significant interaction is unlikely as alprazolam is metabolized mainly by CYP3A4.,(See Summary)
26,Didanosine (ddI),Amantadine,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amantadine is mainly eliminated renally by glomerular filtration and active secretion. A bicarbonate dependent organic cation transporter has been identified as the major uptake transporter of amantadine in the renal proximal tubule.,(See Summary)
27,Didanosine (ddI),Ambrisentan,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is mainly glucuronidated by UGT1A9, UGT2B7, UGT1A3 and is metabolized to a lesser extent by CYP3A4. Ambrisentan is also a substrate of P-gp and OATP1B1. Didanosine does not interfere with ambrisentan metabolism.",(See Summary)
28,Didanosine (ddI),Amikacin,Potential Interaction,Very Low,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely as amikacin is eliminated renally by glomerular filtration. However as amikacin is nephrotoxic, renal function should be monitored and didanosine dosage adjusted accordingly.",(See Summary)
29,Didanosine (ddI),Amiloride,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amiloride is eliminated unchanged by the kidney. In vitro data indicate that amiloride is a substrate of OCT2 and an interaction is unlikely as didanosine is eliminated by other renal transporters.,(See Summary)
30,Didanosine (ddI),Aminophylline,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aminophylline is a complex of theophylline and ethylenediamine and is given for its theophylline activity. Theophylline is mainly metabolized by CYP1A2.,(See Summary)
31,Didanosine (ddI),Amiodarone,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amiodarone is metabolized by CYP3A4. ,(See Summary)
32,Didanosine (ddI),Amisulpride,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolized and is primarily eliminated renally.,(See Summary)
33,Didanosine (ddI),Amitriptyline,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amitriptyline is metabolized predominantly by CYP2D6 and CYP2C19.,(See Summary)
34,Didanosine (ddI),Amlodipine,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amlodipine is metabolized by CYP3A4. ,(See Summary)
35,Didanosine (ddI),Amodiaquine,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amodiaquine is mainly metabolized by CYP2C8 to N-desethylamodiaquine, an active metabolite but less potent than the parent compound.",(See Summary)
36,Didanosine (ddI),Amoxicillin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly eliminated unchanged in the kidney and in vitro data indicate that it is a substrate of OAT3 whereas didanosine is eliminated by other renal transporters.,(See Summary)
37,Didanosine (ddI),Amphetamine,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amphetamine is metabolized by CYP2D6. ,(See Summary)
38,Didanosine (ddI),Amphotericin B,Potential Interaction,Very Low,"Coadministration has not been studied, but amphotericin B is nephrotoxic and therefore renal function should be monitored and didanosine dosage adjusted accordingly.",(See Summary)
39,Didanosine (ddI),Ampicillin,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. After oral administration, approximately 20-40% is excreted unchanged in the urine, whereas about 60-80% is excreted unchanged in the urine after parenteral administration. As didanosine is eliminated by renal tubular secretion, there is potential for competition with ampicillin for renal transporters, which could lead to increased levels of either drug when ampicillin is administered intravenously. When administered orally, there is little potential for significant interaction.",(See Summary)
40,Didanosine (ddI),Anastrozole,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anastrozole is mainly oxidized to hydroxyanastrozole by CYP3A4 (major) and glucuronidated by UGT1A4.,(See Summary)
41,Didanosine (ddI),Anidulafungin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperature.,(See Summary)
