,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Dolutegravir (DTG),Abacavir (ABC),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically relevant drug interaction is unlikely.,(See Summary)
1,Dolutegravir (DTG),Acamprosate,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs).",(See Summary)
2,Dolutegravir (DTG),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Dolutegravir (DTG),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations.,(See Summary)
4,Dolutegravir (DTG),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion and in vitro studies have shown it may competitively inhibit the renal transporters OAT1, OAT3 and OAT4. In vitro data suggest that dolutegravir inhibits OCT2 therefore a drug-drug interaction is unlikely as those drugs act on different renal transporters.",(See Summary)
5,Dolutegravir (DTG),Aciclovir (Acyclovir),No Interaction Expected,Very Low,"Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1, however, dolutegravir is not expected to inhibit this renal transporter.",(See Summary)
6,Dolutegravir (DTG),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Dolutegravir (DTG),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Dolutegravir (DTG),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Dolutegravir (DTG),Adefovir,No Interaction Expected,Very Low,"Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely, Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1, however, dolutegravir is not expected to inhibit this renal transporter.",(See Summary)
