,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Dolutegravir/Lamivudine (DTG/3TC),Abacavir (ABC),No Interaction Expected,Very Low,"Dovato (dolutegravir/lamivudine) is indicated for use as a complete regimen for the treatment of HIV 1 infection. Coadministration with other antiretroviral drugs for the treatment of HIV-1 infection is not recommended in the US Prescribing Information for Dovato. However, no interaction is expected with abacavir. Note, dolutegravir and lamivudine are available coformulated with abacavir as a fixed dose combination.","Dovato is a complete regimen for the treatment of HIV-1 infection; therefore, coadministration with other antiretroviral drugs for the treatment of HIV-1 infection is not recommended.Dovato US Prescribing Information, ViiV Healthcare, April 2019."
1,Dolutegravir/Lamivudine (DTG/3TC),Acamprosate,No Interaction Expected,Very Low,"Coadministration has not been studied. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs). No interaction is expected with dolutegravir. There is little potential for a clinically relevant interaction with lamivudine via competition for active renal transport mechanisms given the possible limited role of OCT in acamprosate’s elimination and the therapeutic index of lamivudine and acamprosate.",(See Summary)
2,Dolutegravir/Lamivudine (DTG/3TC),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Dolutegravir/Lamivudine (DTG/3TC),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,(See Summary)
4,Dolutegravir/Lamivudine (DTG/3TC),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion and in vitro studies have shown it may competitively inhibit the renal transporters OAT1, OAT3 and OAT4. No interaction is expected with dolutegravir. A clinically relevant drug interaction is unlikely with lamivudine as it is excreted by different renal transporters.",(See Summary)
5,Dolutegravir/Lamivudine (DTG/3TC),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Dolutegravir is not expected to inhibit this renal transporter and lamivudine is eliminated by different renal transporters.,(See Summary)
6,Dolutegravir/Lamivudine (DTG/3TC),Acitretin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation. Dolutegravir is not expected to inhibit or induce UGTs at clinically relevant concentrations. No interaction is expected with lamivudine.,(See Summary)
7,Dolutegravir/Lamivudine (DTG/3TC),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Dolutegravir/Lamivudine (DTG/3TC),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Dolutegravir/Lamivudine (DTG/3TC),Adefovir,No Interaction Expected,Very Low,"Coadministration with dolutegravir/lamivudine has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Dolutegravir is not expected to inhibit this renal transporter. Coadministration of adefovir dipivoxil (10 mg) and lamivudine (100 mg) did not alter the pharmacokinetic profile of either drug. However, as adefovir is nephrotoxic, renal function should be monitored.",(See Summary)
10,Dolutegravir/Lamivudine (DTG/3TC),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO).",(See Summary)
11,Dolutegravir/Lamivudine (DTG/3TC),African Potato,Potential Interaction,Very Low,Coadministration has not been studied. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. Use with caution as African potato could decrease concentrations of dolutegravir. Therapeutic drug monitoring of dolutegravir is recommended. No interaction is expected with lamivudine.,(See Summary)
