,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Dolutegravir/Rilpivirine (DTG/RPV),Abacavir (ABC),Potential Interaction,Very Low,"Juluca is indicated for use as a complete regimen for the treatment of HIV-1 infection and should not be administered with other antiretroviral products. However, in specific clinical situations where an intensification of HIV treatment is needed, coadministration with Juluca would be possible from a pharmacokinetic standpoint as no clinically relevant drug-drug interaction is expected. ","Juluca should not be administered with other antiretroviral medicinal products for the treatment of HIV.Juluca Summary of Product Characteristics, ViiV Healthcare Ltd, May 2018.Because Juluca is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended.Juluca US Prescribing Information, ViiV Healthcare Ltd, September 2018."
1,Dolutegravir/Rilpivirine (DTG/RPV),Acamprosate,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs).",(See Summary)
2,Dolutegravir/Rilpivirine (DTG/RPV),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Dolutegravir/Rilpivirine (DTG/RPV),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Dolutegravir and rilpivirine are not expected to inhibit or induce CYP enzymes at clinically relevant concentrations. ,(See Summary)
4,Dolutegravir/Rilpivirine (DTG/RPV),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion and in vitro studies have shown it may competitively inhibit the renal transporters OAT1, OAT3 and OAT4. In vitro data suggest that dolutegravir inhibits OCT2 therefore a drug-drug interaction is unlikely as those drugs act on different renal transporters. Rilpivirine does not interfere with acetazolamide elimination.",(See Summary)
5,Dolutegravir/Rilpivirine (DTG/RPV),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Dolutegravir is not expected to inhibit this renal transporter. Rilpivirine does not interact with this elimination pathway.,(See Summary)
6,Dolutegravir/Rilpivirine (DTG/RPV),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Dolutegravir/Rilpivirine (DTG/RPV),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Dolutegravir/Rilpivirine (DTG/RPV),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Dolutegravir/Rilpivirine (DTG/RPV),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Dolutegravir is not expected to inhibit this renal transporter. Rilpivirine does not interact with this elimination pathway.,(See Summary)
10,Dolutegravir/Rilpivirine (DTG/RPV),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). Dolutegravir and rilpivirine do not interfere with this metabolic pathway.",(See Summary)
11,Dolutegravir/Rilpivirine (DTG/RPV),African Potato,Potential Interaction,Very Low,Coadministration has not been studied. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. Use with caution as African potato could decrease concentrations of dolutegravir and rilpivirine. Therapeutic drug monitoring of dolutegravir and rilpivirine is recommended.,(See Summary)
12,Dolutegravir/Rilpivirine (DTG/RPV),Agomelatine,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly by CYP1A2. Dolutegravir and rilpivirine are not expected to inhibit or induce CYP enzymes at clinically relevant concentrations. ,(See Summary)
13,Dolutegravir/Rilpivirine (DTG/RPV),Albendazole,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is metabolized by CYP3A4 and by the flavine-containing monooxygenase system. Dolutegravir and rilpivirine are not expected to inhibit or induce CYP enzymes at clinically relevant concentrations.,(See Summary)
14,Dolutegravir/Rilpivirine (DTG/RPV),Albuvirtide,Potential Interaction,Very Low,"Juluca (dolutegravir/rilpivirine) is indicated for use as a complete regimen for the treatment of HIV-1 infection and coadministration with other antiretroviral agents is not recommended in Juluca product labels. However, in specific clinical situations where an intensification of HIV treatment is needed, coadministration with albuvirtide would be possible from a pharmacokinetic standpoint. Dolutegravir is metabolized by UGT1A1, with some contribution from CYP3A. Rilpivirine is metabolized primarily by CYP3A with potential contribution from CYP2C19. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","Juluca should not be administered with other antiretroviral medicinal products for the treatment of HIV.Juluca Summary of Product Characteristics, ViiV Healthcare Ltd, May 2018.Because Juluca is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended.Juluca US Prescribing Information, ViiV Healthcare Ltd, September 2018."
15,Dolutegravir/Rilpivirine (DTG/RPV),Alcohol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alcohol is metabolized by alcohol dehydrogenase and aldehyde dehydrogenase. The chronic use of alcohol may induce CYP2E1 and to a lesser extent CYP3A4. No a priori clinically relevant drug-drug interaction is anticipated.,(See Summary)
16,Dolutegravir/Rilpivirine (DTG/RPV),Alcuronium,Potential Interaction,Very Low,"Coadministration has not been studied. Alcuronium is predominantly excreted unchanged via the kidneys. As there are no available data determining whether excretion is via active tubular secretion or glomerular filtration, there is some potential for exposure of alcuronium to be increased since dolutegravir inhibits the renal transporter OCT2. Caution is advised as alcuronium has a narrow therapeutic window. Rilpivirine is unlikely to significantly inhibit alcuronium renal elimination.",(See Summary)
17,Dolutegravir/Rilpivirine (DTG/RPV),Alendronic Acid,No Interaction Expected,Very Low,"Coadministration has not been studied. If taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
18,Dolutegravir/Rilpivirine (DTG/RPV),Alfentanil,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes CYP3A4 metabolism. Dolutegravir and rilpivirine are not expected to inhibit or induce CYP enzymes at clinically relevant concentrations. ,(See Summary)
19,Dolutegravir/Rilpivirine (DTG/RPV),Alfuzosin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised mainly by CYP3A4. Dolutegravir are rilpivirine are not expected to inhibit or induce CYP enzymes at clinically relevant concentrations. ,(See Summary)
20,Dolutegravir/Rilpivirine (DTG/RPV),Aliskiren,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized by CYP but is a substrate of P-glycoprotein. Dolutegravir and rilpivirine do not inhibit or induce P-glycoprotein in the range of clinically relevant concentrations.,(See Summary)
21,Dolutegravir/Rilpivirine (DTG/RPV),Allopurinol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Dolutegravir and rilpivirine do not interfere with this metabolic pathway.,(See Summary)
22,Dolutegravir/Rilpivirine (DTG/RPV),Almotriptan,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Almotriptan is partly eliminated unchanged in the urine and partly metabolized (mainly via monoamine oxidase-A, and to a lesser extent by CYP3A4, CYP2D6 and flavin monooxygenase).",(See Summary)
