,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Doravirine (DOR),Abacavir (ABC),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Doravirine is metabolized by CYP3A4. Abacavir does not interfere with CYP450 mediated metabolism.,"Co-administration has not been studied but no effect on doravirine or abacavir is expected. No dose adjustment is required.Pifeltro Summary of Product Characteristics, Merck Sharp & Dohme Ltd, November 2018."
1,Doravirine (DOR),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Doravirine (DOR),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
3,Doravirine (DOR),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Doravirine does not inhibit or induce CYP enzymes.,(See Summary)
4,Doravirine (DOR),Acetazolamide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. Doravirine does not interfere with acetazolamide elimination.,(See Summary)
5,Doravirine (DOR),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Doravirine does not inhibit renal transporters.,(See Summary)
6,Doravirine (DOR),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction. Acitretin undergoes isomerisation and glucuronidation. Doravirine does not inhibit or induce UGT enzymes. ",(See Summary)
7,Doravirine (DOR),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism. Doravirine does not interfere with aclidinium bromide’s metabolic pathway.,(See Summary)
8,Doravirine (DOR),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Doravirine (DOR),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Doravirine does not inhibit renal transporters.,(See Summary)
10,Doravirine (DOR),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). Doravirine does not interfere with adrenaline’s metabolic pathway. ",(See Summary)
11,Doravirine (DOR),African Potato,Potential Interaction,Very Low,Coadministration has not been studied. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. Avoid coadministration as it may impair doravirine efficacy. At least a 4-week cessation period is recommended prior to initiation of doravirine due to the persisting inducing effect upon discontinuation of a moderate/strong inducer.,(See Summary)
