,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Abacavir (ABC),Do Not Coadminister,Very Low,"Delstrigo (doravirine, lamivudine, tenofovir-DF) is indicated for use as a complete regimen for the treatment of HIV 1 infection and must not be administered with other antiretroviral products.","Delstrigo is a complete regimen for the treatment of HIV-1 infection; therefore, Delstrigo should not be administered with other antiretroviral medicinal products.Delstrigo Summary of Product Characteristics, Merck Sharp & Dohme Ltd, November 2018.Because Delstrigo is a complete regimen for the treatment of HIV-1 infection, co-administration with other antiretroviral medications for treatment of HIV-1 infection is not recommended.Delstrigo US Prescribing Information, Merck & Co Inc, August 2018."
1,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Acamprosate,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs). A clinically significant interaction with doravirine is unlikely. Given the potential limited role of OCT or OAT in acamprosate’s elimination and considering the therapeutic index of acamprosate, no clinically relevant interaction with lamivudine or tenofovir is anticipated.",(See Summary)
2,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
3,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Doravirine does not inhibit or induce CYP enzymes. Lamivudine and tenofovir-DF do not interact with acenocoumarol’s metabolic pathway.,(See Summary)
4,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Acetazolamide,Potential Interaction,Very Low,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. No interaction is expected with doravirine or lamivudine. In vitro studies have shown acetazolamide may competitively inhibit renal transporters OAT1, OAT3 and OAT4 and thereby impair tenofovir renal elimination. Close monitoring of renal function is recommended. ",(See Summary)
5,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Aciclovir (Acyclovir),Potential Interaction,Very Low,Coadministration has not been studied. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Doravirine and lamivudine do not interfere with aciclovir elimination. However tenofovir may compete for active tubular secretion which could lead to increased levels of either drug. Monitor renal function.,"Due to the tenofovir disoproxil component of doravirine/lamivudine/tenofovir disoproxil, Delstrigo should be avoided with concurrent or recent use of nephrotoxic medicinal products (e.g., aciclovir). Delstrigo Summary of Product Characteristics, Merck Sharp & Dohme Ltd, November 2018.Co-administration of Delstrigo with drugs that reduce renal function or compete for active tubular secretion may increase serum concentrations of lamivudine, tenofovir, and/or other renally eliminated drugs. Examples of drugs that are eliminated by active tubular secretion include acyclovir.Delstrigo US Prescribing Information, Merck & Co Inc, August 2018."
6,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Acitretin undergoes isomerisation and glucuronidation. Doravirine does not inhibit or induce UGT enzymes. Lamivudine and tenofovir-DF do not interact with acitretin’s metabolic pathway.",(See Summary)
7,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Aclidinium bromide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism. Doravirine, lamivudine and tenofovir-DF do not interfere with aclidinium bromide’s metabolic pathway.",(See Summary)
8,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Adefovir,Do Not Coadminister,Very Low,Coadministration has not been studied and is not recommended. Tenofovir-DF and adefovir dipivoxil should not be coadministered. ,"Doravirine/lamivudine/tenofovir disoproxil must not be co-administered with medicinal products containing adefovir dipivoxil.Delstrigo Summary of Product Characteristics, Merck Sharp & Dohme Ltd, November 2018."
10,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). Doravirine, lamivudine and tenofovir-DF do not interfere with adrenaline’s metabolic pathway.",(See Summary)
11,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),African Potato,Potential Interaction,Very Low,Coadministration has not been studied. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. Avoid coadmnistration as it may impair doravirine efficacy. At least a 4-week cessation period is recommended prior to initiation of doravirine due to the persisting inducing effect upon discontinuation of a moderate/strong inducer. No significant effect is expected on lamivudine or tenofovir-DF. ,(See Summary)
12,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly by CYP1A2. Doravirine does not inhibit or induce CYP enzymes. Lamivudine and tenofovir-DF do not interact with agomelatine’s metabolic pathway.",(See Summary)
13,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Albendazole,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is metabolized by CYP3A4 and by the flavine-containing monooxygenase system. Doravirine does not inhibit or induce CYP enzymes. Lamivudine and tenofovir-DF do not interact with albendazole’s metabolic pathway.",(See Summary)
14,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Albuvirtide,Potential Interaction,Very Low,"Delstrigo (doravirine, lamivudine, tenofovir-DF) is indicated for use as a complete regimen for the treatment of HIV-1 infection and coadministration with other antiretroviral agents is not recommended in Delstrigo product labels. However, in specific clinical situations where an intensification of HIV treatment is needed, coadministration with albuvirtide would be possible from a pharmacokinetic standpoint. Doravirine is metabolized by CYP3A4; lamivudine and tenofovir-DF are eliminated renally. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. No interaction is expected with doravirine, lamivudine and tenofovir-DF.","Delstrigo is a complete regimen for the treatment of HIV-1 infection; therefore, Delstrigo should not be administered with other antiretroviral medicinal products.Delstrigo Summary of Product Characteristics, Merck Sharp & Dohme Ltd, November 2018.Because Delstrigo is a complete regimen for the treatment of HIV-1 infection, co-administration with other antiretroviral medications for treatment of HIV-1 infection is not recommended.Delstrigo US Prescribing Information, Merck & Co Inc, August 2018."
15,Doravirine/Lamivudine/ Tenofovir-DF (DOR/3TC/TDF),Alcohol,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alcohol is metabolized by alcohol dehydrogenase and aldehyde dehydrogenase. The chronic use of alcohol may induce CYP2E1 and to a lesser extent CYP3A4, however, no clinically relevant effect is expected on doravirine exposure. Significant interactions are not expected with lamivudine and tenofovir-DF.",(See Summary)
