,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Efavirenz (EFV),Abacavir (ABC),No Interaction Expected,Low,Specific interaction studies have not been performed with efavirenz and abacavir. Clinically significant interactions would not be expected with abacavir since the NRTIs are metabolised via a different route than efavirenz and would be unlikely to compete for the same metabolic enzymes and elimination pathways. Abacavir had no effect on efavirenz pharmacokinetics when abacavir. efavirenz and indinavir were coadministered. ,"Specific interaction studies have not been performed with efavirenz and NRTIs other than lamivudine, zidovudine, and tenofovir disoproxil fumarate. Clinically significant interactions are not expected since the NRTIs are metabolised via a different route than efavirenz and would be unlikely to compete for the same metabolic enzymes and elimination pathways. No dosage adjustment is necessary for either medicinal product. Sustiva Summary of Product Characteristics, Bristol-Myers Squibb Pharmaceuticals Ltd, April 2015.Sustiva Prescribing Information, Bristol-Myers Squibb Company, March 2015.The effect of abacavir (300 mg twice daily) on the pharmacokinetics of indinavir was assessed in HIV+ subjects receiving indinavir 1000 mg three times daily with efavirenz 600 mg once daily, or indinavir/efavirenz 1200/300 mg twice daily. Abacavir did not influence the pharmacokinetics or exposure parameters of either indinavir or efavirenz. Indinavir, efavirenz and abacavir pharmacokinetics in human immunodeficiency virus-infected subjects. DiCenzo R, Forrest A, Squires KE, et al. Antimicrob Agents Chemother, 2003, 47: 1929-1935. "
1,Efavirenz (EFV),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Efavirenz (EFV),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Efavirenz (EFV),Acenocoumarol,Potential Interaction,Very Low,Coadministration has not been studied but may increase or decrease acenocoumarol concentrations. Monitor INR. A case report described an HIV-infected patient who required an increase in average acenocoumarol dose to maintain INR in the target range whilst on either an efavirenz-based or an atazanavir/ritonavir-based regimen; eventually the patient was stabilised on a raltegravir regimen.,"This interaction has not been studied. Plasma concentrations and effects  of acenocounarol are potentially increased or decreased by efavirenz. Dose  adjustment of acenocoumarol may be required. Sustiva Summary of Product Characteristics, Bristol-Myers Squibb Pharmaceuticals Ltd, April 2015. A case report describes an HIV-infected patient on ART who was receiving the anticoagulant acenocoumarol for secondary prevention of recurrent venous thromboembolism.  Whilst on either an efavirenz-based or an atazanavir/ritonavir-based regimen, the average acenocoumarol dose was increased to maintain INR in the target range.  This implies an induction effect of both efavirenz and atazanavir/ritonavir, presumably on the major enzyme CYP2C9.  Eventually the patient was stabilised on a raltegravir regimen.  Interaction between antiretroviral drugs and acenocoumarol. Welzen ME, van den Berk GE, Hamers RL, Burger DM. Antiviral Ther, 2011, 16(2): 249-252."
4,Efavirenz (EFV),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys, there is therefore little potential for interaction with efavirenz via modulation of, or competition for metabolic pathways.",(See Summary)
5,Efavirenz (EFV),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1.,(See Summary)
6,Efavirenz (EFV),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Efavirenz (EFV),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Efavirenz (EFV),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Efavirenz (EFV),Adefovir,No Interaction Expected,Very Low,No interaction observed at doses of adefovir 6- to 12-fold higher than that recommended for the treatment of chronic hepatitis B. ,"At doses of adefovir dipivoxil 6- to 12-fold higher than the 10 mg dose recommended for the treatment of chronic hepatitis B, there was no interaction with efavirenz. Hepsera Summary of Product Characteristic, Gilead Sciences Ltd, October 2007."
