,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Abacavir (ABC),Do Not Coadminister,Very Low,Stribild is indicated for use as a complete regimen for the treatment of HIV 1 infection and must not be administered with other antiretroviral products.,"Stribild is indicated for use as a complete regimen for the treatment of HIV 1 infection and must not be administered with other antiretroviral products.Stribild Summary of Product Characteristics, Gilead Sciences International Ltd, May 2015.Stribild is a complete regimen for the treatment of HIV-1 infection; therefore, Stribild should not be administered with other antiretroviral medications for treatment of HIV-1 infection.Stribild Prescribing Information, Gilead Sciences Inc, July 2015. Healthy volunteers (n=24) were administered a single dose of abacavir (600 mg) and elvitegravir/ritonavir (200/100 mg once daily) alone and in combination. Elvitegravir/ritonavir did not have significant effects on the kinetics of abacavir (AUC decreased by 16%, Cmax decreased by 12%). Elvitegravir AUC and Cmax decreased by 3% and 5%, with Cmin increasing by 6%.Pharmacokinetics of coadministered ritonavir-boosted elvitegravir and  zidovudine, didanosine, stavudine, or abacavir. Ramanathan S, Shen G,  Hinkle J, et al. J Acquir Immune Defic Syndr, 2007, 46(2):160-6."
1,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Acamprosate,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs). Elvitegravir/cobicistat is unlikely to inhibit OCTs. Given the potential limited role of OCT or OAT in acamprosate’s elimination and considering the therapeutic index of acamprosate, no clinically relevant interaction with emtricitabine or tenofovir is anticipated.",(See Summary)
2,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Acenocoumarol,Potential Interaction,Very Low,Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. In vitro data indicate that elvitegravir is a modest inducer of CYP2C9 and could potentially decrease acenocoumarol concentrations. Monitor INR. Emtricitabine and tenofovir-DF do not interact with this metabolic pathway.,(See Summary)
4,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Acetazolamide,Potential Interaction,Very Low,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown acetazolamide may competitively inhibit renal transporters OAT1, OAT3 and OAT4 and therefore may increase tenofovir exposure. Close monitoring of renal function is recommended. Elvitegravir/cobicistat and emtricitabine do not interact with acetazolamide elimination.",(See Summary)
5,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Aciclovir (Acyclovir),Potential Interaction,Very Low,"Aciclovir	Coadministration has not been studied. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Elvitegravir/cobicistat is unlikely to inhibit OATs at clinically relevant concentrations. However, because emtricitabine and tenofovir, components of Stribild, are primarily excreted by the kidneys by a combination of glomerular filtration and active tubular secretion, coadministration of Stribild with aciclovir may increase concentrations of emtricitabine and tenofovir. ","Because emtricitabine and tenofovir, components of Stribild are primarily excreted by the kidneys by a combination of glomerular filtration and active tubular secretion, coadministration of Stribild with drugs that reduce renal function or compete for active tubular secretion may increase concentrations of emtricitabine, tenofovir, and other renally eliminated drugs. Some examples of drugs that are eliminated by active tubular secretion include, but are not limited to acyclovir.Stribild Prescribing Information, Gilead Sciences Inc, July 2015."
6,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Elvitegravir/Cobicistat/ Emtricitabine/Tenofovir-DF (EVG/c/FTC/TDF),Adefovir,Do Not Coadminister,Very Low,"Coadministration has not been studied. Stribild, which contains tenofovir, should not be administered concomitantly with adefovir dipivoxil.","Stribild should not be administered concomitantly with adefovir dipivoxil used for the treatment of hepatitis B virus infection.Stribild Summary of Product Characteristics, Gilead Sciences International Ltd, May 2015.Stribild is not recommended for coadministration with adefovir dipivoxil.Stribild Prescribing Information, Gilead Sciences Inc, July 2015."
