,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Abacavir (ABC),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. A high rate of virological failure and emergence of resistance have been reported with once daily regimens of abacavir with lamivudine and tenofovir-DF; the same problems may be seen if Descovy is administered with a third nucleoside analogue.,"There have been reports of a high rate of virological failure and of emergence of resistance at an early stage when tenofovir disoproxil fumarate was combined with lamivudine and abacavir as well as with lamivudine and didanosine as a once daily regimen. Therefore, the same problems may be seen if Descovy is administered with a third nucleoside analogue.Descovy Summary of Product Characteristics, Gilead Sciences Ltd, April 2016."
1,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Acamprosate,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (renal transporter unknown, possibly OATs or OCTs). Tenofovir alafenamide is unlikely to compete with acamprosate for renal transporters as tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF. Emtricitabine may compete for tubular secretion, which could lead to increased levels of either drug. The clinical relevance of this interaction is unknown. ",(See Summary)
2,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Dose Descovy according to the concomitant antiretroviral.",(See Summary)
3,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Emtricitabine and tenofovir alafenamide do not interact with this metabolic pathway. Dose Descovy according to the concomitant antiretroviral.,(See Summary)
4,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown acetazolamide may competitively inhibit renal transporters OAT1, OAT3 and OAT4. Inhibition of these renal transporters is unlikely to lead to significant increase in tenofovir as tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF. Dose Descovy according to the concomitant antiretroviral.",(See Summary)
5,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Emtricitabine and tenofovir alafenamide are unlikely to compete with aciclovir for renal transporters as emtricitabine is eliminated by different renal transporters and tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF. Dose Descovy according to the concomitant antiretroviral. ,(See Summary)
6,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation. Dose Descovy according to the concomitant antiretroviral.",(See Summary)
7,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,"Emtricitabine/Tenofovir alafenamide (FTC/TAF, PrEP)",Adefovir,Do Not Coadminister,Very Low,"Coadministration has not been studied and is contraindicated. Descovy, which contains tenofovir (derived from tenofovir alafenamide), should not be used concomitantly with adefovir dipivoxil. ","Descovy should not be administered concomitantly with medicinal products containing adefovir dipivoxil.Descovy Summary of Product Characteristics, Gilead Sciences Ltd, April 2016."
