,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Abacavir (ABC),Potential Weak Interaction,Very Low,Coadministration with emtricitabine/tenofovir-DF has not been studied. Based on metabolism and clearance a clinically significant interaction with emtricitabine is unlikely. Coadministration of tenofovir-DF (300 mg once daily) and abacavir (300 mg single dose) had no effect on abacavir AUC but Cmax increased by 12%. A similar increase in abacavir Cmax may occur with emtricitabine/tenofovir-DF. A high rate of virological failure and emergence of resistance have been reported when lamivudine was combined with tenofovir-DF and abacavir as a once daily regimen. A similar outcome is anticipated if emtricitabine/tenofovir-DF is combined with a third NRTI.,"There have been reports of a high rate of virological failure and of emergence of resistance at an early stage in HIV-1 infected patients when tenofovir disoproxil was combined with lamivudine and abacavir as well as with lamivudine and didanosine as a once daily regimen. There is close structural similarity between lamivudine and emtricitabine and similarities in the pharmacokinetics and pharmacodynamics of these two agents. Therefore, the same problems may be seen if Truvada is administered with a third nucleoside analogue.Truvada Summary of Product Characteristics Gilead Sciences Ltd, June 2018.Coadministration of abacavir (300 mg once daily) and tenofovir-DF (300 mg once daily) increased abacavir Cmax by 12%, but had no effect on AUC (n=8).Truvada US Prescribing Information, Gilead Sciences Inc, May 2018."
1,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Acamprosate,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs). Given the potential limited role of OCT or OAT in acamprosate’s elimination and considering the therapeutic index of acamprosate, no clinically relevant interaction with emtricitabine or tenofovir is anticipated.",(See Summary)
2,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is mainly metabolized by CYP2C9.,(See Summary)
4,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Acetazolamide,Potential Interaction,Very Low,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. No interaction is expected with emtricitabine as emtricitabine and acetazolamide are eliminated by different renal transporters. However in vitro studies have shown acetazolamide may competitively inhibit the renal transporters OAT1, OAT3 and OAT4. Tenofovir is mainly eliminated by OAT1 (and to a lesser extent by OAT3) and concentrations of tenofovir may increase. Close monitoring of renal function is recommended.",(See Summary)
5,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Aciclovir (Acyclovir),Potential Interaction,Very Low,"Coadministration has not been studied. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. No interaction is expected with emtricitabine as emtricitabine and aciclovir are eliminated by different renal transporters. However, an increase in tenofovir or aciclovir concentrations may occur due to reduced renal function or competition for active tubular secretion.","Coadministration of Truvada with drugs that are eliminated by active tubular secretion may increase concentrations of FTC, tenofovir, and/or the coadministered drug. Some examples include, but are not limited to, acyclovir.Truvada US Prescribing Information, Gilead Sciences Inc, May 2018."
6,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Acitretin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.,(See Summary)
7,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,"Emtricitabine/Tenofovir-DF (FTC/TDF, PrEP)",Adefovir,Do Not Coadminister,Very Low,Emtricitabine/tenofovir-DF and adefovir dipivoxil should not be coadministered. Coadministration of adefovir dipivoxil and tenofovir-DF decreased adefovir AUC and Cmax by 11% and 7%; tenofovir AUC and Cmax decreased by 2% and 1%.,"Emtricitabine/tenofovir-DF should not be administered concomitantly with adefovir dipivoxil. Coadministration of adefovir dipivoxil and tenofovir disoproxil fumarate decreased adefovir AUC and Cmax by 11% and 7%; tenofovir AUC and Cmax decreased by 2% and 1%.Truvada Summary of Product Characteristics Gilead Sciences Ltd, June 2018.Coadministration of Truvada with drugs that are eliminated by active tubular secretion may increase concentrations of FTC, tenofovir, and/or the coadministered drug. Some examples include, but are not limited to, adefovir.Truvada US Prescribing Information, Gilead Sciences Inc, May 2018."
