,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Ibalizumab-uiyk,Abacavir (ABC),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Abacavir undergoes mostly hepatic metabolism whereas ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies. Dose modifications of ibalizumab are not required when administered with any other antiretroviral.","No interaction studies have been performed. Based on the mechanism of action and target-mediated drug disposition of ibalizumab, it is not expected that ibalizumab will have pharmacokinetic drug-drug interactions with other medicinal products.Trogarzo Summary of Product Characteristics, Theratechnologies International Ltd, September 2019.No drug interaction studies have been conducted with ibalizumab-uiyk. Based on ibalizumab-uiyk’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Dose modifications of ibalizumab-uiyk are not required when administered with any other antiretroviral.Trogarzo US Prescribing Information, Theratechnologies Inc., May 2018."
1,Ibalizumab-uiyk,Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Ibalizumab-uiyk,Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",(See Summary)
3,Ibalizumab-uiyk,Acenocoumarol,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Acenocoumarol undergoes hepatic metabolism whereas ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",(See Summary)
4,Ibalizumab-uiyk,Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion whereas ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",(See Summary)
5,Ibalizumab-uiyk,Aciclovir (Acyclovir),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Aciclovir is eliminated renally whereas ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",(See Summary)
6,Ibalizumab-uiyk,Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Acitretin undergoes isomerisation and glucuronidation. Ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",(See Summary)
7,Ibalizumab-uiyk,Aclidinium bromide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites. Ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",(See Summary)
8,Ibalizumab-uiyk,Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Ibalizumab-uiyk,Adefovir,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. No drug interaction studies have been conducted with ibalizumab: based on ibalizumab’s mechanism of action and target-mediated drug disposition, drug-drug interactions are not expected. Adefovir is eliminated renally whereas ibalizumab, a monoclonal antibody binding to the CD4 receptor, is likely to be eliminated via intracellular catabolism similarly to other monoclonal antibodies.",(See Summary)
