,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Indinavir (IDV),Abacavir (ABC),No Interaction Expected,Moderate,No data with indinavir/ritonavir. Coadministration with indinavir alone to HIV+ subjects showed that abacavir had no significant effect on indinavir concentrations.,"Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP2C9 or CYP2D6 enzymes at clinically relevant concentrations. Induction of hepatic metabolism has not been observed in clinical studies. Therefore, there is little potential for interactions with antiretroviral PIs.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.The effect of abacavir (300 mg twice daily) on the pharmacokinetics of indinavir was assessed in HIV+ subjects receiving indinavir 1000 mg three times daily with efavirenz 600 mg once daily, or indinavir/efavirenz 1200/300 mg twice daily. Abacavir did not influence the pharmacokinetics or exposure parameters of either indinavir or efavirenz. Indinavir, efavirenz and abacavir pharmacokinetics in human immunodeficiency virus-infected subjects. DiCenzo R, Forrest A, Squires KE, et al. Antimicrob Agents Chemother, 2003, 47: 1929-1935. "
1,Indinavir (IDV),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Indinavir (IDV),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Indinavir (IDV),Acenocoumarol,Potential Interaction,Very Low,Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. In vitro and in vivo data indicate that ritonavir is a modest inducer of CYP2C9. Indinavir/ritonavir could potentially decrease acenocoumarol concentrations. Monitor INR.,(See Summary)
4,Indinavir (IDV),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys, there is therefore little potential for interaction with indinavir via modulation of, or competition for metabolic pathways.",(See Summary)
5,Indinavir (IDV),Aciclovir (Acyclovir),Potential Interaction,Very Low,Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. However both drugs can induce crystalluria and therefore should be administered with caution.,(See Summary)
6,Indinavir (IDV),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Indinavir (IDV),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Indinavir (IDV),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Indinavir (IDV),Adefovir,No Interaction Expected,Very Low,No interaction observed at doses of adefovir 6- to 12-fold higher than that recommended for the treatment of chronic hepatitis B. ,"At doses of adefovir dipivoxil 6- to 12-fold higher than the 10 mg dose recommended for the treatment of chronic hepatitis B, there was no interaction with indinavir. Hepsera Summary of Product Characteristic, Gilead Sciences Ltd, October 2007."
10,Indinavir (IDV),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs, there is little potential for interaction. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). There is therefore little potential for interaction with indinavir via modulation of, or competition for metabolic or elimination pathways.",(See Summary)
11,Indinavir (IDV),African Potato,No Interaction Expected,Very Low,"Coadministration has not been studied but based on the metabolic data there is little potential for pharmacokinetic interactions. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. However, coadministration of African potato with lopinavir/ritonavir in healthy volunteers did not result in significant pharmacokinetic changes suggesting that boosting by ritonavir could offset the inducing effect of African potato. Similarly, no significant effect is expected on the pharmacokinetics of indinavir.",(See Summary)
12,Indinavir (IDV),Agomelatine,Potential Interaction,Very Low,Coadministration has not been studied. Agomelatine is metabolised predominantly by CYP1A2 which is induced by ritonavir. Coadministration with indinavir/ritonavir could potentially decrease agomelatine exposure. Monitor clinical effect and increase dosage if needed. ,(See Summary)
13,Indinavir (IDV),Albendazole,Potential Interaction,Very Low,Coadministration has not been studied. In vitro studies have demonstrated that CYP3A4 and the flavine-containing monooxygenase system are involved in formation of the active metabolite albendazole sulfoxide. Short term (2 doses) coadministration with ritonavir (200 mg) did not impact albendazole pharmacokinetics whereas long-term coadministration (8 days) decreased albendazole exposure likely due to ritonavir inducing effect. Indinavir/ritonavir is unlikely to significantly affect albendazole exposure when used for a short duration treatment but may reduce the clinical effect of albendazole when used for a long duration treatment.,"In a sequential pharmacokinetic study, healthy male volunteers (n=8) were administered a single oral dose of 400 mg albendazole, in absence and after short-term (2 doses) and long-term (8 days) treatment with ritonavir 200 mg twice daily. Pharmacokinetic parameters of albendazole and  its metabolite albendazole sulfoxide, were not changed by short-term administration of ritonavir. However long-term administration resulted in significant changes in albendazole disposition, with a significant decrease in albendazole and albendazole sulfoxide AUC0-24 (73% and 59% respectively) and Cmax (74% and 48% respectively). Tmax and the terminal half-life were not significantly changed. The observation is most likely due to a ritonavir-mediated induction of metabolising enzymes (CYP2C9, CYP1A2, UGTs) or transporters, although changes in absorption are also possible. These findings need to be replicated with a key boosted PI such as lopinavir/ritonavir. Effect of ritonavir on the pharmacokinetics of the benzimidazoles albendazole and mebendazole: an interaction study in healthy volunteers. Corti N, Heck A, Rentsch K, et al.Eur J Clin Pharmacol. 2009;65:999-1006."
14,Indinavir (IDV),Albuvirtide,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. Based on data from studies with lopinavir/ritonavir, concentrations of indinavir and ritonavir may decrease but this is not expected to be clinically relevant. Coadministration of albuvirtide (320 mg once weekly intravenous) and oral lopinavir/ritonavir (400/100 mg twice daily) was evaluated in HIV-infected individuals. Albuvirtide exposure was not significantly affected by lopinavir/ritonavir. However, both lopinavir and ritonavir concentrations were lower in presence of albuvirtide compared with lopinavir/ritonavir alone (lopinavir AUC, Cmax and Ctrough decreased by 37%, 33% and 35%, respectively; ritonavir AUC, Cmax and Ctrough decreased by 38%, 39% and 28%, respectively). The mean lopinavir Ctrough in presence of albuvirtide (7.1 µg/ml) remained higher than the minimal lopinavir Ctrough previously associated with efficacy. Furthermore, a randomized, phase 3 study (TALENT study) showed that albuvirtide + lopinavir/ritonavir was non-inferior to the standard second-line regimen lopinavir/ritonavir + zidovudine/tenofovir disoproxil fumarate + lamivudine in HIV infected Chinese individuals suggesting that this interaction has no clinical consequences. In vitro human microsomal studies indicate that albuvirtide has no inducing properties on P450 enzymes. In addition, albuvirtide binds to <1% of serum albumin in the range of clinical concentrations, thus the observed decrease in lopinavir and ritonavir concentrations is unlikely to result from protein binding displacement. However, binding of the albuvirtide-albumin complex to the HIV protease inhibitor cannot be excluded.","Coadministration of albuvirtide (320 mg once weekly intravenous) and oral lopinavir/ritonavir (400/100 mg twice daily) was evaluated in 9 HIV-infected individuals. Albuvirtide exposure was not significantly affected by lopinavir/ritonavir. Conversely, both lopinavir and ritonavir concentrations were lower in presence of albuvirtide compared with lopinavir/ritonavir alone. The mean ratios (90% CI) of AUC, Cmax and Ctrough for lopinavir were 0.63 (0.49-0.82), 0.67 (053-0.86) and 0.65 (0.46-0.91). For ritonavir, AUC, Cmax and Ctrough were 0.62 (0.42-0.91), 0.61 (0.38-0.99) and 0.72 (0.40-1.26). The mean lopinavir Ctrough in presence of albuvirtide (7.1 ug/ml) remained higher than the minimal lopinavir Ctrough previously associated with efficacy.Evaluation of pharmacokinetic interactions between long-acting HIV-1 fusion inhibitor albuvirtide and lopinavir/ritonavir, in HIV-infected subjects, combined with clinical study and simulation results. Yang W, Xiao Q, Wang D, et al. Xenobiotica. 2017, 47(2): 133-143.The safety and efficacy of albuvirtide plus lopinavir-ritonavir in antiretroviral-experienced Chinese adults with HIV-1 was assessed in a randomized, phase 3 study (TALENT study). Subjects were randomly assigned (1:1) to receive albuvirtide (once weekly) plus ritonavir-boosted lopinavir (albuvirtide) or WHO-recommended second-line treatment (lopinavir/ritonavir + zidovudine/tenofovir disoproxil fumarate + lamivudine; control). The primary endpoint was the proportion of patients with plasma viral load <50 copies/mL at 48 weeks. Non-inferiority was pre-specified with a margin of 12%. Interim analysis of 48 week data from 46 subjects in the albuvirtide group and 50 patients in the control group showed 80.4% patients in the albuvirtide group had HIV-1 RNA <50 copies/mL versus 66.0% in the control group (difference 14.4%, 95% CI -3.0% -31.9%), meeting the non-inferiority criteria.Efficacy and safety of long-acting HIV fusion inhibitor albuvirtide in antiretroviral-experienced adults with HIV-1: interim 48-week results from the randomized, controlled, phase 3, non-inferiority TALENT study. Wu H, Yao C, Zhang T,et al. J Int AIDS Soc, 2016, 19(Suppl 7): 21. [Abstract 0336 presented at International Congress of Drug Therapy in HIV Infection, October 2016, Glasgow, UK.]"
