,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Lamivudine (3TC),Abacavir (ABC),No Interaction Expected,Moderate,"No significant pharmacokinetic interaction was observed in clinical studies. A high rate of virological failure and emergence of resistance reported when lamivudine was combined with tenofovir and abacavir as a once daily regimen. Note, the bioavailability of lamivudine solution has been shown to be significantly reduced in a dose dependent manner by sorbitol which is present in liquid formulations such as abacavir oral solution.","There have been reports of a high rate of virological failure and of emergence of resistance at an early stage when lamivudine was combined with tenofovir disoproxil fumarate and abacavir as well as with tenofovir disoproxil fumarate and didanosine as a once daily regimen. Coadministration of sorbitol solution (3.2 g, 10.2 g, 13.4 g) with a single 300 mg dose of lamivudine oral solution resulted in dose-dependent decreases of 14%, 32%, and 36% in lamivudine exposure (AUC) and 28%, 52%, and 55% in the Cmax of lamivudine in adults. When possible, avoid chronic coadministration of Epivir with medicinal products containing sorbitol. Consider more frequent monitoring of HIV-1 viral load when chronic coadministration cannot be avoided. Epivir Summary of Product Characteristics, ViiV Healthcare UK Ltd, February 2019.Coadministration of single doses of lamivudine and sorbitol resulted in a sorbitol dose-dependent reduction in lamivudine exposures. When possible, avoid use of sorbitol-containing medicines with lamivudine. Lamivudine and sorbitol solutions were coadministered to 16 healthy adult subjects in an open-label, randomized-sequence, 4-period, crossover trial. Each subject received a single 300-mg dose of lamivudine oral solution alone or coadministered with a single dose of 3.2 grams, 10.2 grams, or 13.4 grams of sorbitol in solution. Coadministration of lamivudine with sorbitol resulted in dose-dependent decreases of 20%, 39%, and 44% in the AUC(0-24), 14%, 32%, and 36% in the AUC(infinity), and 28%, 52%, and 55% in the Cmax; of lamivudine, respectively. Epivir US Prescribing Information, ViiV Healthcare, May 2019.Clinical studies have shown that there are no clinically significant interactions between abacavir, zidovudine, and lamivudine. There have been reports of a high rate of virological failure and of emergence of resistance at an early stage when abacavir was combined with tenofovir disoproxil fumarate and lamivudine as a once daily regimen. Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.Fifteen HIV-infected patients were enrolled in a crossover-designed drug interaction trial evaluating single doses of abacavir (600 mg), lamivudine (150 mg), and zidovudine (300 mg) alone or in combination. Analysis showed no clinically relevant changes in the pharmacokinetics of abacavir with the addition of lamivudine or zidovudine or the combination of lamivudine and zidovudine. Lamivudine exposure (AUC decreased 15%) and zidovudine exposure (AUC increased 10%) did not show clinically relevant changes with concurrent abacavir. Ziagen Prescribing Information, ViiV Healthcare, June 2019.The pharmacokinetics and safety of single doses of abacavir (600 mg), zidovudine (300 mg) and lamivudine (150 mg) were evaluated when given alone or with either or both of the other drugs to 13 HIV-infected subjects. Coadministration of abacavir with lamivudine (with or without zidovudine) decreased lamivudine AUC by ~15%, decreased Cmax by ~ 35% and delayed Tmax by ~1 h. While these changes are statistically significant, they are not considered to be clinically significant. There were no differences in the pharmacokinetics of abacavir when given alone, or with zidovudine or lamivudine, or with both zidovudine and lamivudine. Single dose pharmacokinetics and safety of abacavir (1592U98), zidovudine, and lamivudine administered alone and in combination in adults with human immunodeficiency virus infection. Wang LH, et al. Antimicrob Agents Chemother, 1999, 43: 1708-1715.The effect of sorbitol on the single dose pharmacokinetics of 3TC oral solution was evaluated in 16 HIV-negative subjects. Sorbitol had a dose-dependent effect on 3TC PK with decreases of 28%, 52%, and 55% in Cmax and decreases of 20%, 39%, and 44% in AUC when co-administered with 3.2 g, 10.2 g, and 13.4 g sorbitol, respectively.Effect of sorbitol on 3TC PK after administration of lamivudine solution in adults. Adkinson KK, McCoig C, Wolstenholm A, et al. CROI 2017, Seattle USA, February 2017, abstract 428."
1,Lamivudine (3TC),Acamprosate,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs). There is little potential for a clinically relevant interaction with lamivudine via competition for active renal transport mechanisms given the possible limited role of OCT in acamprosate’s elimination and the therapeutic index of lamivudine and acamprosate.",(See Summary)
2,Lamivudine (3TC),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Lamivudine (3TC),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is mainly metabolized by CYP2C9.,(See Summary)
4,Lamivudine (3TC),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely as lamivudine and acetazolamide are eliminated by different renal transporters. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion and may competitively inhibit the renal transporters OAT1, OAT3 and OAT4.",(See Summary)
5,Lamivudine (3TC),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. A drug-drug interaction is unlikely as lamivudine and aciclovir are eliminated by different renal transporters.,(See Summary)
6,Lamivudine (3TC),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Lamivudine (3TC),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Lamivudine (3TC),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Lamivudine (3TC),Adefovir,No Interaction Expected,Moderate,"Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. A pharmacokinetic interaction is unlikely as lamivudine and adefovir are eliminated by different renal transporters and coadministration of adefovir dipivoxil (10 mg) and lamivudine (100 mg) did not alter the pharmacokinetic profile of either drug. However, as adefovir is nephrotoxic, renal function should be monitored.","Concomitant administration of 10 mg adefovir dipivoxil and 100 mg lamivudine did not alter the pharmacokinetic profile of either medicinal product. Hepsera Summary of Product Characteristic, Gilead Sciences Ltd, August 2008.The pharmacokinetics of adefovir have been evaluated in healthy adult volunteers (n=18) following multiple dose administration of adefovir (10 mg once daily) in combination with lamivudine (100 mg once daily). Adefovir did not alter the pharmacokinetics of lamivudine and the pharmacokinetics of adefovir were unchanged. Hepsera Prescribing Information, Gilead Sciences Inc, May 2008."
10,Lamivudine (3TC),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs, there is little potential for interaction. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). There is therefore little potential for interaction with lamivudine via modulation of, or competition for metabolic or elimination pathways.",(See Summary)
11,Lamivudine (3TC),African Potato,No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolic data there is little potential for pharmacokinetic interactions.,(See Summary)
12,Lamivudine (3TC),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly by CYP1A2.",(See Summary)
13,Lamivudine (3TC),Albendazole,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is metabolized by CYP3A4 and by the flavine-containing monooxygenase system. There is little potential for interaction via competition with lamivudine for renal elimination pathways.",(See Summary)
14,Lamivudine (3TC),Albuvirtide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Lamivudine is eliminated renally. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.",(See Summary)
15,Lamivudine (3TC),Alcohol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alcohol is metabolized by alcohol dehydrogenase and aldehyde dehydrogenase. ,(See Summary)
16,Lamivudine (3TC),Alcuronium,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Alcuronium is predominantly excreted unchanged via the kidneys. As there are no available data determining whether excretion is via active tubular secretion or glomerular filtration, there is some potential for competition with lamivudine for active renal transport mechanisms, which may lead to increased levels of either drug.",(See Summary)
17,Lamivudine (3TC),Alendronic Acid,No Interaction Expected,Very Low,"If taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
18,Lamivudine (3TC),Alfentanil,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfentanil undergoes extensive CYP3A4 metabolism. ,(See Summary)
19,Lamivudine (3TC),Alfuzosin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolized mainly by CYP3A4.,(See Summary)
20,Lamivudine (3TC),Aliskiren,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. P-glycoprotein is a major determinant of aliskiren bioavailability.,(See Summary)
21,Lamivudine (3TC),Allopurinol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. ,(See Summary)
22,Lamivudine (3TC),Almotriptan,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Almotriptan is partly eliminated unchanged in the urine and partly metabolized (mainly via monoamine oxidase-A and to a lesser extent by CYP3A4, CYP2D6 and flavin monooxygenase).",(See Summary)
23,Lamivudine (3TC),Aloe vera,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Aloe vera is only a weak inhibitor of CYPs in vitro and therefore is unlikely to cause clinically significant interactions. It does not inhibit P-gp and there is no evidence to suggest it impacts UGTs.",(See Summary)
24,Lamivudine (3TC),Alosetron,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYPs 2C9, 3A4 and 1A2, with in vivo data suggesting that CYP1A2 plays a more prominent role.",(See Summary)
25,Lamivudine (3TC),Alprazolam,No Interaction Expected,Very Low,Coadministration has not been studied but based on  metabolism and clearance a clinically significant interaction is unlikely as alprazolam is metabolized mainly by CYP3A4.,(See Summary)
26,Lamivudine (3TC),Amantadine,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Amantadine is mainly eliminated in the kidney by glomerular filtration and active secretion via OCT2. There is potential for competition with lamivudine for active renal transport mechanisms, which may lead to increased levels of either drug.",(See Summary)
27,Lamivudine (3TC),Ambrisentan,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is mainly glucuronidated by UGT1A9, UGT2B7, UGT1A3 and is metabolized to a lesser extent by CYP3A4. Ambrisentan is also a substrate of P-gp and OATP1B1. Lamivudine does not interfere with ambrisentan metabolism.",(See Summary)
28,Lamivudine (3TC),Amikacin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amikacin is eliminated renally by glomerular filtration.,(See Summary)
29,Lamivudine (3TC),Amiloride,Potential Weak Interaction,Very Low,Coadministration has not been studied. Amiloride is eliminated unchanged by the kidney and in vitro data indicate that it is a substrate of OCT. Amiloride may potentially compete with lamivudine for renal elimination transport mechanisms which may lead to increased concentrations of either drug.,(See Summary)
30,Lamivudine (3TC),Aminophylline,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aminophylline is a complex of theophylline and ethylenediamine and is given for its theophylline activity. Theophylline is mainly metabolized by CYP1A2.,(See Summary)
31,Lamivudine (3TC),Amiodarone,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amiodarone is metabolized by CYP3A4. ,(See Summary)
32,Lamivudine (3TC),Amisulpride,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolized and is primarily eliminated renally (via glomerular filtration and possibly active secretion by OCT). There is little potential for an interaction with lamivudine via competition for active renal transport mechanisms given the possible limited role of OCT in amisulpride’s elimination.,(See Summary)
33,Lamivudine (3TC),Amitriptyline,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amitriptyline is metabolized predominantly by CYP2D6 and CYP2C19.,(See Summary)
34,Lamivudine (3TC),Amlodipine,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amlodipine is metabolized by CYP3A4. ,(See Summary)
35,Lamivudine (3TC),Amodiaquine,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amodiaquine is mainly metabolized by CYP2C8 to N-desethylamodiaquine, an active metabolite but less potent than the parent compound.",(See Summary)
36,Lamivudine (3TC),Amoxicillin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly eliminated unchanged in the kidney and in vitro data indicate that it is a substrate of OAT3 whereas lamivudine is eliminated by OCT2.,(See Summary)
37,Lamivudine (3TC),Amphetamine,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amphetamine is metabolized by CYP2D6. ,(See Summary)
38,Lamivudine (3TC),Amphotericin B,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amphotericin is not appreciably metabolized and is eliminated to a large extent in the bile.,(See Summary)
