,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Lopinavir (LPV),Abacavir (ABC),Potential Weak Interaction,Low,"Coadministration of abacavir and lopinavir/ritonavir has no effect on lopinavir or ritonavir pharmacokinetics, but appears to decrease abacavir exposure by ~30%. The clinical significance of this is unknown.","Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP2C9 or CYP2D6 enzymes at clinically relevant concentrations. Induction of hepatic metabolism has not been observed in clinical studies. Therefore, there is little potential for interactions with antiretroviral PIs.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.Abacavir concentrations may be reduced due to increased glucuronidation by lopinavir. The clinical significance of this reduced abacavir concentrations is unknown.Kaletra Summary of Product Characteristics, Abbott Laboratories Ltd, February 2012.Lopinavir induces glucuronidation and therefore has the potential to reduce abacavir plasma concentrations. The clinical significance of this potential interaction is unknown.Kaletra Prescribing Information, Abbott Laboratories, May 2012.Plasma concentrations of abacavir (300 mg twice daily) with lopinavir/ritonavir (400/100 mg twice daily, n=7) or nevirapine (400 mg once daily, n=5) were determined in HIV positive patients. Abacavir AUC, Cmax and Ctrough were 40%, 46% and 29% lower, respectively, in the presence of lopinavir/ritonavir when compared to nevirapine. The authors suggest that the decrease in exposure of abacavir is due to induction of glucuronidation by ritonavir and/or lopinavir.Pilot pharmacokinetic study of Human Immunodeficiency Virus-infected patients receiving tenofovir disoproxil fumarate (TDF): Investigation of systemic and intracellular interactions between TDF and abacavir, lamivudine, or lopinavir-ritonavir. Pruvost A, Negredo E, Théodoro F, et al. Antimicrob Agents Chemother, 2009, 53(5): 1937-1943.Coadministration of abacavir (600 mg once daily) and lopinavir/ritonavir (400/100 mg twice daily) was studied in 12 HIV+ subjects. There was no effect on lopinavir or ritonavir pharmacokinetics, but abacavir AUC decreased by 32% and Cmax decreased by 34%. Abacavir plasma pharmacokinetics in the absence and the presence of atazanavir/ritonavir or lopinavir/ritonavir) and vice versa in HIV+ patients. Waters L, et al. 14th Conference on Retroviruses and Opportunistic Infections, Los Angeles, February 2007, abstract 557."
1,Lopinavir (LPV),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Lopinavir (LPV),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Lopinavir (LPV),Acenocoumarol,Potential Interaction,Very Low,Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. In vitro and in vivo data indicate that ritonavir is a modest inducer of CYP2C9. Lopinavir/ritonavir could potentially decrease acenocoumarol concentrations. Monitor INR.,(See Summary)
4,Lopinavir (LPV),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys, there is therefore little potential for interaction with lopinavir via modulation of, or competition for metabolic pathways.",(See Summary)
5,Lopinavir (LPV),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1.,(See Summary)
6,Lopinavir (LPV),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Lopinavir (LPV),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Lopinavir (LPV),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Lopinavir (LPV),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. ,(See Summary)
10,Lopinavir (LPV),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs, there is little potential for interaction. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). There is therefore little potential for interaction with lopinavir via modulation of, or competition for metabolic or elimination pathways.",(See Summary)
11,Lopinavir (LPV),African Potato,No Interaction Expected,Moderate,"Coadministration of lopinavir/ritonavir (400/100 mg twice daily) and African potato was studied in 16 HIV-negative subjects. Relative to repeated administration of lopinavir/ritonavir alone, steady-state Cmax and AUC of lopinavir remained unchanged following concomitant administration of multiple-dose African potato. These results suggest that inhibition of CYP3A4 by ritonavir offsets any inducing effect of African potato on CYP3A4 expected when used for extended periods. ","Coadministration of lopinavir/ritonavir (400/100 mg twice daily) and African potato was studied in 16 HIV-negative subjects. Relative to repeated administration of lopinavir/ritonavir alone, steady-state Cmax and AUC of lopinavir remained unchanged following concomitant administration of multiple-dose African potato.Co-administration of a commonly used Zimbabwean herbal treatment (African potato) does not alter the pharmacokinetics of lopinavir/ritonavir. Gwaza L, Aweeka F, Greenblatt R, et al. Int J Infect Dis. 2013, 17(10): e857-61."
12,Lopinavir (LPV),Agomelatine,Potential Interaction,Very Low,Coadministration has not been studied. Agomelatine is metabolised predominantly by CYP1A2 which is induced by ritonavir. Coadministration with lopinavir/ritonavir could potentially decrease agomelatine exposure. Monitor clinical effect and increase dosage if needed. ,(See Summary)
