,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Nevirapine (NVP),Abacavir (ABC),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely.,(See Summary)
1,Nevirapine (NVP),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Nevirapine (NVP),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Nevirapine (NVP),Acenocoumarol,Potential Interaction,Very Low,"Coadministration has not been studied. Previous case reports have reported a decrease in acenocoumarol effect when coadministered with efavirenz and a decrease in warfarin effect in the presence of nevirapine (warfarin and acenocoumarol have a comparable metabolism). Based on these reports, nevirapine could potentially decrease acenocoumarol concentrations. Monitor INR.",(See Summary)
4,Nevirapine (NVP),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys, there is therefore little potential for interaction with nevirapine via modulation of, or competition for metabolic pathways.",(See Summary)
5,Nevirapine (NVP),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1.,(See Summary)
6,Nevirapine (NVP),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Nevirapine (NVP),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Nevirapine (NVP),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Nevirapine (NVP),Adefovir,No Interaction Expected,Very Low,No interaction observed at doses of adefovir 6- to 12-fold higher than that recommended for the treatment of chronic hepatitis B. ,"At doses of adefovir dipivoxil 6- to 12-fold higher than the 10 mg dose recommended for the treatment of chronic hepatitis B, there was no interaction with nevirapine. Hepsera Summary of Product Characteristic, Gilead Sciences Ltd, October 2007."
10,Nevirapine (NVP),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs, there is little potential for interaction. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). There is therefore little potential for interaction with nevirapine via modulation of, or competition for metabolic or elimination pathways.",(See Summary)
11,Nevirapine (NVP),African Potato,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolic data there is little potential for pharmacokinetic interactions. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. However coadministration of African potato with efavirenz in healthy volunteers did not result in significant pharmacokinetic changes. Similarly, no significant effect is expected on the pharmacokinetics of nevirapine.",(See Summary)
12,Nevirapine (NVP),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly by CYP1A2.",(See Summary)
13,Nevirapine (NVP),Albendazole,Potential Weak Interaction,Very Low,"Coadministration has not been studied. In vitro studies have demonstrated that CYP3A4 is involved in formation of the active metabolite albendazole sulfoxide. When antiepileptics (phenytoin, carbamazepine and phenobarbital) were coadministered with albendazole, significantly reduced levels of the active metabolite albendazole sulfoxide were observed, apparently due to induction of CYP3A4. Similarly, coadministration with nevirapine could reduce albendazole exposure; however, the clinical relevance is unknown as the antihelmintic action is thought to be mainly intra-intestinal.","Phenytoin, carbamazepine, and phenobarbital appear to induce the oxidative metabolism of albendazole via the cytochrome P450 isoenzyme CYP3A by roughly the same extent, resulting in significantly reduced concentrations of albendazole sulfoxide. This interaction is likely to be clinically significant when albendazole is used to treat systemic worm infections, and increased doses of albendazole would be needed. The interaction is probably not clinically significant when albendazole is used for intestinal worm infections. Lanchote VL, et al. Pharmacokinetic interaction between albendazole sulfoxide enantiomers and antiepileptic drugs in patients with neurocysticercosis. Ther Drug Monit 2002; 24: 338–45."
14,Nevirapine (NVP),Albuvirtide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Nevirapine is metabolized by CYP3A4 and CYP2B6. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes. Induction of CYP3A4 by nevirapine is unlikely to affect albuvirtide, a peptide which is eliminated by catabolism to its constituent amino acids.",(See Summary)
15,Nevirapine (NVP),Alcohol,No Interaction Expected,Very Low,Coadministration has not been studied. Alcohol is metabolized by alcohol dehydrogenase and aldehyde dehydrogenase. The chronic use of alcohol may induce CYP2E1 and to a lesser extent CYP3A4. No a priori clinically relevant drug-drug interaction is anticipated. ,(See Summary)
16,Nevirapine (NVP),Alcuronium,No Interaction Expected,Very Low,This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs there is little potential for interaction. Alcuronium is predominantly eliminated unchanged via the kidneys.,(See Summary)
17,Nevirapine (NVP),Alendronic Acid,No Interaction Expected,Very Low,"If taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
18,Nevirapine (NVP),Alfentanil,Potential Interaction,Very Low,Coadministration has not been studied but could potentially decrease alfentanil concentrations. Alfentanil undergoes extensive CYP3A4 metabolism and nevirapine is an inducer of this enzyme. Monitoring of the therapeutic response is recommended. Dose adjustment of alfentanil should be considered if needed.,(See Summary)
19,Nevirapine (NVP),Alfuzosin,Potential Interaction,Very Low,"Coadministration has not been studied. Alfuzosin is metabolised mainly by CYP3A4. Nevirapine, an inducer of CYP3A4, could potentially decrease alfuzosin exposure. Monitor clinical effect and increase dosage if needed.",(See Summary)
20,Nevirapine (NVP),Aliskiren,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized by CYP450 but is a substrate of P-glycoprotein. In vitro data indicate that nevirapine does not induce or inhibit P-glycoprotein in the range of clinical concentrations.,(See Summary)
