,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Raltegravir (RAL),Abacavir (ABC),No Interaction Expected,Moderate,"Coadministration increased abacavir AUC and Cmax by 3% and 6%, respectively; Cmin decreased by 17%. Studies are required to relate the change in plasma abacavir exposure to the active intracellular carbovir triphosphate.","The steady-state pharmacokinetics of abacavir (600 mg once daily, plus two NRTIs – excluding tenofovir) were investigated when coadministered with darunavir/ritonavir (900/100 mg once daily) to 19 HIV+ subjects in a cross-over study. Abacavir AUC, Cmax and Cmin decreased by 27%, 22% and 38%, respectively in the presence of darunavir/ritonavir. Exposure of abacavir’s active intracellular carbovir triphosphate anabolite was decreased, however, the clinical significance of this decrease is unclear.Pharmacokinetics of abacavir and its anabolite carbovir triphosphate without and with darunavir/ritonavir or raltegravir in HIV-infected subjects. Jackson A, Moyle, G, Dickinson L, et al. Antivir Ther, 2012, 17(1): 19-24."
1,Raltegravir (RAL),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Raltegravir (RAL),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Raltegravir (RAL),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is mainly metabolized by CYP2C9.,(See Summary)
4,Raltegravir (RAL),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys, there is therefore little potential for interaction with raltegravir via modulation of, or competition for metabolic pathways.",(See Summary)
5,Raltegravir (RAL),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1.,(See Summary)
6,Raltegravir (RAL),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Raltegravir (RAL),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Raltegravir (RAL),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Raltegravir (RAL),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. ,(See Summary)
