,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Abacavir (ABC),Do Not Coadminister,Very Low,Odefsey is indicated for use as a complete regimen for the treatment of HIV-1 infection and should not be co-administered with other antiretroviral medicinal products.,"Odefsey is indicated for use as a complete regimen for the treatment of HIV-1 infection and should not be co-administered with other antiretroviral medicinal products.Odefsey Summary of Product Characteristics, Gilead Sciences Ltd, January 2019.Because Odefsey is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended.Odefsey US Prescribing Information, Gilead Sciences Inc, October 2018."
1,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Acamprosate,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (renal transporter unknown, possibly OATs or OCTs). A clinically significant interaction with rilpivirine is unlikely. Tenofovir alafenamide is unlikely to compete with acamprosate for renal transporters as tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF. However, acamprosate and emtricitabine may compete for tubular secretion, which could lead to increased concentrations of either drug. The clinical relevance of this interaction is unknown.",(See Summary)
2,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
3,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Rilpivirine at a dose of 25 mg once daily is unlikely to have a clinically relevant effect on the exposure of medicinal products metabolised by CYP enzymes. Emtricitabine and tenofovir alafenamide do not interact with this metabolic pathway. ,(See Summary)
4,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown acetazolamide may competitively inhibit renal transporters OAT1, OAT3 and OAT4. Inhibition of these renal transporters is unlikely to lead to significant increase in tenofovir as tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF. No effect on emtricitabine exposure is expected. Rilpivirine does not interfere with acetazolamide elimination.",(See Summary)
5,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. Rilpivirine does not interfere with acyclovir elimination. Emtricitabine and tenofovir alafenamide are unlikely to compete with aciclovir for renal transporters as emtricitabine is eliminated by different renal transporters and tenofovir alafenamide results in 90% lower systemic levels of tenofovir compared to tenofovir-DF. ,"Because emtricitabine and tenofovir are primarily excreted by the kidneys by a combination of glomerular filtration and active tubular secretion, coadministration of Odefsey with drugs that reduce renal function or compete for active tubular secretion may increase concentrations of FTC, tenofovir, and other renally eliminated drugs and this may increase the risk of adverse reactions. Some examples of drugs that are eliminated by active tubular secretion include acyclovir.Odefsey US Prescribing Information, Gilead Sciences Inc, October 2018."
6,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation. ",(See Summary)
7,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Adefovir,Do Not Coadminister,Very Low,Coadministration has not been studied and is contraindicated. Odefsey contains tenofovir (derived from tenofovir alafenamide) which should not be used concomitantly with adefovir dipivoxil.,"Odefsey should not be co-administered with other medicinal products containing adefovir dipivoxil. Odefsey Summary of Product Characteristics, Gilead Sciences Ltd, January 2019."
10,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). ",(See Summary)
11,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),African Potato,Potential Interaction,Very Low,Coadministration has not been studied. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods.  Use with caution as African potato could decrease concentrations of rilpivirine (due to induction of CYP3A4) and absorption of tenofovir alafenamide (due to induction of intestinal P-gp). Therapeutic drug monitoring of rilpivirine is recommended. No effect on emtricitabine is expected.,(See Summary)
12,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatin is metabolised predominantly by CYP1A2. Rilpivirine at a dose of 25 mg once daily is not likely to have a clinically relevant effect on the exposure of medicinal products metabolised by CYP enzymes. Emtricitabine and tenofovir alafenamide do not interact with this metabolic pathway. ",(See Summary)
13,Rilpivirine/ Emtricitabine/Tenofovir alafenamide (RPV/FTC/TAF),Albendazole,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro studies have shown that CYP3A4 and the flavine-containing monooxygenase system are involved in the formation of the active metabolite albendazole sulfoxide. Rilpivirine, emtricitabine and tenofovir alafenamide do not interact with this metabolic pathway. ",(See Summary)
