,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Saquinavir (SQV),Abacavir (ABC),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,"Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP2C9 or CYP2D6 enzymes at clinically relevant concentrations. Induction of hepatic metabolism has not been observed in clinical studies. Therefore, there is little potential for interactions with antiretroviral PIs.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018."
1,Saquinavir (SQV),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Saquinavir (SQV),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Saquinavir (SQV),Acenocoumarol,Potential Interaction,Very Low,Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. In vitro and in vivo data indicate that ritonavir is a modest inducer of CYP2C9. Saquinavir/ritonavir could potentially decrease acenocoumarol concentrations. Monitor INR.,(See Summary)
4,Saquinavir (SQV),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys, there is therefore little potential for interaction with saquinavir via modulation of, or competition for metabolic pathways.",(See Summary)
5,Saquinavir (SQV),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1.,(See Summary)
6,Saquinavir (SQV),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Saquinavir (SQV),Aclidinium bromide,No Interaction Expected,Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Saquinavir (SQV),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Saquinavir (SQV),Adefovir,No Interaction Expected,Moderate,"No data with saquinavir/ritonavir alone, but a clinically significant interaction is not expected. When saquinavir/ritonavir and delavirdine were coadministered with adefovir, saquinavir concentrations decreased by ~50% compared to values obtained with saquinavir/ritonavir and delavirdine alone. Further studies are required to confirm the exact nature and magnitude of the interaction between saquinavir/ritonavir and adefovir. ","LHPG Comment: Note, the results below were obtained with higher doses of ritonavir and in the presence of delavirdine. No significant clinically interaction is expected with boosting doses of ritonavir.ACTG 359 was a controlled study of SQV (soft gel) in combination with ritonavir (RTV) or nelfinavir (NFV) together with delavirdine (DLV), adefovir (ADV), or both. SQV was dosed at 400 mg q12h with 400 mg RTV or 800 mg q8h with 750 mg NFV. A pharmacology substudy obtained 12-hour AUCs in 42 subjects. In the RTV arms, SQV CL was 63.3% of the CL in the NFV arms, and F was 90% greater. The SQV half-life was 4.5 hours with RTV vs 2.8 hours with NFV. SQV CL was 49% faster in those arms containing ADV. No significant effect on SQV CL or F was noted for the presence/absence of DLV in the regimen. In conclusion, RTV produced a greater decrease in SQV CL than NFV. Interestingly, F was also greater in the RTV arms. These findings suggest differential inhibitory mechanisms of RTV vs. NFV on SQV CL and F. Overall, RTV caused a 3-fold increase in SQV exposure compared with NFV. ADV significantly decreased SQV half-life to 1.9 hours.Quantitation of Sex Differences and Drug Interactions: Pharmacologic Studies of Saquinavir (SQV) in ACTG 359. Brundage RC, Acosta E, Haubrich R, et al. 9th Conference on Retroviruses and Opportunistic Infections, Seattle, February 2002, abstract 799-W.A study was conducted with 38 participants split into six different groups A–F. Groups A and B received saquinavir and ritonavir plus delavirdine (A) or adefovir dipivoxil (B), group C received all four drugs. Groups D, E and F were as A, B and C but received nelfinavir instead of ritonavir. There was no difference on saquinavir concentrations when using nelfinavir or ritonavir, but saquinavir levels decreased by ~50% with delavirdine plus adefovir dipivoxil compared with delavirdine and saquinavir alone.Competing drug-drug interactions among multidrug antiretroviral regimens used in the treatment of HIV-infected subjects ACTG 884. Fletcher CV, Acosta EP, Cheng H, et al. AIDS, 2000, 14:2495–501."
10,Saquinavir (SQV),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs, there is little potential for interaction. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). There is therefore little potential for interaction with saquinavir via modulation of, or competition for metabolic or elimination pathways.",(See Summary)
11,Saquinavir (SQV),African Potato,No Interaction Expected,Very Low,"Coadministration has not been studied but based on the metabolic data there is little potential for pharmacokinetic interactions. African potato was shown to inhibit CYP3A4 and P-gp in vitro and to activate PXR suggesting that inhibition may occur initially followed by induction of CYP3A4 and P-gp when used for extended periods. However, coadministration of African potato with lopinavir/ritonavir in healthy volunteers did not result in significant pharmacokinetic changes suggesting that boosting by ritonavir could offset the inducing effect of African potato. Similarly, no significant effect is expected on the pharmacokinetics of saquinavir.",(See Summary)
12,Saquinavir (SQV),Agomelatine,Potential Interaction,Very Low,Coadministration has not been studied. Agomelatine is metabolised predominantly by CYP1A2 which is induced by ritonavir. Coadministration with saquinavir/ritonavir could potentially decrease agomelatine exposure. Monitor clinical effect and increase dosage if needed. ,(See Summary)
13,Saquinavir (SQV),Albendazole,Potential Interaction,Very Low,Coadministration has not been studied. In vitro studies have demonstrated that CYP3A4 and the flavine-containing monooxygenase system are involved in formation of the active metabolite albendazole sulfoxide. Short term (2 doses) coadministration with ritonavir (200 mg) did not impact albendazole pharmacokinetics whereas long-term coadministration (8 days) decreased albendazole exposure likely due to ritonavir inducing effect. Saquinavir/ritonavir is unlikely to significantly affect albendazole exposure when used for a short duration treatment but may reduce the clinical effect of albendazole when used for a long duration treatment.,"In a sequential pharmacokinetic study, healthy male volunteers (n=8) were administered a single oral dose of 400 mg albendazole, in absence and after short-term (2 doses) and long-term (8 days) treatment with ritonavir 200 mg twice daily. Pharmacokinetic parameters of albendazole and  its metabolite albendazole sulfoxide, were not changed by short-term administration of ritonavir. However long-term administration resulted in significant changes in albendazole disposition, with a significant decrease in albendazole and albendazole sulfoxide AUC0-24 (73% and 59% respectively) and Cmax (74% and 48% respectively). Tmax and the terminal half-life were not significantly changed. The observation is most likely due to a ritonavir-mediated induction of metabolising enzymes (CYP2C9, CYP1A2, UGTs) or transporters, although changes in absorption are also possible. These findings need to be replicated with a key boosted PI such as lopinavir/ritonavir. Effect of ritonavir on the pharmacokinetics of the benzimidazoles albendazole and mebendazole: an interaction study in healthy volunteers. Corti N, Heck A, Rentsch K, et al.Eur J Clin Pharmacol. 2009;65:999-1006."
