,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Stavudine (d4T),Abacavir (ABC),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,(See Summary)
1,Stavudine (d4T),Acamprosate,Potential Weak Interaction,Very Low,"Coadministration has not been studied. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs). Stavudine (a substrate of OAT1) and acamprosate may compete for tubular secretion, which could lead to increased levels of either drug. The clinical relevance of this interaction is unknown.",(See Summary)
2,Stavudine (d4T),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Stavudine (d4T),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is mainly metabolized by CYP2C9.,(See Summary)
4,Stavudine (d4T),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown that acetazolamide may competitively inhibit the renal transporters OAT1, OAT3 and OAT4. However, a clinically relevant interaction is unlikely in the range of observed clinical concentrations.",(See Summary)
5,Stavudine (d4T),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied. Aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. A clinically relevant interaction is unlikely in the range of observed clinical concentrations.,(See Summary)
6,Stavudine (d4T),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Stavudine (d4T),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Stavudine (d4T),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Stavudine (d4T),Adefovir,Potential Interaction,Very Low,"Coadministration has not been studied. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. A pharmacokinetic interaction is unlikely in the range of observed clinical concentrations. However, as adefovir is nephrotoxic, renal function should be monitored and stavudine dosage adjusted accordingly.",(See Summary)
10,Stavudine (d4T),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs, there is little potential for interaction. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). There is therefore little potential for interaction with stavudine via modulation of, or competition for metabolic or elimination pathways.",(See Summary)
11,Stavudine (d4T),African Potato,No Interaction Expected,Very Low,Coadministration has not been studied but based on the metabolic data there is little potential for pharmacokinetic interactions.,(See Summary)
12,Stavudine (d4T),Agomelatine,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly by CYP1A2.",(See Summary)
13,Stavudine (d4T),Albendazole,No Interaction Expected,Very Low,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. Albendazole is metabolized by CYP3A4 and by the flavine-containing monooxygenase system. There is little potential for interaction via competition with stavudine for renal elimination pathways.",(See Summary)
14,Stavudine (d4T),Albuvirtide,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Stavudine is mostly eliminated renally. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.",(See Summary)
15,Stavudine (d4T),Alcohol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alcohol is metabolized by alcohol dehydrogenase and aldehyde dehydrogenase. ,(See Summary)
16,Stavudine (d4T),Alcuronium,Potential Weak Interaction,Very Low,"This Interaction has not been studied. Alcuronium is predominantly excreted unchanged via the kidneys. As there are no available data determining whether excretion is via active tubular secretion or glomerular filtration, there is some potential for competition with stavudine for active renal transport mechanisms, which may lead to increased levels of either drug.",(See Summary)
17,Stavudine (d4T),Alendronic Acid,No Interaction Expected,Very Low,"If taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
18,Stavudine (d4T),Alfentanil,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfentanil undergoes extensive CYP3A4 metabolism. ,(See Summary)
19,Stavudine (d4T),Alfuzosin,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolized mainly by CYP3A4.,(See Summary)
20,Stavudine (d4T),Aliskiren,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. P-glycoprotein is a major determinant of aliskiren bioavailability.,(See Summary)
21,Stavudine (d4T),Allopurinol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. ,(See Summary)
22,Stavudine (d4T),Almotriptan,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Almotriptan is partly eliminated unchanged in the urine and partly metabolized (mainly via monoamine oxidase-A and to a lesser extent by CYP3A4, CYP2D6 and flavin monooxygenase).",(See Summary)
23,Stavudine (d4T),Aloe vera,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Aloe vera is only a weak inhibitor of CYPs in vitro and therefore is unlikely to cause clinically significant interactions. It does not inhibit P-gp and there is no evidence to suggest it impacts UGTs.",(See Summary)
24,Stavudine (d4T),Alosetron,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYPs 2C9, 3A4 and 1A2, with in vivo data suggesting that CYP1A2 plays a more prominent role.",(See Summary)
25,Stavudine (d4T),Alprazolam,No Interaction Expected,Very Low,Coadministration has not been studied but based on  metabolism and clearance a clinically significant interaction is unlikely as alprazolam is metabolized mainly by CYP3A4.,(See Summary)
26,Stavudine (d4T),Amantadine,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amantadine is mainly eliminated renally by glomerular filtration and active secretion. A bicarbonate dependent organic cation transporter has been identified as the major uptake transporter of amantadine in the renal proximal tubule.,(See Summary)
27,Stavudine (d4T),Ambrisentan,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is mainly glucuronidated by UGT1A9, UGT2B7, UGT1A3 and is metabolized to a lesser extent by CYP3A4. Ambrisentan is also a substrate of P-gp and OATP1B1. Stavudine does not interfere with ambrisentan metabolism.",(See Summary)
28,Stavudine (d4T),Amikacin,Potential Interaction,Very Low,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely as amikacin is eliminated renally by glomerular filtration. However as amikacin is nephrotoxic, renal function should be monitored and stavudine dosage adjusted accordingly.",(See Summary)
29,Stavudine (d4T),Amiloride,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amiloride is eliminated unchanged by the kidney. In vitro data indicate that amiloride is a substrate of OCT2 and an interaction is unlikely as stavudine is eliminated by other renal transporters.,(See Summary)
30,Stavudine (d4T),Aminophylline,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aminophylline is a complex of theophylline and ethylenediamine and is given for its theophylline activity. Theophylline is mainly metabolized by CYP1A2.,(See Summary)
31,Stavudine (d4T),Amiodarone,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amiodarone is metabolized by CYP3A4. ,(See Summary)
