,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Tenofovir-DF (TDF),Abacavir (ABC),No Interaction Expected,Very Low,"Coadministration of tenofovir-DF (300 mg once daily) and abacavir (300 mg single dose) had no effect on tenofovir AUC or Cmax, and abacavir AUC; abacavir Cmax increased by 12%. A high rate of virological failure and emergence of resistance have been reported when lamivudine was combined with tenofovir-DF and abacavir as a once daily regimen.","There have been reports of a high rate of virological failure and of emergence of resistance at an early stage when abacavir was combined with tenofovir disoproxil fumarate and lamivudine as a once daily regimen. Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.Triple NRTI Therapy:There have been reports of a high rate of virological failure and of emergence of resistance at early stage when tenofovir disoproxil fumarate was combined with lamivudine and abacavir as well as with lamivudine and didanosine as a once daily regimen. Viread Summary of Product Characteristics, Gilead Sciences Ltd, September 2016.Coadministration of tenofovir-DF (300 mg once daily) and abacavir (300 mg single dose) was studied in 8 HIV-negative subjects. There was no change in the pharmacokinetic parameters of tenofovir; abacavir AUC was unaltered and Cmax increased by 12%. Viread Prescribing Information, Gilead Sciences International Inc, February 2016.The plasma and intracellular pharmacokinetic interaction between tenofovir and abacavir, lamivudine or lopinavir was investigated in HIV+ subjects receiving TDF + 3TC/LPV (n=7), TDF + 3TC/NVP (n=8), TDF + ABC/LPV (n=7) or TDF + ABC/NVP (n=5). Between group comparisons showed no significant interaction between tenofovir and abacavir or lamivudine. A pharmacokinetic study in HIV infected patients under tenofovir fumarate: investigation of systemic and intracellular interaction between TDF and abacavir, or lamivudine or lopinavir/ritonavir. Pruvost A, et al. 8th International Workshop on Clinical Pharmacology of HIV Therapy, Budapest, April 2007, abstract 56.The effect of stopping tenofovir on the intracellular pharmacokinetics of abacavir was studied in 8 HIV-infected subjects initially receiving abacavir and tenofovir with lamivudine or stavudine. Intracellular levels of carbovir-triphosphate did not demonstrate evidence of substantial changes over time after discontinuation of abacavir. Median CBV-TP concentrations prior to and 1 month after discontinuation were 157 and 120 fmol/10^6 cells, respectively. Intracellular pharmacokinetics of tenofovir disphosphate, carbovir triphosphate and lamivudine triphosphate in patients receiving triple-nucleoside regimens. Hawkins T, et al. J Acquir Immune Defic Syndr, 2005, 39: 406-411."
1,Tenofovir-DF (TDF),Acamprosate,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs). Given the potential limited role of OCT or OAT in acamprosate’s elimination and considering the therapeutic index of acamprosate, no clinically relevant interaction with tenofovir is anticipated.",(See Summary)
2,Tenofovir-DF (TDF),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Tenofovir-DF (TDF),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is mainly metabolized by CYP2C9.,(See Summary)
4,Tenofovir-DF (TDF),Acetazolamide,Potential Interaction,Very Low,"Coadministration has not been studied. Acetazolamide is predominantly excreted unchanged via active renal tubular secretion. In vitro studies have shown acetazolamide may competitively inhibit renal transporters OAT1, OAT3 and OAT4. Tenofovir is mainly eliminated by OAT1 (and to a lesser extent by OAT3) and concentrations of tenofovir may increase. Close monitoring of renal function is recommended.",(See Summary)
5,Tenofovir-DF (TDF),Aciclovir (Acyclovir),Potential Interaction,Very Low,Coadministration has not been studied but may increase concentrations of both drugs due to reduced renal function or competition for active tubular secretion.,"Since tenofovir-DF is primarily eliminated by the kidneys, coadministration of tenofovir-DF with drugs that reduce renal function or compete for active tubular secretion may increase serum concentrations of tenofovir and/or increase the concentrations of other renally eliminated drugs. Some example include, but are not limited to cidofovir, aciclovir, valaciclovir, ganciclovir and valganciclovir. Viread Prescribing Information, Gilead Sciences International Inc, February 2016."
6,Tenofovir-DF (TDF),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Tenofovir-DF (TDF),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Tenofovir-DF (TDF),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Tenofovir-DF (TDF),Adefovir,Do Not Coadminister,Moderate,Tenofovir-DF and adefovir dipivoxil should not be coadministered.,"Tenofovir-DF should not be administered concurrently with adefovir dipivoxil. Viread Summary of Product Characteristics, Gilead Sciences Ltd, September 2016.Tenofovir-DF should not be administered in combination with adefovir dipivoxil. Viread Prescribing Information, Gilead Sciences International Inc, February 2016.The pharmacokinetics of adefovir were evaluate in 22 subjects following administration of single doses of adefovir alone and with multiple doses of tenofovir-DF. Adefovir exposure met the definition of pharmacokinetic equivalence (90% CI for the geometric mean ratio of 80% to 125%) when dosed with or without tenofovir. Mean differences in Cmax and AUC were 7% or less. Tenofovir pharmacokinetics in hepatic impairment and drug interaction potential with agents used to treat viral hepatitis. Kearney BP, et al. 11th Conference on Retroviruses and Opportunistic Infections, San Francisco, February 2004, abstract 600. "
