,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Tipranavir (TPV),Abacavir (ABC),Do Not Coadminister,Moderate,Coadministration of tipranavir/ritonavir decreased abacavir exposure by ~40%. The clinical relevance of the reduction in abacavir levels has not been established. Coadministration is not recommended unless there are no other available NRTIs suitable for patient management. In such cases no dosage adjustment of abacavir can be recommended.,"Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP2C9 or CYP2D6 enzymes at clinically relevant concentrations. Induction of hepatic metabolism has not been observed in clinical studies. Therefore, there is little potential for interactions with antiretroviral PIs.Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.Coadministration of abacavir (300 mg twice daily) and tipranavir/ritonavir (750/100 mg twice daily) decreased abacavir Cmax and AUC by 46% and 36%. The clinical relevance of this reduction has not been established, but may decrease the efficacy of abacavir. The concomitant use of tipranavir, co-administered with low dose ritonavir, with abacavir is not recommended unless there are no other available NRTIs suitable for patient management. In such cases no dosage adjustment of abacavir can be recommended.Aptivus Summary of Product Characteristics, Boehringer Ingelheim International GmbH, December 2011.The pharmacokinetics of abacavir (300 mg bd) were studied in HIV+ subjects when coadministered with tipranavir/ritonavir (250/200 mg bd, n=28; 750/100 mg bd, n=14; 1250/100 bd, n=11). Abacavir Cmax and Cmin decreased by 44% with tipranavir/ritonavir 250/200 mg, decreased by 46% and 36% with tipranavir/ritonavir 750/100 mg and decreased by 52% and 35% with tipranavir/ritonavir 1250/100 mg. The clinical relevance of the ~40% reduction in abacavir levels not established. Dose adjustment of abacavir cannot be recommended at this time.Aptivus Prescribing Information, Boehringer Ingelheim, April 2012.The addition of tipranavir/ritonavir (1250/100 mg, n=11; 750/100 mg, n=14; 250/100 mg, n=28) was studied in HIV+ subjects on stable HAART regimens containing abacavir. Reductions in abacavir AUC were observed; however, the clinical significance of these findings is unclear. Pharmacokinetic drug interaction screen of three doses of tipranavir/ritonavir in HIV-infected patients on stable highly active antiretroviral therapy. Goebel FD, Sabo JP, MacGregor TR, et al. HIV DART, Naples (Florida), December 2002."
1,Tipranavir (TPV),Acamprosate,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine.,(See Summary)
2,Tipranavir (TPV),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Tipranavir (TPV),Acenocoumarol,Potential Interaction,Very Low,Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. In vitro and in vivo data indicate that ritonavir is a modest inducer of CYP2C9. Tipranavir/ritonavir could potentially decrease acenocoumarol concentrations. Monitor INR.,(See Summary)
4,Tipranavir (TPV),Acetazolamide,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is primarily excreted unchanged via the kidneys, there is therefore little potential for interaction with tipranavir via modulation of, or competition for metabolic pathways.",(See Summary)
5,Tipranavir (TPV),Aciclovir (Acyclovir),No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aciclovir is eliminated renally via glomerular filtration and active renal secretion by OAT1.,(See Summary)
6,Tipranavir (TPV),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Tipranavir (TPV),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Tipranavir (TPV),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Tipranavir (TPV),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. ,(See Summary)
