,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Zidovudine (AZT/ZDV),Abacavir (ABC),No Interaction Expected,Low,Clinical studies have shown no clinically significant interactions between abacavir and zidovudine.,"Clinical studies have shown that there are no clinically significant interactions between abacavir, zidovudine, and lamivudine. Ziagen Summary of Product Characteristics, ViiV Healthcare UK Ltd, December 2018.Fifteen HIV-infected patients were enrolled in a crossover-designed drug interaction trial evaluating single doses of abacavir (600 mg), lamivudine (150 mg), and zidovudine (300 mg) alone or in combination. Analysis showed no clinically relevant changes in the pharmacokinetics of abacavir with the addition of lamivudine or zidovudine or the combination of lamivudine and zidovudine. Lamivudine exposure (AUC decreased 15%) and zidovudine exposure (AUC increased 10%) did not show clinically relevant changes with concurrent abacavir. Ziagen Prescribing Information, ViiV Healthcare, June 2019.Multiple dose pharmacokinetics were determined in HIV-infected subjects following coadministration of abacavir (200, 400 or 600 mg three times daily or 300 mg twice daily) alone or with zidovudine (200 mg three times daily or 300 mg twice daily). Coadministration of zidovudine had only small and inconsistent effects on the steady state pharmacokinetics of abacavir that did not increase with dose. At the clinical abacavir dose (300 mg twice daily), zidovudine coadministration had no effect on abacavir AUC. The pharmacokinetic profiles of zidovudine in the absence of abacavir were not determined; however, mean AUC and Cmax values for zidovudine in the presence of abacavir were comparable to historical steady state values. Multiple-dose pharmacokinetics and pharmacodynamics of abacavir alone and in combination with zidovudine in human immunodeficiency virus-infected adults. McDowell JA, et al. Antimicrob Agents Chemother, 2000, 44:2061-2067. The pharmacokinetics and safety of single doses of abacavir (600 mg), zidovudine (300 mg) and lamivudine (150 mg) were evaluated when given alone or with either or both of the other drugs to 13 HIV-infected subjects. Coadministration of abacavir with zidovudine (with or without lamivudine) decreased ZDV Cmax by ~20%, delayed ZDV Tmax by 0.5h and increased AUC of zidovudine glucuronide by up to 40%. There were no differences in the pharmacokinetics of abacavir when given alone, or with zidovudine or lamivudine, or with both zidovudine and lamivudine. Single dose pharmacokinetics and safety of abacavir (1592U98), zidovudine, and lamivudine administered alone and in combination in adults with human immunodeficiency virus infection. Wang LH, et al. Antimicrob Agents Chemother, 1999, 43: 1708-1715. "
1,Zidovudine (AZT/ZDV),Acamprosate,Potential Weak Interaction,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acamprosate is eliminated unchanged in the urine both via glomerular filtration and active secretion (exact transporter unknown, possibly OATs or OCTs). Zidovudine and acamprosate may compete for tubular secretion, which could lead to increased levels of either drug. The clinical relevance of this interaction is unknown.",(See Summary)
2,Zidovudine (AZT/ZDV),Acarbose,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora.",(See Summary)
3,Zidovudine (AZT/ZDV),Acenocoumarol,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is mainly metabolized by CYP2C9.,(See Summary)
4,Zidovudine (AZT/ZDV),Acetazolamide,Potential Interaction,Very Low,"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. However, agranulocytosis, thrombocytopenia, leukopenia, and aplastic anaemia, bone marrow depression, pancytopenia have been reported with acetazolamide therapy. Anaemia, neutropenia and leucopenia can be expected to occur in patients receiving zidovudine. If concomitant treatment with potentially myelosuppressive drugs is necessary then extra care should be taken in monitoring renal function and haematological parameters.",(See Summary)
5,Zidovudine (AZT/ZDV),Aciclovir (Acyclovir),No Interaction Expected,Low,No significant interaction was observed when zidovudine (500 mg/day) and aciclovir were coadministered to 20 HIV-infected subjects.,"Limited data from clinical trials do not indicate a significantly increased risk of adverse reactions to zidovudine with cotrimoxazole, aerosolised pentamidine, pyrimethamine and aciclovir at doses used in prophylaxis. Retrovir Summary of Product Characteristics, ViiV Healthcare UK, Ltd, December 2018.Pharmacokinetic analysis showed no drug interaction when zidovudine (500 mg/day) and aciclovir (2 or 4 g/day) were coadministered to 20 HIV-infected subjects. Phase I study of low-dose zidovudine and acyclovir in asymptomatic human immunodeficiency virus seropositive individuals. Hollander H, et al. Am J Med, 1989, 87: 628-632. "
6,Zidovudine (AZT/ZDV),Acitretin,No Interaction Expected,Very Low,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acitretin undergoes isomerisation and glucuronidation.",(See Summary)
7,Zidovudine (AZT/ZDV),Aclidinium bromide,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aclidinium bromide is rapidly and extensively hydrolyzed (non-enzymatic and enzymatic transformation by esterases and butylrylcholineesterases) to its pharmacologically inactive metabolites with only a minor role for CYP metabolism.,(See Summary)
8,Zidovudine (AZT/ZDV),Adalimumab,No Interaction Expected,Very Low,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Adalimumab is a monoclonal IgG antibody. Elimination is similar to endogenous IgG and occurs primarily via proteolytic catabolism throughout the body.,(See Summary)
9,Zidovudine (AZT/ZDV),Adefovir,No Interaction Expected,Very Low,Coadministration has not been studied. Adefovir is eliminated renally via glomerular filtration and active renal secretion by OAT1. A pharmacokinetic interaction is unlikely in the range of observed clinical concentrations. ,(See Summary)
10,Zidovudine (AZT/ZDV),Adrenaline (Epinephrine),No Interaction Expected,Very Low,"This interaction has not been studied. Based on the metabolism/elimination and toxicity profiles of both drugs, there is little potential for interaction. Adrenaline is rapidly inactivated, mostly in the liver by catechol-O-methyltransferase (COMT) and monoamine oxidase (MAO). There is therefore little potential for interaction with zidovudine via modulation of, or competition for metabolic or elimination pathways.",(See Summary)
