NDF-RT Code	NDF-RT Name
N0000020025	14-alpha Demethylase Inhibitors
N0000000126	5-alpha Reductase Inhibitors
N0000175955	5-Lipoxygenase Inhibitors
N0000000183	Acetyl Aldehyde Dehydrogenase Inhibitors
N0000175770	Acetylcholine Release Inhibitors
N0000009955	Acetylcholine Transporter Interactions
N0000000226	Acid-Base Activity
N0000175833	Acidifying Activity
N0000000187	Adenosine Deaminase Inhibitors
N0000010334	Adenosine Diphosphate Receptor Inhibitors
N0000175788	Adenosine Receptor Agonists
N0000175789	Adenosine Receptor Antagonists
N0000175787	Adenosine Receptor Interactions
N0000175921	Adrenal Steroid Synthesis Inhibitors
N0000000122	Adrenergic Agonists
N0000000209	Adrenergic alpha-Agonists
N0000000099	Adrenergic alpha-Antagonists
N0000009917	Adrenergic alpha1-Agonists
N0000009919	Adrenergic alpha1-Antagonists
N0000009918	Adrenergic alpha2-Agonists
N0000009920	Adrenergic alpha2-Antagonists
N0000000092	Adrenergic Antagonists
N0000000245	Adrenergic beta-Agonists
N0000000161	Adrenergic beta-Antagonists
N0000009921	Adrenergic beta1-Agonists
N0000009923	Adrenergic beta1-Antagonists
N0000009922	Adrenergic beta2-Agonists
N0000009924	Adrenergic beta2-Antagonists
N0000185007	Adrenergic beta3-Agonists
N0000000153	Adrenergic Receptor Interactions
N0000000179	Alcohol Dehydrogenase Inhibitors
N0000011310	Aldosterone Antagonists
N0000009986	Alkalinizing Activity
N0000000236	Alkylating Activity
N0000000166	alpha Glucosidase Inhibitors
N0000187052	alpha-Particle Emitting Activity
N0000175806	Ammonium Ion Binding Activity
N0000020016	AMPA Receptor Antagonists
N0000010274	Amylase Inhibitors
N0000020064	Amylin Agonists
N0000000146	Androgen Receptor Agonists
N0000000243	Androgen Receptor Antagonists
N0000175925	Androgen Synthesis Inhibitors
N0000000070	Angiotensin 2 Receptor Antagonists
N0000180999	Angiotensin 2 Type 1 Receptor Antagonists
N0000000181	Angiotensin-converting Enzyme Inhibitors
N0000188371	Anion Transporter Interactions
N0000192702	Anthrax Protective Antigen-directed Antibody Interactions
N0000010226	Antibody Interactions
N0000175985	Antibody-Antibody Interactions
N0000009949	Antibody-Receptor Interactions
N0000191501	Antibody-Soluble Antigen Interactions
