NDF-RT Code	NDF-RT Name
N0000008290	Acetylcholine Activity Alteration
N0000183363	Acquired Immunity
N0000183364	Actively Acquired Immunity
N0000008291	Adrenal Cortical Activity Alteration
N0000008292	Adrenal Medullary Activity Alteration
N0000008293	Alveolar Surface Tension Alteration
N0000008294	Alveolar Surface Tension Reduction
N0000175439	Analgesia
N0000008295	Antacid
N0000008296	Antiperspirant Activity
N0000008297	Antipruritic Activity
N0000175371	Appetite Alteration
N0000175373	Appetite Stimulation
N0000175372	Appetite Suppression
N0000008298	Arterial Vasoconstriction
N0000008299	Arterial Vasodilation
N0000175395	Arteriolar Vasoconstriction
N0000175379	Arteriolar Vasodilation
N0000008300	Aspartate Activity Alteration
N0000008301	Astringent Activity
N0000008302	Atrial Depolarization
N0000008303	Atrial Repolarization
N0000175643	Autonomic Ganglionic Activity Alteration
N0000175642	Autonomic Nervous System Activity Alteration
N0000008304	Bile Secretion Alteration
N0000020055	Bile Secretion Composition Alteration
N0000020054	Bile Secretion Volume Alteration
N0000008305	Bladder Contractility Alteration
N0000008306	Bladder Sphincter Tone Alteration
N0000008307	Blood & Lymphatic Fluid Function Alteration
N0000178476	Blood Pressure Alteration
N0000008308	Bone Alteration
N0000008309	Bone Formation Alteration
N0000008310	Bone Formation Inhibition
N0000008311	Bone Formation Stimulation
N0000008312	Bone Resorption Alteration
N0000008313	Bone Resorption Inhibition
N0000008314	Bone Resorption Stimulation
N0000008315	Brain Derived Neurotropic Factor Activity Alteration
N0000008316	Breast Function Alteration
N0000008317	Breast Glandular Development Alteration
N0000008318	Breast Milk Ejection
N0000008319	Breast Milk Secretion
N0000008320	Bronchial Smooth Muscle Tone Alteration
N0000008321	Bronchoconstriction
N0000008322	Bronchodilation
N0000008327	Carbohydrate Metabolism Alteration
N0000008328	Cardiac Contractility Alteration
N0000008329	Cardiac Rate Alteration
N0000008330	Cardiac Rhythm Alteration
N0000008331	Cardiovascular Activity Alteration
N0000008332	Cariostatic Activity
N0000008323	CCK Activity Alteration
N0000008333	Cell Glucose Transport Alteration
N0000008334	Cell Membrane Alteration
N0000008335	Cell Organelle Alteration
N0000008336	Cell Wall Alteration
N0000184306	Cell-mediated Immunity
N0000008337	Cellular Activity Alteration
N0000008338	Cellular Communication Alteration
N0000008339	Cellular Cycle Alteration
N0000008340	Cellular Death Alteration
N0000008341	Cellular Degradation/Digestion Alteration
N0000008342	Cellular Division Phase Alteration
N0000008343	Cellular Growth Phase Alteration
N0000008344	Cellular Growth Phase Arrest
N0000020013	Cellular Growth Phase Reduction
N0000008345	Cellular Motion Alteration
N0000175672	Cellular Proliferation Alteration
N0000008346	Cellular Structure Alteration
N0000008347	Cellular Synthetic Activity Alteration
N0000008348	Cellular Synthetic Phase Alteration
N0000008349	Cellular Synthetic Phase Arrest
N0000008350	Cellular Transport Alteration
