NDF-RT Code	NDF-RT Name
N0000179006	(1-6)-alpha-glucomannan
N0000166498	(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium Chloride
N0000166926	(R)-2,3,4,5-Tetrahydro-8-chloro-3-methyl-5-phenyl-1H-3-benzazepin-7-ol
N0000179007	1 alpha-hydroxyergocalciferol
N0000179008	1,1,1-trichloroethane
N0000179009	1,2-diacylglycerol
N0000178584	1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt
N0000166560	1,2-Dimethylhydrazine
N0000007747	1,2-Dipalmitoylphosphatidylcholine
N0000179011	1,3-dimethylol-5,5-dimethylhydantoin
N0000168345	1,4-alpha-Glucan Branching Enzyme
N0000167120	1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine
N0000168130	1-Acylglycerol-3-Phosphate O-Acyltransferase
N0000168157	1-Acylglycerophosphocholine O-Acyltransferase
N0000167633	1-Alkyl-2-acetylglycerophosphocholine Esterase
N0000168650	1-Butanol
N0000170281	1-Carboxyglutamic Acid
N0000167204	1-Deoxynojirimycin
N0000166987	1-Methyl-3-isobutylxanthine
N0000167234	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine
N0000167230	1-Methyl-4-phenylpyridinium
N0000007745	1-Naphthylamine
N0000167379	1-Naphthylisothiocyanate
N0000168644	1-Octanol
N0000168242	1-Phosphatidylinositol 4-Kinase
N0000166835	1-Propanol
N0000167886	1-Pyrroline-5-Carboxylate Dehydrogenase
N0000171048	1-Sarcosine-8-Isoleucine Angiotensin II
N0000167982	11-beta-Hydroxysteroid Dehydrogenase Type 1
N0000167981	11-beta-Hydroxysteroid Dehydrogenase Type 2
N0000167980	11-beta-Hydroxysteroid Dehydrogenases
N0000011376	11-Hydroxycorticosteroids
N0000168586	12-Hydroxy-5,8,10,14-eicosatetraenoic Acid
N0000170428	14-3-3 Proteins
N0000171030	15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid
N0000167928	15-Oxoprostaglandin 13-Reductase
N0000171021	16,16-Dimethylprostaglandin E2
N0000179012	17-alpha-hydroxy-progesterone caproate
N0000167507	17-alpha-Hydroxypregnenolone
N0000167502	17-alpha-Hydroxyprogesterone
N0000011307	17-Hydroxycorticosteroids
N0000167990	17-Hydroxysteroid Dehydrogenases
N0000007748	17-Ketosteroids
N0000167498	18-Hydroxycorticosterone
N0000167499	18-Hydroxydesoxycorticosterone
N0000167436	19-Iodocholesterol
N0000185634	2',3'-Cyclic Nucleotide 3'-Phosphodiesterase
N0000167620	2',3'-Cyclic-Nucleotide Phosphodiesterases
N0000168277	2',5'-Oligoadenylate Synthetase
N0000167243	2,2'-Dipyridyl
N0000166927	2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine
N0000168482	2,3-Diketogulonic Acid
N0000168492	2,3-Diphosphoglycerate
N0000166684	2,4,5-Trichlorophenoxyacetic Acid
N0000166680	2,4-Dichlorophenoxyacetic Acid
N0000166601	2,4-Dinitrophenol
N0000166525	2,5-Dimethoxy-4-Methylamphetamine
N0000166618	2,6-Dichloroindophenol
N0000168115	2-Acetolactate Mutase
N0000167342	2-Acetylaminofluorene
N0000179013	2-amino-2-methyl-1-propanol
N0000170278	2-Amino-5-phosphonovalerate
N0000168392	2-Aminoadipate Transaminase
N0000170288	2-Aminoadipic Acid
N0000007749	2-Aminopurine
N0000179531	2-Bromoergocryptine Mesylate
N0000007635	2-Chloroadenosine
N0000179486	2-ethylhexyl salicylate
N0000166603	2-Hydroxy-5-nitrobenzyl Bromide
N0000166806	2-Hydroxyphenethylamine
N0000168131	2-Isopropylmalate Synthase
N0000166683	2-Methyl-4-chlorophenoxyacetic Acid
N0000179015	2-methyl-4-isothiazolin-3-one
N0000167383	2-Naphthylamine
N0000167913	2-Oxoisovalerate Dehydrogenase (Acylating)
N0000005909	2-Propanol
N0000175098	2-Pyridinylmethylsulfinylbenzimidazoles
N0000167505	20-alpha-Dihydroprogesterone
N0000167989	20-alpha-Hydroxysteroid Dehydrogenase
