,NDFRT,CUI
0,"N0000147688
","
C0000946
"
1,"N0000147701
","
C0002598
"
2,"N0000145918
","
C0004057
"
3,"N0000146784
","
C0004147
"
4,"N0000146247
","
C0002144
"
5,"N0000146226
","
C0006949
"
6,"N0000147523
","
C0007299
"
7,"N0000147147
","
C0008783
"
8,"N0000146397
","
C0002575
"
9,"N0000147503
","
C0008809
"
10,"N0000146804
","
C0009002
"
11,"N0000147064
","
C0010592
"
12,"N0000147198
","
C0304520
"
13,"N0000146816
","
C0012772
"
14,"N0000145975
","
C0014806
"
15,"N0000146143
","
C0022154
"
16,"N0000147825
","
C0013030
"
17,"N0000147478
","
C0014479
"
18,"N0000146188
","
C0016860
"
19,"N0000147698
","
C0002499
"
20,"N0000146155
","
C0006376
"
21,"N0000146283
","
C0014963
"
22,"N0000145927
","
C0002680
"
23,"N0000147746
","
C0006976
"
24,"N0000147856
","
C3854019
"
25,"N0000147926
","
C0025893
"
26,"N0000147981
","
C0031955
"
27,"N0000148033
","
C0040193
"
28,"N0000145995
","
C0020261
"
29,"N0000145992
","
C0004975
"
30,"N0000146743
","
C0053245
"
31,"N0000146099
","
C0008273
"
32,"N0000146240
","
C0008294
"
33,"N0000145889
","
C0056831
"
34,"N0000146480
","
C0020273
"
35,"N0000147050
","
C0021186
"
36,"N0000147892
","
C0023870
"
37,"N0000147924
","
C0025859
"
38,"N0000145983
","
C0027302
"
39,"N0000147962
","
C0030557
"
40,"N0000147902
","
C0025376
"
41,"N0000147964
","
C0030812
"
42,"N0000146838
","
C0030883
"
43,"N0000147971
","
C0031392
"
44,"N0000145810
","
C0031412
"
45,"N0000145890
","
C0022209
"
46,"N0000147063
","
C0031937
"
47,"N0000146807
","
C0033148
"
48,"N0000148001
","
C0033497
"
49,"N0000146932
","
C0035608
"
50,"N0000148034
","
C0040233
"
51,"N0000146204
","
C0031469
"
52,"N0000147250
","
C0036516
"
53,"N0000147978
","
C0031495
"
54,"N0000146887
","
C0033798
"
55,"N0000147943
","
C0027780
"
56,"N0000147713
","
C0004234
"
57,"N0000147209
","
C0016972
"
58,"N0000147959
","
C0030310
"
59,"N0000146911
","
C0040341
"
60,"N0000145994
","
C0006938
"
61,"N0000147835
","
C0014025
"
62,"N0000146243
","
C0021246
"
63,"N0000147537
","
C0065374
"
64,"N0000147699
","
C0002502
"
65,"N0000146194
","
C0025872
"
66,"N0000146718
","
C0031463
"
67,"N0000147806
","
C0012091
"
68,"N0000148037
","
C0040377
"
69,"N0000146197
","
C0020740
"
70,"N0000146307
","
C0038792
"
71,"N0000147149
","
C0027396
"
72,"N0000146405
","
C0022635
"
73,"N0000146939
","
C0031990
"
74,"N0000147399
","
C0016377
"
75,"N0000146211
","
C0031507
"
76,"N0000145820
","
C0033511
"
77,"N0000147089
","
C0038742
"
78,"N0000146129
","
C0038745
"
79,"N0000146102
","
C0038689
"
80,"N0000146377
","
C0014563
"
81,"N0000147876
","
C0021641
"
82,"N0000147114
","
C0008402
"
83,"N0000147916
","
C0025677
"
84,"N0000146533
","
C0008168
"
85,"N0000146417
","
C0017628
"
86,"N0000146830
","
C0017642
"
87,"N0000145888
","
C0000992
"
88,"N0000146198
","
C0008287
"
89,"N0000146920
","
C0002371
"
90,"N0000147636
","
C0051519
"
91,"N0000147696
","
C0301464
"
92,"N0000146023
","
C0006681
"
93,"N0000146067
","
C0024476
"
94,"N0000146020
","
C0024477
"
95,"N0000147685
","
C0065512
"
96,"N0000146526
","
C0074722
"
97,"N0000146011
","
C0065517
"
98,"N0000146109
","
C0013090
"
99,"N0000147705
","
C0002658
"
100,"N0000148062
","
C0011812
"
101,"N0000147910
","
C0025611
"
102,"N0000146184
","
C0079691
"
103,"N0000146347
","
C0546882
"
104,"N0000147158
","
C0040123
"
105,"N0000145808
","
C0040134
"
106,"N0000147121
","
C0073983
"
107,"N0000147273
","
C0037549
"
108,"N0000147287
","
C0304347
"
109,"N0000146760
","
C0055573
"
110,"N0000146451
","
C0126789
"
111,"N0000146300
","
C0012228
"
112,"N0000147846
","
C0015837
"
113,"N0000147340
","
C0025041
"
114,"N0000147343
","
C0025152
"
115,"N0000147659
","
C0059865
"
116,"N0000147252
","
C0053792
"
117,"N0000147108
","
C0051919
"
118,"N0000147021
","
C0005640
"
119,"N0000147341
","
C0005640
"
120,"N0000145902
","
C0137984
"
121,"N0000145903
","
C0071751
"
122,"N0000145835
","
C0032825
"
123,"N0000145904
","
C0137996
"
124,"N0000146450
","
C0301527
"
125,"N0000146952
","
C0017245
"
126,"N0000148247
","
C0118168
"
127,"N0000148336
","
C0053091
"
128,"N0000147662
","
C0072973
"
129,"N0000148256
","
C0072857
"
130,"N0000147630
","
C0064326
"
131,"N0000148161
","
C0068334
"
