"","Drug1","Drug2","Source","Object","Precipitant"
"1","DB00500","DB00866","ONC-NonInteruptive","Tolmetin","Alprenolol"
"2","DB00884","DB00258","ONC-NonInteruptive","Risedronate","Calcium Acetate"
"3","DB01583","DB01095","ONC-NonInteruptive","Liotrix","Fluvastatin"
"4","DB00448","DB08933","ONC-NonInteruptive","Lansoprazole","LULICONAZOLE"
"5","DB00436","DB01399","ONC-NonInteruptive","Bendroflumethiazide","Salsalate"
"6","DB01021","DB00580","ONC-NonInteruptive","Trichlormethiazide","Valdecoxib"
"7","DB06228","DB00316","ONC-NonInteruptive","Rivaroxaban","Acetaminophen"
"8","DB00605","DB00866","ONC-NonInteruptive","Sulindac","Alprenolol"
"9","DB00605","DB00335","ONC-NonInteruptive","Sulindac","Atenolol"
"10","DB01203","DB00401","ONC-NonInteruptive","Nadolol","Nisoldipine"
"11","DB00939","DB01359","ONC-NonInteruptive","Meclofenamic acid","Penbutolol"
"12","DB00991","DB01297","ONC-NonInteruptive","Oxaprozin","Practolol"
"13","DB00605","DB01193","ONC-NonInteruptive","Sulindac","Acebutolol"
"14","DB00580","DB08808","ONC-NonInteruptive","Valdecoxib","Bupranolol"
"15","DB00521","DB00215","ONC-NonInteruptive","Carteolol","Citalopram"
"16","DB00682","DB01234","ONC-NonInteruptive","Warfarin","Dexamethasone"
"17","DB00261","DB00180","ONC-NonInteruptive","Anagrelide","Flunisolide"
"18","DB00436","DB00722","ONC-NonInteruptive","Bendroflumethiazide","Lisinopril"
"19","DB00264","DB00622","ONC-NonInteruptive","Metoprolol","Nicardipine"
"20","DB00001","DB00338","ONC-NonInteruptive","Lepirudin","Omeprazole"
"21","DB01203","DB01104","ONC-NonInteruptive","Nadolol","Sertraline"
"22","DB00500","DB00373","ONC-NonInteruptive","Tolmetin","Timolol"
"23","DB00006","DB00163","ONC-NonInteruptive","Bivalirudin","Vitamin E"
"24","DB00722","DB00945","ONC-NonInteruptive","Lisinopril","Acetylsalicylic acid"
"25","DB00627","DB01076","ONC-NonInteruptive","Niacin","Atorvastatin"
"26","DB00584","DB08822","ONC-NonInteruptive","Enalapril","Azilsartan medoxomil"
"27","DB00573","DB08807","ONC-NonInteruptive","Fenoprofen","Bopindolol"
